=== 振り分け 3341件 ===
   owarai     2823
   musicetc   165
   club       104
   jpop       74
   engeki     46
   sports     27
   fes        22
   rock       17
   classic    13
   hiphop     13
   anime      10
   art        7
   yougaku    6
   jazz       4
   idol       3
   event      3
   fanevent   1
   enka       1
   vtuber     1
   hougaku    1

--- 両方式 155件 ---
   id=17590 owarai+musicetc  「情熱！めっちゃ楽舞友」公演
   id=17591 owarai+musicetc  「情熱！めっちゃ楽舞友」公演 遠方のお客様歓迎
   id=17592 owarai+musicetc  【3日通し券・前半2日通し券・9/21(月)1日券】KOYABU SONIC 2026
   id=17641 owarai+art  Love Me Doの開運・占いトークライブ！『守護龍占術2027』・・・
   id=17650 owarai+musicetc  「無限大ノック」公演
   id=17651 owarai+musicetc  「無限大ノック」公演 竹田京加生誕祭
   id=17652 owarai+musicetc  【後半2日通し券・9/22(火)1日券】KOYABU SONIC 2026
   id=17747 owarai+musicetc  syudou presents「呵呵大笑」
   id=17748 owarai+musicetc  【9/23(水)1日券】KOYABU SONIC 2026
   id=17759 owarai+musicetc  シゲカズです企画公演「NMB48 絆～みんなでひとつになる日～」
   id=17760 owarai+musicetc  シゲカズです企画公演「NMB48 難波のアイドル女王決定戦」
   id=17824 owarai+musicetc  「ここにだって天使はいる」公演 モバイル会員限定
   id=17869 owarai+musicetc  「青春！恋のDestination」公演
   id=17939 owarai+art  とろサーモン久保田複製画サイン会（GREEN CAT回）
   id=17940 owarai+art  とろサーモン久保田複製画サイン会（RED CAT回）
   id=17975 owarai+art  ワラケン体験クラブ「伝書鳩のオリジナル精神統一修行」
   id=17976 owarai+art  ワラケン体験クラブ「少年漫画風の人物画の特徴の捉え方講座」
   id=18031 owarai+musicetc  「情熱！めっちゃ楽舞友」公演
   id=18032 owarai+musicetc  「情熱！めっちゃ楽舞友」公演 ファミリー・グループ歓迎
   id=18061 owarai+art  ワラケン体験クラブ「しんや＆ノリと世界のパーティーゲーム」
   id=18062 owarai+art  ワラケン体験クラブ「マリーマリーとアイロンビーズであそぼう」
   id=18063 owarai+art  ワラケン体験クラブ「ロジャー沖縄と山崎おしるこのヒーリ・・・
   id=18107 owarai+musicetc  「無限大ノック」公演
   id=18151 owarai+art  とろサーモン久保田複製画サイン会（GREEN CAT回）
   id=18152 owarai+art  とろサーモン久保田複製画サイン会（RED CAT回）
   id=18205 owarai+musicetc  「ここにだって天使はいる」公演
   id=18250 owarai+musicetc  若手芸人HIPHOP同好会 2026年9月号
   id=18253 owarai+musicetc  「青春！恋のDestination」公演
   id=18303 owarai+musicetc  「無限大ノック」公演
   id=18351 owarai+musicetc  「情熱！めっちゃ楽舞友」公演
   id=18352 owarai+musicetc  「情熱！めっちゃ楽舞友」公演 遠方のお客様歓迎
   id=18430 owarai+musicetc  「ここにだって天使はいる」公演
   id=18431 owarai+musicetc  「ここにだって天使はいる」公演 吉見純音卒業公演
   id=18870 owarai+art  Love Me Doの開運・占いトークライブ！『守護龍占術2027』・・・
   id=19424 owarai+art  Love Me Doの開運・占いトークライブ！『守護龍占術2027』・・・
   id=19426 owarai+musicetc  THE BAWDIES対バンツアー 「THE MELTING POT SESSIONS」
   id=19427 owarai+art  TOKUI VIDEO DAY CAMP@東村山
   id=19494 owarai+musicetc  THE BAWDIES対バンツアー 「THE MELTING POT SESSIONS」
   id=19507 owarai+musicetc  コマゴメイトの集い
   id=19596 owarai+engeki  『春よ来い、マジで来い』
   id=19635 owarai+engeki  『春よ来い、マジで来い』
   id=19636 owarai+engeki  『春よ来い、マジで来い』
   id=19674 owarai+engeki  『春よ来い、マジで来い』
   id=19675 owarai+musicetc  それゆけ!大宮セブンPresents「はぐれ者たちの宴vol.2」・・・
   id=19707 owarai+engeki  『春よ来い、マジで来い』
   id=19729 musicetc+art  昭和・平成歌謡ナイト Vol.3
   id=19741 owarai+art  Love Me Doの開運・占いトークライブ！『守護龍占術2027』・・・
   id=19746 owarai+engeki  『春よ来い、マジで来い』
   id=19747 owarai+engeki  『春よ来い、マジで来い』
   id=19808 owarai+musicetc  THE BAWDIES対バンツアー 「THE MELTING POT SESSIONS」
   id=19809 owarai+engeki  『春よ来い、マジで来い』
   id=19836 owarai+engeki  『春よ来い、マジで来い』
   id=19837 owarai+engeki  『春よ来い、マジで来い』
   id=19853 musicetc+art  藤井隆・乙葉のお昼のディナーショー
   id=19855 owarai+engeki  『春よ来い、マジで来い』
   id=19863 owarai+engeki  『春よ来い、マジで来い』
   id=19874 owarai+engeki  『春よ来い、マジで来い』
   id=19886 owarai+engeki  『春よ来い、マジで来い』
   id=19890 owarai+art  【通期パス（2日券）・11/7(土)1日券】たくろう万博
   id=19915 owarai+art  【11/8(日)1日券】たくろう万博
   id=20046 owarai+sports  第13回ライオンズカップ in岐阜 山岡カントリークラブ
   id=20053 owarai+engeki+art  2Cheat7
   id=20063 owarai+engeki+art  2Cheat7
   id=20064 owarai+engeki+art  2Cheat7
   id=20088 owarai+engeki+art  2Cheat7
   id=20145 owarai+engeki+art  2Cheat7
   id=20152 owarai+engeki+art  2Cheat7
   id=20153 owarai+engeki+art  2Cheat7
   id=20181 owarai+engeki+art  2Cheat7
   id=20191 owarai+musicetc  大阪国際文化芸術プロジェクト「JAPANIMATION ROCKS 2026」
   id=20204 owarai+engeki+art  2Cheat7
   id=20207 owarai+engeki+art  2Cheat7
   id=20208 owarai+engeki+art  2Cheat7
   id=20210 owarai+engeki  【1日通し券】◆12/5◆川畑泰史・小野坂昌也presentsボイコメ！
   id=20215 owarai+engeki  川畑泰史・小野坂昌也presentsボイコメ！
   id=20216 owarai+engeki  川畑泰史・小野坂昌也presentsボイコメ！
   id=20217 owarai+engeki+art  2Cheat7
   id=20218 owarai+engeki  【1日通し券】●12/6●川畑泰史・小野坂昌也presentsボイコメ！
   id=20224 owarai+engeki  川畑泰史・小野坂昌也presentsボイコメ！
   id=20225 owarai+engeki  川畑泰史・小野坂昌也presentsボイコメ！
   id=20255 owarai+musicetc  石川晟也の2nd音楽ライブ「イニミニレカピカ」
   id=20305 owarai+art  Love Me Do の開運・占いトークライブ『2027年 運命の分岐・・・
   id=20311 owarai+musicetc  KOMAGOME OnemanLive「コマラセナイ」
   id=20313 owarai+musicetc  石川晟也の2nd音楽ライブ「イニミニレカピカ」
   id=20398 owarai+art  Love Me Doの開運・占いトークライブ！『守護龍占術2027』・・・
   id=20412 musicetc+art  SLENDERIE RECORDファミリーコンサート2026 MUSIC POWER
   id=20417 owarai+art  又吉直樹の朗読会「ジャージで来た」
   id=20463 club+musicetc  DOC MARTIN *ALL NIGHT LONG 『THE HOUSE TOKYO』
   id=20464 club+hiphop  PARADISE CIRCUS
   id=20466 club+hiphop+jpop  STARFES SENDAI
   id=20467 club+musicetc+rock  TELEPATH
   id=20472 jpop+club  澤部＆もか 歌い倒れツアー 福岡編
   id=20476 club+hiphop  CIRCUS ODAIBA
   id=20480 club+event+hiphop+jpop+rock  YAGI BPM EXHIBITION 2026
   id=20490 hiphop+jpop+club  CIRCUS × CIRCUS ODAIBA
   id=20493 jpop+rock  たいらのおやまからこんにちは #201[9/14延期公演] ～祝日NightSP～
   id=20515 club+musicetc+hiphop  御月民-Otsukimi- Open Air 2026
   id=20521 club+musicetc+rock  Back To Chill 20th Anniversary
   id=20524 hiphop+club  DJ KRUSH x ILL-BOSSTINO 『XO』 RELEASE LIVE in TOKYO club asia
   id=20527 jpop+anime+rock+classic  KSL Live World 2026 - Sing with the Wind -
   id=20534 jpop+rock+jazz  WaikikiRecord 27th party
   id=20537 jpop+club+rock  ヨドロックフェス TOKYO ROOFTOP DAY PARTY
   id=20543 jpop+club+rock+event+musicetc+anime  暴力的にカワイイ 2026
   id=20552 anime+idol  クインテライブ後夜祭 ~ 桃妃ミルクバースデー2026 ~
   id=20565 jpop+rock  たいらのおやまからこんにちは #202 ～平日NightSP～
   id=20575 club+hiphop  KAYZO -Tokyo Show-
   id=20576 club+hiphop  KAYZO来日公演
   id=20579 club+hiphop+musicetc  WOMB PRESENTS OCCA B2B DJ MARIA. -ALL NIGHT LONG-
   id=20588 jazz+jpop  Joey Dosik
   id=20590 club+jpop  Lost Controll
   id=20597 hiphop+club+rock+event+musicetc  SECRET BASE JAM 2026
   id=20603 jpop+rock+hiphop+musicetc  『Mone Kamishiraishi 10th Live《bouquet》for ALL』
   id=20608 anime+idol  らびぱれ!! Mini Live ~ Key Change ~
   id=20614 anime+idol  LiveRevolt Re:venge 【2nd】 Live 「Re:inforce」
   id=20616 club+jpop  NEO×NEO
   id=20623 anime+idol  クインテ Mini Live ~ Angel's Tale ~
   id=20630 jpop+rock  KALMA ONEMAN TOUR 2026”LETTERS”
   id=20633 club+musicetc  PROTEGO x kerakai presents Aerae and Ocyra
   id=20645 club+musicetc+hiphop+rock  SOUNDGATE
   id=20646 club+musicetc  TIME HOLE
   id=20650 musicetc+yougaku+club  【 VITAL / ヴィタール 】
   id=20662 club+jpop+musicetc+hiphop+anime  SOLSTICE MUSIC PRESENTS : SPACE TRIBE TRIBUTE
   id=20663 jpop+musicetc+jazz+club  WWW Anniversaries "DialHouse Extra"
   id=20665 jpop+club  スカート弾き語りひとり旅 2026 福島編
   id=20683 club+rock  GROOVIN’ 2nd Anniversary
   id=20685 jazz+club+musicetc  NIGHT SCAPE - ぷにぷに電機 & SOUNDFOCKER
   id=20698 hiphop+jpop+club  RIPE STATE 「STRANGE EP-02」Release Party & 東京Gorilla03 13th Anniversary
   id=20724 rock+musicetc+club+hiphop+jpop  SAWAGI FESTIVAL 2026
   id=20730 hiphop+jpop  Magic hour 2026
   id=20737 anime+idol  クインテライブ後夜祭 ~ 羽乃シエルバースデー2026 ~
   id=20748 anime+idol  香鳴ハノン 1st Oneman Live 「ミズイロノオト」
   id=20751 club+jazz  Yuma Koda 1st Album『Amid Kinos』Release Live
   id=20755 club+musicetc+rock  Reprise
   id=20757 club+rock+jpop  "Optimo" curated by Bias & Relax adv.
   id=20761 event+club+jpop+hiphop+jazz+musicetc+anime  NIGHT HIKE 2026 in 幕張
   id=20772 hougaku+club+art+event+musicetc  いのり、ひびく。
   id=20773 anime+idol  ライブレボルト道場 ～vsピュアリーモンスター～
   id=20786 club+rock+jazz  FAM & KAKUBARHYTHM presents blah bruh 『BLUE EVENING』release party nagoya
   id=20787 hiphop+jpop+jazz+club+musicetc  J.Studio 10th Anniversary, Table Beats & J.Studio Presents “BEAT BOUTIQUE ll”
   id=20788 musicetc+anime+hougaku  貝田由里子のお誕生日会2026
