=== 隠れ枠スキャン (today=2026-07-25) ===
  対象エントリ 167件 / 隠れ枠 216枠
  id=1357  古川雄大                           隠れ9/全9枠
  id=2805  読売ジャイアンツ対中日ドラゴンズ 公式戦           隠れ7/全11枠
  id=2496  高嶋ちさ子 12人のヴァイオリニスト コンサートツアー    隠れ5/全22枠
  id=2958  ニジゲンノモリ NARUTO&BORUTO忍里（SHIN   隠れ5/全5枠
  id=1272  マイナビオールスターゲーム2026              隠れ4/全4枠
  id=2696  読売ジャイアンツ 公式戦                   隠れ4/全4枠
  id=2953  ニジゲンノモリ ゴジラ迎撃作戦～国立ゴジラ淡路島研究セン   隠れ4/全4枠
  id=2124  トータルテンボス全国漫才ツアー2026「ニコイチ」      隠れ3/全5枠
  id=2331  nobinobi 2026                  隠れ3/全3枠
  id=1     さだまさし                          隠れ2/全3枠
  id=1313  w.o.d.                         隠れ2/全9枠
  id=1602  藍坊主                            隠れ2/全2枠
  id=1912  エリーナ・ガランチャ メゾソプラノ リサイタル2026    隠れ2/全4枠
  id=2082  ヨーヨー・マ サントリーホール40周年スペシャルコンサー   隠れ2/全2枠
  id=2114  スターダスト☆レビュー                    隠れ2/全4枠
  id=2544  ウルトラヒーローズ THE LIVE ～オメガ・アーク・   隠れ2/全3枠
  id=2559  ONE SAMURAI 4                  隠れ2/全2枠
  id=2693  銀河特急 ミルキー☆サブウェイ 銀河の果てまでいってきま   隠れ2/全2枠
  id=2875  リクオ                            隠れ2/全2枠
  id=2909  大西宇宙 バリトン・リサイタル with オーケストラ／   隠れ2/全2枠
  … 他 147件

(走査のみ。ぴあ再パースするなら --build)
