lg=01 total=587 pages=59
parsed items: 465 (fetched up to page 60)
already in DB (eventCd一致): 434 | NOT in DB (new candidates): 31
  うち 19件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/_ph_01_0102.json
 NEW | 2026/9/26 | ANISON PREMIUM LIVE ささきい | 2026/12/13(日) | 宮城県
 NEW | 2026/10/9 | 石若駿トリオ | 2027/1/31(日) | 埼玉県
 NEW | 2026/9/5 | 和－ＩＺＵＭＩ－／Ｂｅａｄｒｏａｄｓ | 2026/11/8(日) | 愛知県
 NEW | 2026/10/17 | カキンツハルカ | 2027/2/13(土) | 岐阜県
 NEW | 2026/9/5 | 銀河鉄道の夜 タケカワユキヒデ ｗｉｔｈ ＳＵＺ | 2026/12/13(日) | 愛知県
 NEW | 2026/11/1 | クレイジーケンバンド | 2027/1/17(日) | 長野県
 NEW | 2026/9/3 | 2026 Golden Moon Concert | 2026/11/6(金) | 東京都
 NEW | 2026/9/20 | 坂本冬美 | 2027/1/11(月・祝) | 愛知県
 NEW | 2026/10/17 | さとう。 | 2026/11/28(土) | 東京都
 NEW | 2026/10/3 | サラ・オレイン | 2026/12/16(水) | 東京都
 NEW | 2026/10/3 | ＳＩＯＮ’Ｓ ＳＱＵＡＤ | 2026/12/4(金) | 東京都
 NEW | 2026/10/10 | ＳＩＮＯＮ 奇跡の歌声 ～カーペンターズコンサー | 2027/2/7(日) | 東京都
 NEW | 2026/9/19 | ＳＩＮＯＮ 奇跡の歌声 ～カーペンターズコンサー | 2027/1/31(日) | 山梨県
 NEW | 2026/10/10 | 新春邦楽・和っしょい | 2027/1/9(土) | 東京都
 NEW | 2026/9/4 | 杉山清貴 | 2026/12/5(土) ・ 2026/12 | 東京都
 NEW | 2026/10/24 | スターダスト☆レビュー | 2026/12/4(金) ・ 2026/12 | 岩手県／宮城県
 NEW | 2026/10/3 | 田島貴男／堀込泰行 | 2027/1/30(土) | 石川県
 NEW | 2026/9/26 | 「ドラゴンクエスト」ウインドオーケストラコンサー | 2026/12/30(水) ・ 2027/1 | 東京都
 NEW | 2026/9/29 | 中村雅俊 | 2027/1/8(金) | 東京都
 NEW | 2026/9/3 | ネパールの詩心～四季と祭り～ | 2026/11/16(月) ・ 2026/1 | 千葉県／神奈川県
 NEW | 2026/9/25 | バブルガム・ブラザーズ | 2026/12/20(日) | 東京都
 NEW | 2026/9/3 | パパイヤ鈴木の踊る昭和歌謡☆ディスコパラダイス！ | 2026/11/4(水) | 東京都
 NEW | 2026/9/12 | Pearl Drums 80th Anniver | 2026/10/17(土) | 神奈川県
 NEW | 2026/10/3 | 髭 | 2026/11/28(土) | 東京都
 NEW | 2026/9/15 | 二見颯一歌謡ショー 「こころの歌 ふるさとの謡」 | 2026/11/30(月) | 埼玉県
