lg=02 total=310 pages=31
parsed items: 259 (fetched up to page 32)
already in DB (eventCd一致): 235 | NOT in DB (new candidates): 24
  うち 7件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/_ph_02_0102.json
 NEW | 2026/9/4 | 梅沢富美男劇団特別公演 梅沢富美男＆研ナオコ ア | 2027/1/26(火) ・ 2027/1/ | 神奈川県
 NEW | 2026/9/10 | オズブラ生搾り | 2026/10/30(金) | 北海道
 NEW | 2026/10/4 | PARCO PRODUCE 2026 髪結いの亭 | 2026/11/12(木) ～ 2026/1 | 大阪府
 NEW | 2026/9/6 | 劇団四季「オペラ座の怪人」／名古屋 | 2027/1/1(金・祝) ～ 2027/1 | 愛知県
 NEW | 2026/9/19 | 劇団四季ミュージカル『コーラスライン』／岐阜 | 2026/12/6(日) | 岐阜県
 NEW | 2026/9/19 | 劇団四季ミュージカル『コーラスライン』／名古屋 | 2026/12/8(火) ～ 2026/12 | 愛知県
 NEW | 2026/9/19 | 劇団四季ミュージカル『コーラスライン』／稲沢 | 2026/12/13(日) | 愛知県
 NEW | 2026/9/19 | 劇団四季ミュージカル『コーラスライン』／四日市 | 2026/12/2(水) | 三重県
 NEW | 2026/9/7 | 三遊亭鬼丸 落語会 | 2026/12/11(金) | 埼玉県
 NEW | 2026/9/3 | 第９回 隅田川わたし 毎月連続落語勉強会 | 2026/11/21(土) | 東京都
 NEW | 2026/9/3 | 第三回 柳家小もん独演会 真打に向かって 火事息 | 2027/1/23(土) | 東京都
 NEW | 2026/9/3 | 第１０回 隅田川わたし 毎月連続落語勉強会 | 2026/12/19(土) | 東京都
 NEW | 2026/9/1 | 第七回 杉友寄席 | 2026/11/11(水) | 東京都
 NEW | 2026/9/8 | 東京バレエ団 ベジャールの「くるみ割り人形」 全 | 2027/1/10(日) ・ 2027/1/ | 東京都
 NEW | 2026/9/19 | 庭劇団ペニノ『埋火(うずみび)』 | 2026/11/12(木) ～ 2026/1 | 神奈川県
 NEW | TODAY | 人形劇「クラバート」明石公演 | 2026/9/22(火・祝) | 兵庫県
 NEW | 2026/9/3 | 爆笑ファンタジスタ！夢の競演!! | 2026/11/25(水) | 東京都
 NEW | 2026/9/26 | 爆生！！ものまね ｉｎ 大宮 | 2026/12/19(土) | 埼玉県
 NEW | 2026/9/1 | 【当日引換券】ブロードウェイミュージカル「シカゴ | 2026/9/3(木) ～ 2026/9/6 | 大阪府
 NEW | 2026/9/7 | ミュージカル『SHOWMAN～4番目の影武者』 | 2026/9/8(火) ～ 2026/9/1 | 東京都
 NEW | 2026/9/5 | ミュージカル『メイビー、ハッピーエンディング』 | 2026/11/20(金) ～ 2026/1 | 東京都
 NEW | 2026/10/1 | ヤマトタケル ～能褒野から羽ばたいた白鳥～ | 2026/11/15(日) | 三重県
 NEW | 2026/11/21 | よしもとお笑いライブｉｎくまとり | 2027/1/31(日) | 大阪府
 NEW | 2026/10/4 | 『ロックンロール』 | 2026/11/6(金) ・ 2026/11 | 兵庫県
