lg=06 total=113 pages=12
parsed items: 100 (fetched up to page 13)
already in DB (eventCd一致): 89 | NOT in DB (new candidates): 11
  うち 7件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/_ph_06_0102.json
 NEW | 2026/11/28 | ＢＥＲＩＴＡ ｐｒｅｓｅｎｔｓ ＩＳＯＧＡＩ花火 | 2026/12/26(土) | 愛知県
 NEW | 2026/11/1 | 「おかあさんといっしょ」ファンターネ！がやってき | 2027/2/23(火・祝) | 埼玉県
 NEW | 2026/9/7 | 「おかあさんといっしょ」ファンターネ！とあそぼ | 2026/12/13(日) | 三重県
 NEW | TODAY | 岡田彩夢写真集『こんな夢を見た』発売記念イベント | 2026/11/23(月・祝) | 北海道
 NEW | 2026/10/9 | キボリノコンノ展 食べたい！木彫りアートの世界 | 2026/10/9(金) ～ 2026/11 | 石川県
 NEW | TODAY | 志田愛佳２ｎｄ写真集『ＭＯＲＥ』発売記念イベント | 2026/11/14(土) | 東京都
 NEW | TODAY | 全国花火師競技大会「第5回にし阿波の花火」 | 2026/11/14(土) | 徳島県
 NEW | 2026/10/3 | 『禅とジブリ』京都展 | 2026/10/3(土) ～ 2026/12 | 京都府
 NEW |  | 筑後ＳＡＫＥフェスタ２０２６ | 2026/10/10(土) ～ 2026/1 | 福岡県
 NEW | 2026/10/31 | 特別展「生きものたちの性」 | 2026/10/31(土) ～ 2027/2 | 東京都
 NEW | 2026/9/12 | 松原健之 クリスマスディナーショー２０２６ | 2026/12/20(日) | 静岡県
