lg=01 total=170 pages=17
parsed items: 126 (fetched up to page 18)
already in DB (eventCd一致): 110 | NOT in DB (new candidates): 16
  うち 10件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/_sweepbucket_01_1.json
 NEW |  | 綾戸智恵 | 2026/9/20(日) | 東京都
 NEW |  | 綾戸智恵 | 2026/10/3(土) | 兵庫県
 NEW |  | ＡＲＫ ＢＲＡＳＳ ＆ 松井秀太郎 スター・ウォ | 2026/10/27(火) | 愛知県
 NEW |  | 大江千里トリオ | 2027/1/23(土) ・ 2027/1/ | 京都府／兵庫県
 NEW |  | 小曽根真(p) | 2026/10/6(火) | 東京都
 NEW |  | ザ・レジェンダリー・カウント・ベイシー・オーケス | 2026/11/3(火・祝) | 福島県
 NEW |  | SHIBUYA MUSIC CROSSOVER  | 2026/11/14(土) | 東京都
 NEW |  | Jazz in hokutopia Vol.4 | 2026/9/25(金) ・ 2026/9/ | 東京都
 NEW |  | ＪＡＺＺ－ＦＵＳＩＯＮ ＳＵＭＭＩＴ ２０２６ | 2026/11/1(日) | 東京都
 NEW |  | ディーン醐醍＆フレンズ 明日に架ける橋２０２６ | 2026/9/23(水・祝) | 鹿児島県
 NEW |  | DOMi & JD BECK | 2026/12/15(火) | 東京都
 NEW |  | ７５周年記念 渡辺貞夫カルテット２０２６ ”Ｉｎ | 2026/10/25(日) | 愛知県
 NEW |  | 挾間美帆×デンマークラジオ・ビッグバンド | 2026/11/17(火) | 大分県
 NEW |  | Ｈｙｏｇｏクリスマス・ジャズ・フェスティバル２０ | 2026/12/18(金) | 兵庫県
 NEW |  | ヨコスカ ジャズ ドリームス ライブシリーズ２０ | 2026/11/7(土) | 神奈川県
 NEW |  | 渡辺貞夫カルテット２０２６ | 2026/11/7(土) | 東京都
