lg=01 total=32 pages=4
parsed items: 30 (fetched up to page 5)
already in DB (eventCd一致): 17 | NOT in DB (new candidates): 13
  うち 8件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/_sweepbucket_01_11.json
 NEW |  | Organic Call | 2026/11/7(土) | 群馬県
 NEW |  | ＣＨＥＭＩＳＴＲＹ | 2026/8/29(土) | 群馬県
 NEW |  | the shes gone | 2026/9/26(土) | 群馬県
 NEW |  | 鈴木雅之 | 2026/10/18(日) | 群馬県
 NEW |  | 高中正義 | 2026/11/1(日) | 群馬県
 NEW |  | 田原俊彦 | 2026/11/7(土) | 群馬県
 NEW |  | 怒髪天 | 2026/10/25(日) | 群馬県
 NEW |  | ハラミちゃん | 2027/1/11(月・祝) | 群馬県
 NEW |  | THE FRANK VOX | 2026/6/13(土) ～ 2026/10 | 栃木県／群馬県／埼玉県／千葉県／東京都／神奈川県
 NEW |  | 南こうせつ | 2026/10/3(土) ・ 2026/10 | 群馬県／埼玉県
 NEW |  | 八神純子 | 2026/11/29(日) | 群馬県
 NEW |  | 山中さわお＆ELPIS | 2026/10/10(土) | 群馬県
 NEW |  | 山本リンダ | 2026/10/30(金) | 群馬県
