lg=01 total=61 pages=7
parsed items: 57 (fetched up to page 8)
already in DB (eventCd一致): 34 | NOT in DB (new candidates): 23
  うち 10件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/_sweepbucket_01_12.json
 NEW |  | イルカ | 2026/10/18(日) | 埼玉県
 NEW |  | ＨＹ | 2026/9/22(火・祝) | 埼玉県
 NEW |  | ＆TEAM | 2026/9/5(土) ・ 2026/9/6 | 埼玉県
 NEW |  | 奥華子 | 2026/10/8(木) | 埼玉県
 NEW |  | KOTORI pre.“12” Tour | 2026/8/7(金) ・ 2026/9/3 | 栃木県／埼玉県／東京都
 NEW |  | 斉藤和義 | 2026/11/15(日) | 埼玉県
 NEW |  | The 51st anniversary 俺たち | 2026/11/9(月) | 埼玉県
 NEW |  | ＳＩＮＯＮ 奇跡の歌声 ～カーペンターズコンサー | 2026/9/27(日) | 埼玉県
 NEW |  | 世良公則 | 2026/11/29(日) | 埼玉県
 NEW |  | タブレット純 魅惑の世界 | 2026/10/23(金) | 埼玉県
 NEW |  | ツチヤカレン | 2026/12/24(木) | 埼玉県
 NEW |  | ＴＲＩＰＬＡＮＥ | 2026/6/28(日) ～ 2026/9/ | 北海道／宮城県／埼玉県／千葉県／神奈川県／愛知県／大阪府／福岡県／熊本県／鹿児島県
 NEW |  | 中島卓偉 | 2026/12/27(日) | 埼玉県
 NEW |  | Northern19／39degrees | 2026/9/19(土) | 埼玉県
 NEW |  | THE FRANK VOX | 2026/6/13(土) ～ 2026/10 | 栃木県／群馬県／埼玉県／千葉県／東京都／神奈川県
 NEW |  | 三浦大知 | 2026/9/12(土) | 埼玉県
 NEW |  | ＭＹＴＨ ＆ ＲＯＩＤ | 2026/10/12(月・祝) | 埼玉県
 NEW |  | 南こうせつ | 2026/10/3(土) ・ 2026/10 | 群馬県／埼玉県
 NEW |  | めいちゃん | 2026/12/5(土) ・ 2026/12 | 埼玉県
 NEW |  | モーニング娘。’２６ | 2026/9/5(土) ・ 2026/9/6 | 埼玉県
 NEW |  | 山本リンダ | 2026/10/6(火) | 埼玉県
 NEW |  | 渡辺真知子 | 2026/8/29(土) | 埼玉県
 NEW |  | 渡辺美里 | 2026/11/8(日) | 埼玉県
