lg=01 total=164 pages=17
parsed items: 141 (fetched up to page 18)
already in DB (eventCd一致): 110 | NOT in DB (new candidates): 31
  うち 24件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/_sweepbucket_01_15.json
 NEW |  | 今井翼 | 2026/10/16(金) | 神奈川県
 NEW |  | 内田真礼 | 2026/9/27(日) | 神奈川県
 NEW |  | Ochunism | 2026/12/5(土) | 神奈川県
 NEW |  | HONEST | 2026/6/27(土) ～ 2026/10 | 宮城県／栃木県／東京都／神奈川県／岐阜県／静岡県／愛知県／大阪府／兵庫県／岡山県／広島県／香川県／福岡県
 NEW |  | 陰陽座 | 2026/9/29(火) | 神奈川県
 NEW |  | 岸谷香 | 2026/9/20(日) | 神奈川県
 NEW |  | キュウソネコカミ | 2026/12/11(金) | 神奈川県
 NEW |  | CUTIE STREET | 2026/9/23(水・祝) | 神奈川県
 NEW |  | 筋肉少女帯 | 2026/11/5(木) | 神奈川県
 NEW |  | ｇｏ！ｇｏ！ｖａｎｉｌｌａｓ | 2026/10/21(水) | 神奈川県
 NEW |  | 斉藤和義 | 2026/11/14(土) | 神奈川県
 NEW |  | 財津和夫 | 2026/9/26(土) | 神奈川県
 NEW |  | ザ・おめでたズ | 2026/10/10(土) | 神奈川県
 NEW |  | ＴＨＥ ＰＲＥＤＡＴＯＲＳ | 2026/9/25(金) | 神奈川県
 NEW |  | ザ・ワイルドワンズ | 2026/10/4(日) | 神奈川県
 NEW |  | 青春のアイドルヒットステージ 松本伊代・早見優・ | 2026/9/27(日) | 神奈川県
 NEW |  | 零［Ｈｚ］ | 2026/10/9(金) | 神奈川県
 NEW |  | 零［Ｈｚ］ | 2026/11/15(日) | 神奈川県
 NEW |  | Ｓｏａｌａ | 2026/11/1(日) | 神奈川県
 NEW |  | 田中れいな | 2026/9/21(月・祝) | 神奈川県
 NEW |  | ＤＥＥＮ | 2026/9/21(月・祝) | 神奈川県
 NEW |  | ＤＹＧＬ | 2026/10/18(日) ・ 2026/1 | 東京都／神奈川県
 NEW |  | ねぐせ。 | 2026/10/18(日) | 神奈川県
 NEW |  | Pearl Drums 80th Anniver | 2026/10/17(土) | 神奈川県
 NEW |  | プッシュプルポット | 2026/11/13(金) | 神奈川県
