lg=01 total=1651 pages=166
parsed items: 718 (fetched up to page 167)
already in DB (eventCd一致): 377 | NOT in DB (new candidates): 341
  うち 124件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/_sweepbucket_01_28.json
 NEW |  | Ｉ Ｄｏｎ’ｔ Ｌｉｋｅ Ｍｏｎｄａｙｓ． | 2026/10/25(日) | 大阪府
 NEW |  | 藍井エイル | 2026/11/15(日) | 大阪府
 NEW |  | 藍井エイル | 2026/12/24(木) | 東京都
 NEW |  | 秋の定期公演「フォークソングでやんす」六角精児バ | 2026/9/25(金) | 東京都
 NEW |  | Ａｇａｉｎ | 2026/10/2(金) | 大阪府
 NEW |  | 亜咲花 | 2026/10/11(日) | 東京都
 NEW |  | あたらよ | 2026/9/18(金) | 東京都
 NEW |  | ＡＮＩＭＡＸ ＭＵＳＩＸ ＮＥＸＴＡＧＥ ２０２ | 2026/9/11(金) | 東京都
 NEW |  | ＡＮＩＭＥＴＡＬ | 2026/10/23(金) | 大阪府
 NEW |  | あの素晴しい歌をもう一度コンサート２０２６東京 | 2026/9/18(金) | 東京都
 NEW |  | 新居昭乃 | 2026/8/30(日) | 大阪府
 NEW |  | 新居昭乃 | 2026/11/14(土) | 東京都
 NEW |  | ＡＲＯＵＮＤ ４０ ＭＥＭＯＲＹ ＣＯＮＣＥＲＴ | 2026/11/21(土) | 神奈川県
 NEW |  | アンダーグラフ | 2026/9/23(水・祝) | 大阪府
 NEW |  | Unlucky Morpheus | 2026/11/17(火) | 東京都
 NEW |  | 杏里 | 2026/9/6(日) | 東京都
 NEW |  | 杏里 | 2026/9/20(日) | 神奈川県
 NEW |  | 杏里 | 2026/9/13(日) | 新潟県
 NEW |  | 杏里 | 2026/9/23(水・祝) | 大阪府
 NEW |  | 石川さゆりコンサート ～極上のアンサンブル～ | 2026/11/15(日) | 東京都
 NEW |  | 石川智晶 | 2026/9/6(日) | 東京都
 NEW |  | 石丸幹二オーケストラコンサート2026 | 2026/9/6(日) | 大阪府
 NEW |  | ＩＫＫＯ ＤＲＡＭＡＴＩＣ ～ＢＥＡＵＴＹ ＭＵ | 2026/9/29(火) | 東京都
 NEW |  | 弌誠 | 2026/10/16(金) | 東京都
 NEW |  | 弌誠 | 2026/11/3(火・祝) | 大阪府
