lg=01 total=721 pages=73
parsed items: 578 (fetched up to page 74)
already in DB (eventCd一致): 461 | NOT in DB (new candidates): 117
  うち 95件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/_sweepbucket_01_49.json
 NEW |  | アンダーグラフ | 2027/1/22(金) | 大阪府
 NEW |  | 杏里 | 2026/9/23(水・祝) | 大阪府
 NEW |  | 今井翼 | 2026/10/31(土) | 大阪府
 NEW |  | 梅田サイファー | 2026/9/27(日) | 大阪府
 NEW |  | ＨＹ | 2027/1/10(日) | 兵庫県
 NEW |  | ＥＸＩＬＥ | 2026/12/6(日) | 大阪府
 NEW |  | Ｅｌｅｍｅｎｔ Ｓｉｃｋｓ | 2026/8/11(火・祝) ～ 2026/ | 北海道／東京都／愛知県／大阪府／福岡県
 NEW |  | ＡＣＥ ＣＯＬＬＥＣＴＩＯＮ | 2026/11/27(金) | 大阪府
 NEW |  | 大江千里トリオ | 2027/1/23(土) ・ 2027/1/ | 京都府／兵庫県
 NEW |  | 尾崎裕哉 | 2026/11/22(日) | 大阪府
 NEW |  | 押尾コータロー | 2026/10/2(金) | 京都府
 NEW |  | 小田純平 | 2026/11/1(日) | 大阪府
 NEW |  | Ochunism | 2026/10/24(土) | 兵庫県
 NEW |  | HONEST | 2026/6/27(土) ～ 2026/10 | 宮城県／栃木県／東京都／神奈川県／岐阜県／静岡県／愛知県／大阪府／兵庫県／岡山県／広島県／香川県／福岡県
 NEW |  | オレンジスパイニクラブ | 2026/12/13(日) | 大阪府
 NEW |  | 甲斐よしひろ | 2026/10/10(土) | 大阪府
 NEW |  | 加藤ミリヤ | 2026/11/22(日) | 大阪府
 NEW |  | 上沼恵美子 | 2026/10/26(月) ・ 2026/1 | 大阪府
 NEW |  | かりゆし５８ | 2026/12/6(日) | 大阪府
 NEW |  | 川崎鷹也 | 2027/5/27(木) | 大阪府
 NEW |  | 関西音酒場at大槻能楽堂「Re:ロックTHE魂」 | 2026/11/7(土) | 大阪府
 NEW |  | 岸谷香 | 2026/10/10(土) | 和歌山県
 NEW |  | キュウソネコカミ | 2026/9/23(水・祝) | 京都府
 NEW |  | キュウソネコカミ | 2026/11/2(月) | 大阪府
 NEW |  | ９ｍｍ Ｐａｒａｂｅｌｌｕｍ Ｂｕｌｌｅｔ | 2026/9/26(土) | 京都府
