lg=01 total=522 pages=53
parsed items: 442 (fetched up to page 54)
already in DB (eventCd一致): 347 | NOT in DB (new candidates): 95
  うち 81件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/_sweepbucket_01_50.json
 NEW |  | ＡＳＫＡ | 2026/10/11(日) | 岐阜県
 NEW |  | 新居昭乃 | 2026/9/23(水・祝) | 愛知県
 NEW |  | アンジュルム | 2026/9/26(土) | 三重県
 NEW |  | アンダーグラフ | 2027/1/23(土) | 愛知県
 NEW |  | 杏里 | 2026/11/14(土) | 愛知県
 NEW |  | Ｅｌｅｍｅｎｔ Ｓｉｃｋｓ | 2026/8/11(火・祝) ～ 2026/ | 北海道／東京都／愛知県／大阪府／福岡県
 NEW |  | ＡＣＥ ＣＯＬＬＥＣＴＩＯＮ | 2026/12/4(金) | 愛知県
 NEW |  | ｏｓａｇｅ | 2026/10/23(金) | 愛知県
 NEW |  | 尾崎亜美 | 2026/11/1(日) | 愛知県
 NEW |  | 尾崎裕哉 | 2026/11/23(月・祝) | 愛知県
 NEW |  | Ochunism | 2026/11/14(土) | 愛知県
 NEW |  | HONEST | 2026/6/27(土) ～ 2026/10 | 宮城県／栃木県／東京都／神奈川県／岐阜県／静岡県／愛知県／大阪府／兵庫県／岡山県／広島県／香川県／福岡県
 NEW |  | オレンジスパイニクラブ | 2026/11/21(土) | 愛知県
 NEW |  | 陰陽座 | 2026/9/24(木) | 愛知県
 NEW |  | かりゆし５８ | 2026/12/4(金) | 愛知県
 NEW |  | かりゆし５８ | 2026/12/9(水) | 静岡県
 NEW |  | 来生たかお | 2026/9/26(土) | 愛知県
 NEW |  | キュウソネコカミ | 2027/1/16(土) | 静岡県
 NEW |  | キュウソネコカミ | 2027/1/17(日) | 愛知県
 NEW |  | Cloudy | 2026/10/24(土) | 愛知県
 NEW |  | 斉藤和義 | 2026/10/29(木) | 静岡県
 NEW |  | Ｓｏｕｎｄ Ｓｃｈｅｄｕｌｅ | 2026/10/4(日) | 愛知県
 NEW |  | Ｓｕｓｐｅｎｄｅｄ ４ｔｈ | 2026/10/23(金) | 愛知県
 NEW |  | Ｓｕｍｍｅｒ Ｅｙｅ | 2026/10/4(日) ・ 2026/10 | 東京都／愛知県
 NEW |  | さらさ | 2026/10/29(木) | 愛知県
