lg=01 total=470 pages=47
parsed items: 371 (fetched up to page 48)
already in DB (eventCd一致): 294 | NOT in DB (new candidates): 77
  うち 65件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/_sweepbucket_01_51.json
 NEW |  | 杏里 | 2026/12/13(日) | 沖縄県
 NEW |  | 杏里 | 2026/10/18(日) | 福岡県
 NEW |  | イルカ | 2026/10/10(土) | 鹿児島県
 NEW |  | ウルトラ寿司ふぁいやー | 2026/10/31(土) | 福岡県
 NEW |  | Ｅｌｅｍｅｎｔ Ｓｉｃｋｓ | 2026/8/11(火・祝) ～ 2026/ | 北海道／東京都／愛知県／大阪府／福岡県
 NEW |  | 小椋佳 | 2026/10/8(木) | 福岡県
 NEW |  | ｏｓａｇｅ | 2026/10/10(土) | 福岡県
 NEW |  | Ochunism | 2026/10/17(土) | 福岡県
 NEW |  | HONEST | 2026/6/27(土) ～ 2026/10 | 宮城県／栃木県／東京都／神奈川県／岐阜県／静岡県／愛知県／大阪府／兵庫県／岡山県／広島県／香川県／福岡県
 NEW |  | 小山田壮平 | 2026/10/17(土) | 福岡県
 NEW |  | オレンジスパイニクラブ | 2026/10/14(水) | 福岡県
 NEW |  | 加藤ミリヤ | 2026/11/27(金) | 福岡県
 NEW |  | 上白石萌音 | 2026/9/20(日) | 鹿児島県
 NEW |  | かりゆし５８ | 2026/12/20(日) | 沖縄県
 NEW |  | 川島ケイジ | 2026/9/18(金) | 福岡県
 NEW |  | Gum-9 | 2026/9/15(火) | 福岡県
 NEW |  | 岸谷香 | 2026/11/14(土) | 福岡県
 NEW |  | 岸谷香 | 2026/11/15(日) | 福岡県
 NEW |  | キュウソネコカミ | 2027/2/11(木・祝) | 福岡県
 NEW |  | KUZIRA | 2026/9/23(水・祝) | 鹿児島県
 NEW |  | Cloudy | 2026/11/7(土) | 福岡県
 NEW |  | Ｋ | 2026/9/19(土) | 福岡県
 NEW |  | Ｇｏｄｉｅｇｏ | 2026/9/12(土) ・ 2026/9/ | 新潟県／兵庫県／長崎県
 NEW |  | Ｇｏｄｉｅｇｏ | 2026/12/19(土) ・ 2026/1 | 兵庫県／福岡県
 NEW |  | 下津光史（踊ってばかりの国） | 2026/9/25(金) | 沖縄県
