lg=01 total=269 pages=27
parsed items: 214 (fetched up to page 28)
already in DB (eventCd一致): 190 | NOT in DB (new candidates): 24
  うち 17件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/_sweepbucket_01_52.json
 NEW |  | ＡＫＩＨＩＤＥ | 2026/11/8(日) | 北海道
 NEW |  | ＨＹ | 2026/10/10(土) | 北海道
 NEW |  | Ｅｌｅｍｅｎｔ Ｓｉｃｋｓ | 2026/8/11(火・祝) ～ 2026/ | 北海道／東京都／愛知県／大阪府／福岡県
 NEW |  | 小椋佳 | 2026/9/28(月) | 北海道
 NEW |  | Ochunism | 2026/11/1(日) | 北海道
 NEW |  | HONEST | 2026/9/19(土) | 北海道
 NEW |  | オレンジスパイニクラブ | 2026/10/31(土) | 北海道
 NEW |  | Cloudy | 2026/11/1(日) | 北海道
 NEW |  | THE YELLOW MONKEY | 2026/9/26(土) | 北海道
 NEW |  | 杉山清貴 | 2026/10/30(金) ・ 2026/1 | 北海道
 NEW |  | ｓｏｕｌｓｉｎ－ｇ ａｎｄ ｈｉｓ ｂａｎｄ ２ | 2026/9/26(土) | 北海道
 NEW |  | TOWER RECORDS “NO MUSIC, | 2026/10/4(日) | 北海道
 NEW |  | テレビ大陸音頭 | 2026/10/11(日) ・ 2026/1 | 北海道／東京都
 NEW |  | Night Tempo | 2026/11/6(金) | 北海道
 NEW |  | なとり | 2026/10/28(水) | 北海道
 NEW |  | ハラミちゃん | 2026/12/19(土) | 北海道
 NEW |  | ＨＡＭＢＵＲＧＥＲ ＢＯＹＳ | 2026/10/31(土) | 北海道
 NEW |  | First Love is Never Retu | 2026/11/7(土) | 北海道
 NEW |  | ふみ 芸術の秋なのでやっぱり今年もライブやります | 2026/10/3(土) | 北海道
 NEW |  | フルカワユタカ | 2026/10/4(日) | 北海道
 NEW |  | maya ongaku | 2026/11/7(土) | 北海道
 NEW |  | ＴＨＥ ＭＯＤＳ | 2026/11/7(土) | 北海道
 NEW |  | ももいろクローバーZ | 2026/12/3(木) | 北海道
 NEW |  | 森大翔 | 2026/10/31(土) | 北海道
