lg=01 total=401 pages=41
parsed items: 278 (fetched up to page 42)
already in DB (eventCd一致): 211 | NOT in DB (new candidates): 67
  うち 59件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/_sweepbucket_01_53.json
 NEW |  | ＡＳＫＡ | 2026/10/16(金) ・ 2026/1 | 鳥取県／岡山県
 NEW |  | ウルフルズ | 2026/9/26(土) | 香川県
 NEW |  | ｏｓａｇｅ | 2026/10/24(土) | 広島県
 NEW |  | Ochunism | 2026/10/18(日) | 広島県
 NEW |  | HONEST | 2026/6/27(土) ～ 2026/10 | 宮城県／栃木県／東京都／神奈川県／岐阜県／静岡県／愛知県／大阪府／兵庫県／岡山県／広島県／香川県／福岡県
 NEW |  | オレンジスパイニクラブ | 2026/10/18(日) | 広島県
 NEW |  | 河村隆一 | 2026/11/7(土) | 広島県
 NEW |  | Ｇａｌｉｌｅｏ Ｇａｌｉｌｅｉ | 2026/11/20(金) | 広島県
 NEW |  | 岸谷香 | 2026/9/22(火・祝) ・ 2026/ | 鳥取県／広島県
 NEW |  | キュウソネコカミ | 2026/10/16(金) | 広島県
 NEW |  | キュウソネコカミ | 2027/1/30(土) | 高知県
 NEW |  | KUZIRA | 2026/9/21(月・祝) | 高知県
 NEW |  | ここが俺らの夢番地！！－白壁の街編－ | 2026/10/9(金) | 岡山県
 NEW |  | ここが俺らの夢番地！！－ニホンカワウソの街編－ | 2026/10/11(日) | 高知県
 NEW |  | Ｓｕｎｄａｅ Ｍａｙ Ｃｌｕｂ | 2026/11/8(日) | 岡山県
 NEW |  | ｔｈｅ ｂａｎｄ ａｐａｒｔ | 2026/12/5(土) | 岡山県
 NEW |  | ＳＨＥ’Ｓ | 2026/10/30(金) | 愛媛県
 NEW |  | ＴＨＥ＆ | 2026/9/21(月・祝) | 広島県
 NEW |  | 杉山清貴 | 2026/11/22(日) ・ 2026/1 | 広島県
 NEW |  | ３ｍａｒｋｅｔｓ［ ］ | 2026/10/3(土) | 広島県
 NEW |  | 世良公則 | 2026/10/25(日) | 山口県
 NEW |  | Ｓｏａｌａ | 2026/11/3(火・祝) | 香川県
 NEW |  | Ｓｏａｌａ | 2026/11/27(金) | 広島県
 NEW |  | 竹原ピストル | 2026/12/5(土) | 香川県
 NEW |  | ちゃくら | 2026/10/3(土) | 岡山県
