lg=01 total=350 pages=35
parsed items: 248 (fetched up to page 36)
already in DB (eventCd一致): 221 | NOT in DB (new candidates): 27
  うち 22件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/_sweepbucket_01_54.json
 NEW |  | Ｉ Ｄｏｎ’ｔ Ｌｉｋｅ Ｍｏｎｄａｙｓ． | 2026/11/28(土) | 宮城県
 NEW |  | ＵＮＦＡＩＲ ＲＵＬＥ | 2026/10/9(金) | 宮城県
 NEW |  | Ochunism | 2026/10/30(金) | 宮城県
 NEW |  | HONEST | 2026/6/27(土) ～ 2026/10 | 宮城県／栃木県／東京都／神奈川県／岐阜県／静岡県／愛知県／大阪府／兵庫県／岡山県／広島県／香川県／福岡県
 NEW |  | オレンジスパイニクラブ | 2026/11/14(土) ・ 2026/1 | 岩手県／宮城県／福島県
 NEW |  | ガラスの靴は落とさない | 2026/9/16(水) | 宮城県
 NEW |  | 岸谷香 | 2026/11/8(日) | 秋田県
 NEW |  | 筋肉少女帯 | 2026/10/31(土) | 宮城県
 NEW |  | Cloudy | 2026/11/3(火・祝) | 宮城県
 NEW |  | コドモパーティーIII | 2026/10/3(土) | 宮城県
 NEW |  | ｇｏ！ｇｏ！ｖａｎｉｌｌａｓ | 2026/10/31(土) | 宮城県
 NEW |  | THE YELLOW MONKEY | 2026/10/11(日) | 宮城県
 NEW |  | 杉山清貴 | 2026/11/7(土) ・ 2026/11 | 宮城県
 NEW |  | 宝くじ文化公演 松崎しげる＆渡辺真知子ジョイント | 2026/10/25(日) | 山形県
 NEW |  | Chilli Beans. | 2026/10/31(土) | 宮城県
 NEW |  | ティーナ・カリーナ | 2026/9/23(水・祝) | 宮城県
 NEW |  | 手嶌葵 | 2026/12/6(日) | 山形県
 NEW |  | Night Tempo | 2026/11/3(火・祝) | 宮城県
 NEW |  | 中村ゆりか | 2026/11/21(土) | 宮城県
 NEW |  | ねぐせ。 | 2026/10/25(日) | 宮城県
 NEW |  | のん | 2026/10/18(日) | 岩手県
 NEW |  | ハラミちゃん | 2026/10/12(月・祝) | 福島県
 NEW |  | PURPLE BUBBLE | 2026/10/25(日) | 宮城県
 NEW |  | フラワーカンパニーズ | 2026/9/21(月・祝) | 福島県
 NEW |  | マカロニえんぴつ | 2026/11/21(土) | 宮城県
