lg=01 total=258 pages=26
parsed items: 244 (fetched up to page 27)
already in DB (eventCd一致): 211 | NOT in DB (new candidates): 33
  うち 31件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/_sweepbucket_01_56.json
 NEW |  | 石川さゆり | 2026/9/26(土) | 兵庫県
 NEW |  | 石川さゆり | 2026/11/25(水) | 埼玉県
 NEW |  | 石川さゆりコンサート ～極上のアンサンブル～ | 2026/10/4(日) | 山梨県
 NEW |  | 木村家ファミリーコンサート２０２６ | 2026/11/10(火) | 長野県
 NEW |  | 鼓童 | 2026/9/16(水) | 広島県
 NEW |  | 真田ナオキ | 2026/11/22(日) | 大阪府
 NEW |  | 真田ナオキ コンサート2026 | 2026/9/22(火・祝) | 兵庫県
 NEW |  | 真田ナオキ ＬＩＶＥ２０２６ 浅草ディスコ | 2026/10/23(金) ・ 2026/1 | 東京都
 NEW |  | 島津亜矢 | 2026/9/22(火・祝) | 千葉県
 NEW |  | 辰巳ゆうと | 2026/11/20(金) | 奈良県
 NEW |  | 天童よしみ | 2026/10/7(水) ・ 2026/10 | 大阪府
 NEW |  | 天童よしみ | 2026/10/29(木) ・ 2026/1 | 茨城県／東京都／神奈川県
 NEW |  | 東儀秀樹 | 2026/10/3(土) | 愛知県
 NEW |  | 徳永ゆうき | 2026/10/18(日) | 宮城県
 NEW |  | ＴＡＬＫ＆ＬＩＶＥ ザ・ゴールデンステージ ｐｒ | 2026/10/31(土) | 長崎県
 NEW |  | パク・ジュニョン | 2026/10/26(月) | 東京都
 NEW |  | 風輪 | 2026/10/30(金) | 埼玉県
 NEW |  | 福田こうへい | 2026/9/19(土) | 神奈川県
 NEW |  | 福田こうへい | 2026/9/25(金) | 埼玉県
 NEW |  | 福田こうへい | 2026/10/18(日) | 千葉県
 NEW |  | 福田こうへい | 2026/11/29(日) | 秋田県
 NEW |  | 舟木一夫 | 2026/10/13(火) ・ 2026/1 | 大阪府／兵庫県
 NEW |  | 舟木一夫 | 2026/9/25(金) ・ 2026/10 | 茨城県／埼玉県
 NEW |  | 舟木一夫 | 2026/11/10(火) ・ 2026/1 | 福島県／栃木県
 NEW |  | 舟木一夫 | 2026/11/4(水) ・ 2026/11 | 新潟県／山梨県
