lg=01 total=95 pages=10
parsed items: 45 (fetched up to page 11)
already in DB (eventCd一致): 13 | NOT in DB (new candidates): 32
  うち 4件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/_sweepbucket_01_60.json
 NEW |  | 秋田CARAVAN MUSIC FES 2026 | 2026/9/26(土) ・ 2026/9/ | 秋田県
 NEW |  | OURSONGS IN THE PARK 202 | 2026/11/14(土) | 沖縄県
 NEW |  | September JAM(ARTS／風とロック | 2026/9/21(月・祝) ～ 2026/ | 福島県
 NEW |  | AIR JAM 2026 | 2026/11/7(土) | 千葉県
 NEW |  | overhead fes'2026 | 2026/11/14(土) ・ 2026/1 | 長野県
 NEW |  | 風とロック芋煮会ｉｎ Ｓｅｐｔｅｍｂｅｒ ＪＡＭ | 2026/9/21(月・祝) | 福島県
 NEW |  | Karatsu Drop Festival 20 | 2026/9/26(土) ・ 2026/9/ | 佐賀県
 NEW |  | クロマンタＲＯＣＫ－ＦＥＳ | 2026/11/1(日) | 秋田県
 NEW |  | Kobe Calling 2026 | 2026/8/17(月) ～ 2026/10 | 兵庫県
 NEW |  | KOYABU SONIC 2026 | 2026/9/21(月・祝) ・ 2026/ | 大阪府
 NEW |  | SHINE UP FES！2026 | 2026/9/5(土) ～ 2026/9/6 | 鳥取県
 NEW |  | JA共済 presents RADIO BERR | 2026/9/5(土) ・ 2026/9/6 | 栃木県
 NEW |  | SWEET LOVE SHOWER | 2026/8/28(金) | 山梨県
 NEW |  | 中島美嘉 | 2026/9/26(土) | 東京都
 NEW |  | 中津川 ＷＩＬＤ ＷＯＯＤ ２０２６ | 2026/9/19(土) ・ 2026/9/ | 岐阜県
 NEW |  | ナガノアニエラフェスタ2026 | 2026/9/19(土) ～ 2026/9/ | 長野県
 NEW |  | New Acoustic Camp 2026 | 2026/9/19(土) ～ 2026/9/ | 群馬県
 NEW |  | Ｎｅｗ Ａｃｏｕｓｔｉｃ Ｃａｍｐ ２０２６＜サ | 2026/9/19(土) ・ 2026/9/ | 群馬県
 NEW |  | HAKUBA Mountain Festival | 2026/8/29(土) ～ 2026/8/ | 長野県
 NEW |  | ＢＵＲＳＴ ＭＡＸ’ ２６ | 2026/10/31(土) ・ 2026/1 | 島根県
 NEW |  | 日高コズミック祭り2026 | 2026/8/29(土) | 北海道
 NEW | TODAY | ＨＥＲＯ ＧＡＴＥ | 2026/10/12(月・祝) | 東京都
 NEW |  | Fantastic Date fm MEGA★R | 2026/10/3(土) | 宮城県
 NEW |  | THE BOOSTER ROCK FES.202 | 2026/10/10(土) | 北海道
 NEW |  | １゜Ｆｅｓｔｉｖａｌ ｄｏ Ｃｈｏｒｏ | 2026/10/2(金) ・ 2026/10 | 茨城県／兵庫県
