lg=01 total=39 pages=4
parsed items: 38 (fetched up to page 5)
already in DB (eventCd一致): 22 | NOT in DB (new candidates): 16
  うち 10件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/_sweepbucket_01_9.json
 NEW |  | Ochunism | 2026/11/6(金) | 茨城県
 NEW |  | Ｇｏｄｉｅｇｏ | 2026/9/22(火・祝) | 茨城県
 NEW |  | SILENT SIREN | 2026/10/9(金) | 茨城県
 NEW |  | 鈴木雅之 | 2026/10/11(日) | 茨城県
 NEW |  | ３ｍａｒｋｅｔｓ［ ］ | 2026/10/23(金) | 茨城県
 NEW |  | ＴａＮａＢａＴａ | 2026/9/6(日) | 茨城県
 NEW |  | つきみ | 2026/4/26(日) ～ 2027/1/ | 北海道／宮城県／茨城県／栃木県／千葉県／新潟県／石川県／静岡県／愛知県／京都府／大阪府／兵庫県／広島県／香川県／高知県／福岡県
 NEW |  | デラックス×デラックス | 2026/7/26(日) ・ 2026/9/ | 茨城県／長野県
 NEW |  | 怒髪天 | 2026/11/14(土) | 茨城県
 NEW |  | 中島卓偉 | 2027/1/31(日) | 茨城県
 NEW |  | 花冷え。 | 2026/10/2(金) | 茨城県
 NEW |  | ハラミちゃん | 2026/10/31(土) | 茨城県
 NEW |  | プッシュプルポット | 2026/12/11(金) | 茨城県
 NEW |  | 南こうせつ | 2026/10/10(土) | 茨城県
 NEW |  | 元ｃｌａｓｓ 日浦孝則ライブツアー２０２６ 日立 | 2026/9/12(土) | 茨城県
 NEW |  | Rayflower | 2026/9/12(土) ・ 2026/9/ | 茨城県／栃木県
