lg=02 total=103 pages=11
parsed items: 75 (fetched up to page 12)
already in DB (eventCd一致): 39 | NOT in DB (new candidates): 36
  うち 6件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/_sweepbucket_02_11.json
 NEW |  | 綾小路きみまろ 爆笑！スーパーライブ2026 | 2026/10/6(火) ・ 2026/10 | 宮崎県
 NEW |  | いきいき爆笑寄席 | 2026/11/4(水) | 長崎県
 NEW |  | オジサンズ８全国ツアー～今年もあなたの街に逢いに | 2026/7/1(水) ・ 2026/9/1 | 東京都／大阪府／熊本県
 NEW |  | カゲヤマｐｒｅｓｅｎｔｓ １４期大暴れツアーｉｎ | 2026/9/23(水・祝) | 沖縄県
 NEW |  | 桂まん我ひとり会・博多 第５０回スペシャル | 2026/10/14(水) | 福岡県
 NEW |  | 銀シャリ単独ライブ２０２６「ベシャリの帝王 萬才 | 2026/8/28(金) ～ 2026/12 | 宮城県／東京都／愛知県／兵庫県／福岡県
 NEW |  | 最強！ものまねフェスｉｎ佐賀 | 2026/9/12(土) | 佐賀県
 NEW |  | サルゴリラのコントと旅２０２６ | 2026/10/2(金) ～ 2026/12 | 北海道／青森県／石川県／愛知県／大阪府／広島県／香川県／熊本県
 NEW |  | サルゴリラのコントと旅２０２６ | 2026/11/28(土) | 福岡県
 NEW |  | 三遊亭圓歌 独演会 | 2026/9/5(土) | 福岡県
 NEW |  | 三遊亭好一郎・ましき寄席 これであなたも落語通！ | 2026/11/1(日) | 熊本県
 NEW |  | 三遊亭ごはんつぶ落語会 | 2026/9/26(土) | 佐賀県
 NEW |  | 春風亭一之輔のドッサりまわるぜ２０２６ | 2026/9/20(日) | 福岡県
 NEW |  | 春風亭一之輔のドッサりまわるぜ２０２６ | 2026/9/21(月・祝) | 熊本県
 NEW |  | 真空ジェシカ全国漫才コントツアー２０２６「全国の | 2026/9/12(土) | 鹿児島県
 NEW |  | 人力舎ＡＮＮＥＸ Ｐｒｅｓｅｎｔｓ 人力舎お笑い | 2026/11/29(日) | 大分県
 NEW |  | 立川生九郎落語ＳＨＯＷ ｉｎ福岡 | 2026/11/2(月) | 福岡県
 NEW |  | 立川生志落語会 ひとりブタばい シーズン２ | 2026/9/5(土) | 福岡県
 NEW |  | 立川志らく 独演会 | 2026/9/12(土) | 佐賀県
 NEW |  | 立川志らく独演会 | 2026/11/14(土) | 熊本県
 NEW |  | 立川談春 独演会 | 2026/9/22(火・祝) | 福岡県
 NEW |  | 立川談春 独演会 | 2026/9/23(水・祝) | 鹿児島県
 NEW |  | ダイタクの６０分漫才～ツアー２０２６～ ベストネ | 2026/8/7(金) ・ 2026/8/2 | 北海道／宮城県／熊本県
 NEW |  | チュートリアルライブ「荒波の日本海ツアー」 | 2026/7/4(土) ～ 2026/12/ | 青森県／秋田県／新潟県／石川県／京都府／島根県／長崎県
 NEW |  | ＣＨＯＣＯＬＡＴＥ ＰＬＡＮＥＴ ＬＩＶＥ ＴＯ | 2026/8/6(木) ～ 2026/9/2 | 北海道／秋田県／福島県／東京都／石川県／愛知県／京都府／山口県／高知県／長崎県／沖縄県
