lg=02 total=31 pages=4
parsed items: 31 (fetched up to page 5)
already in DB (eventCd一致): 14 | NOT in DB (new candidates): 17
  うち 1件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/_sweepbucket_02_15.json
 NEW |  | 越中ホール寄席２０２６＜講談編＞ 神田伯山独演会 | 2026/10/18(日) | 富山県
 NEW |  | 桂まん我ひとり会・金沢 | 2026/10/6(火) | 石川県
 NEW |  | 桂まん我ひとり会・福井 | 2026/10/20(火) | 福井県
 NEW |  | 桂宮治 全国ツアー ２０２６ ～Ｒｅｍｅｍｂｅｒ | 2027/1/17(日) | 石川県
 NEW |  | 寛平ＧＭプロデュース公演 新喜劇出前ツアー２０２ | 2026/10/4(日) | 福井県
 NEW |  | サルゴリラのコントと旅２０２６ | 2026/10/2(金) ～ 2026/12 | 北海道／青森県／石川県／愛知県／大阪府／広島県／香川県／熊本県
 NEW |  | 志の輔らくご ブリリアント５ | 2026/9/21(月・祝) | 富山県
 NEW |  | 立川小春志芸歴二十周年記念落語会 | 2026/12/5(土) | 福井県
 NEW |  | チュートリアルライブ「荒波の日本海ツアー」 | 2026/7/4(土) ～ 2026/12/ | 青森県／秋田県／新潟県／石川県／京都府／島根県／長崎県
 NEW |  | ＣＨＯＣＯＬＡＴＥ ＰＬＡＮＥＴ ＬＩＶＥ ＴＯ | 2026/8/6(木) ～ 2026/9/2 | 北海道／秋田県／福島県／東京都／石川県／愛知県／京都府／山口県／高知県／長崎県／沖縄県
 NEW |  | 鳥肌実 | 2026/9/21(月・祝) | 富山県
 NEW |  | トータルテンボス全国漫才ツアー2026「ニコイチ | 2026/10/3(土) ～ 2026/11 | 北海道／福島県／新潟県／福井県／広島県／香川県／宮崎県
 NEW |  | NON STYLE LIVE 2026 ～リバー | 2026/10/24(土) ～ 2026/1 | 北海道／東京都／石川県／滋賀県／大阪府／香川県
 NEW |  | 爆笑ものまねライブ２０２６ ｉｎ 富山 | 2026/9/23(水・祝) | 富山県
 NEW |  | ミラクルひかる×エハラマサヒロ スペシャルものま | 2026/10/3(土) | 石川県
 NEW |  | 村上ショージ全国ツアー～小さな笑いを全国に～ | 2026/7/19(日) ～ 2026/12 | 山形県／石川県／静岡県／滋賀県／山口県／長崎県
 NEW |  | Ｌｏｖｅ Ｍｅ Ｄｏの開運・占いトークライブ！『 | 2026/9/19(土) ～ 2026/10 | 青森県／新潟県／石川県／福岡県／鹿児島県
