lg=02 total=19 pages=2
parsed items: 18 (fetched up to page 3)
already in DB (eventCd一致): 7 | NOT in DB (new candidates): 11
  うち 5件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/_sweepbucket_02_16.json
 NEW |  | 「伊東四朗一座リターンズ！？ ｉｎ浅草公会堂」～ | 2026/8/31(月) ・ 2026/9/ | 東京都
 NEW |  | 梅沢富美男／研ナオコ | 2026/10/19(月) | 佐賀県
 NEW |  | 梅沢富美男劇団 | 2026/10/27(火) ・ 2026/1 | 北海道
 NEW |  | 梅沢富美男劇団 小牧特別公演 | 2026/9/5(土) | 愛知県
 NEW |  | 梅沢富美男劇団特別公演 梅沢富美男＆研ナオコ ア | 2026/8/19(水) ～ 2026/9/ | 茨城県／群馬県／千葉県／東京都
 NEW |  | 梅沢富美男劇団特別公演 梅沢富美男＆研ナオコ ア | 2026/10/1(木) ・ 2026/10 | 埼玉県／東京都／神奈川県
 NEW |  | 三人でシェイクスピア | 2026/9/15(火) ・ 2026/10 | 埼玉県／東京都
 NEW |  | THE TALK SHOW 「ミュージカル『RE | 2026/9/5(土) | 福岡県
 NEW |  | 第１０回全国バレエコンクール プリ・ド・カナザワ | 2026/9/20(日) ・ 2026/9/ | 石川県
 NEW |  | 【東京】ぴあカード presents プレミアム | 2026/10/15(木) | 東京都
 NEW |  | 舞台芸術祭「秋の隕石2026東京」 山城知佳子『 | 2026/10/30(金) ～ 2026/1 | 東京都
