lg=02 total=258 pages=26
parsed items: 87 (fetched up to page 27)
already in DB (eventCd一致): 50 | NOT in DB (new candidates): 37
  うち 4件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/_sweepbucket_02_3.json
 NEW |  | 「明日への扉」 | 2026/9/24(木) ・ 2026/9/ | 東京都
 NEW |  | 音楽座ミュージカル「カイブツはささやく」 | 2026/10/11(日) ～ 2026/1 | 東京都
 NEW |  | KURUMU OKAMIYA 1st CONCE | 2026/9/26(土) ・ 2026/9/ | 大阪府
 NEW |  | 劇団四季「オペラ座の怪人」／名古屋 | 2026/8/6(木) ～ 2026/8/3 | 愛知県
 NEW |  | 劇団四季ファミリーミュージカル「王様の耳はロバの | 2026/10/23(金) | 宮城県
 NEW |  | 劇団四季ファミリーミュージカル「はじまりの樹の神 | 2026/10/25(日) | 大阪府
 NEW |  | 劇団四季「マンマ・ミーア！」／広島 | 2026/10/4(日) ～ 2026/10 | 広島県
 NEW |  | 劇団四季ミュージカル『ノートルダムの鐘』／大阪 | 2026/9/1(火) ～ 2026/9/2 | 大阪府
 NEW |  | 劇団四季『ライオンキング』／東京 | 2026/9/1(火) ～ 2026/9/2 | 東京都
 NEW |  | 劇団四季「リトルマーメイド」／舞浜 | 2026/9/15(火) ～ 2026/9/ | 千葉県
 NEW |  | 劇団四季『ロボット・イン・ザ・ガーデン』／東京 | 2026/11/8(日) ～ 2026/11 | 東京都
 NEW |  | 劇団四季『ロボット・イン・ザ・ガーデン』２０２６ | 2026/11/8(日) ～ 2026/11 | 東京都
 NEW |  | 劇団四季『ロボット・イン・ザ・ガーデン』２０２６ | 2026/12/2(水) ～ 2026/12 | 東京都
 NEW |  | サンリオキャラクターズ ファミリーミュージカル  | 2026/10/4(日) | 鹿児島県
 NEW |  | ２０２６ ＳＨＯＷ ＭＵＳＩＣＡＬ 『ＴＯＵＣＨ | 2026/9/24(木) ～ 2026/10 | 東京都／大阪府
 NEW |  | SHOW×MUSICAL『ドリームハイ』プレミア | 2026/9/3(木) | 東京都
 NEW |  | スクールアイドルミュージカル | 2026/9/19(土) | 東京都
 NEW |  | 宝塚歌劇月組 兵庫県立芸術文化センター公演 ミュ | 2026/9/13(日) ～ 2026/9/ | 兵庫県
 NEW |  | 【東京】ぴあカード presents プレミアム | 2026/10/15(木) | 東京都
 NEW |  | 日生劇場ファミリーフェスティヴァル 2026 音 | 2026/9/5(土) | 山口県
 NEW |  | 光の中へ ～アン・サリバン物語～ | 2026/12/5(土) ・ 2027/1/ | 滋賀県／奈良県
 NEW |  | 美少女戦士セーラームーン -Shining Th | 2026/8/24(月) ～ 2026/8/ | 東京都
 NEW |  | 美少女戦士セーラームーン -Shining Th | 2026/9/1(火) ～ 2026/9/6 | 東京都
 NEW |  | 美少女戦士セーラームーン -Shining Th | 2026/10/1(木) ～ 2026/10 | 東京都
 NEW |  | 美少女戦士セーラームーン -Shining Th | 2026/11/1(日) ～ 2026/11 | 東京都
