lg=02 total=119 pages=12
parsed items: 92 (fetched up to page 13)
already in DB (eventCd一致): 39 | NOT in DB (new candidates): 53
  うち 7件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/_sweepbucket_02_5.json
 NEW |  | アラジン Ｔｈｅ Ｂａｌｌｅｔ Ｓｈｏｗ | 2026/10/10(土) ・ 2026/1 | 東京都／大阪府
 NEW |  | アリス・リポル／Ｃｉａ．ＲＥＣ 「Ａｄｏｒｎｏ  | 2026/10/17(土) ・ 2026/1 | 京都府
 NEW |  | 第三回 市川團子 新翔 春秋会 | 2026/10/16(金) ・ 2026/1 | 京都府
 NEW |  | イーゴリ・モイセーエフ生誕１２０周年記念モイセー | 2026/10/27(火) ～ 2026/1 | 東京都
 NEW |  | エンターテインメントフェスティバル２０２６ ｉｎ | 2026/10/17(土) | 福岡県
 NEW |  | キーウ・クラシック・バレエ | 2026/10/30(金) | 神奈川県
 NEW |  | キーウ・クラシック・バレエ | 2026/11/21(土) ・ 2026/1 | 京都府／大阪府／奈良県
 NEW |  | キーウ・クラシック・バレエ | 2026/12/23(水) | 神奈川県
 NEW |  | キーウ・クラシック・バレエ くるみ割り人形 ～全 | 2026/11/29(日) | 佐賀県
 NEW |  | キーウ・クラシック・バレエ「白鳥の湖」（全２幕） | 2026/11/15(日) | 千葉県
 NEW |  | キーウ・クラシック・バレエ ロミオとジュリエット | 2026/12/26(土) | 香川県
 NEW |  | 熊川哲也 Ｋ－ＢＡＬＬＥＴ ＴＯＫＹＯ Ａｕｔｕ | 2026/10/9(金) ・ 2026/10 | 大阪府
 NEW |  | 【当日引換券】熊川哲也 Ｋ－ＢＡＬＬＥＴ ＴＯＫ | 2026/10/9(金) | 大阪府
 NEW |  | コンカリーニョ２０周年記念提携企画 昭和レディの | 2026/10/17(土) | 北海道
 NEW |  | Ｇｏｌｐｅ２０２６ | 2026/9/23(水・祝) | 石川県
 NEW |  | 新国立劇場バレエ団「街の灯」 | 2026/11/1(日) | 東京都
 NEW |  | 新国立劇場バレエ団 ロンドン公演凱旋企画 「ジゼ | 2026/11/14(土) ・ 2026/1 | 福岡県
 NEW |  | １０／１６新作『天ノ鳥船』 １０／２０『ふた花』 | 2026/10/16(金) ・ 2026/1 | 福岡県
 NEW |  | 須山仁美クラシックバレエ定期公演２０２６ | 2026/10/11(日) | 愛知県
 NEW |  | Ｓｕｐｅｒ Ｔａｐ Ｐｅｒｆｏｒｍａｎｃｅ ＳＰ | 2026/10/3(土) ・ 2026/10 | 愛知県
 NEW |  | 仙臺舞篝【ＳＥＮＤＡＩ ＭＡＩ ＫＡＧＡＲＩ】 | 2026/10/31(土) | 宮城県
 NEW |  | 第１０回全国バレエコンクール プリ・ド・カナザワ | 2026/9/20(日) ・ 2026/9/ | 石川県
 NEW |  | 第４回平和の舞＜神楽の学校２０２６ｉｎアステール | 2026/11/15(日) | 広島県
 NEW |  | Ｄａｎｃｅ Ｅｘｈｉｂｉｔｉｏｎ ２０２６ ｉｎ | 2026/10/25(日) | 埼玉県
 NEW |  | Ｄａｎｃｅ Ｅｘｈｉｂｉｔｉｏｎ ２０２６ ｉｎ | 2026/9/19(土) | 広島県
