lg=02 total=34 pages=4
parsed items: 22 (fetched up to page 5)
already in DB (eventCd一致): 7 | NOT in DB (new candidates): 15
  うち 8件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/_sweepbucket_02_6.json
 NEW |  | 遠藤 薫｜ミトゥ・セン | 2026/10/3(土) ・ 2026/10 | 京都府
 NEW |  | カズキのタネ | 2026/10/2(金) | 神奈川県
 NEW |  | カズキのタネツアー 2026 S4K | 2026/9/12(土) | 宮城県
 NEW |  | カルメン・リー＆チュンシン・オー／シアター・デュ | 2026/10/10(土) ・ 2026/1 | 京都府
 NEW |  | キム・カンヨン、イ・ミンジン、パク・ミンヒ | 2026/10/16(金) ・ 2026/1 | 京都府
 NEW |  | 劇団壱劇屋本公演 | 2026/11/20(金) ～ 2026/1 | 大阪府
 NEW |  | サムライ・ロック・オーケストラ | 2026/9/6(日) | 東京都
 NEW |  | 舞台芸術祭「秋の隕石2026東京」 あぃたら え | 2026/10/9(金) ・ 2026/10 | 東京都
 NEW |  | 舞台芸術祭「秋の隕石2026東京」 虹組ファイツ | 2026/10/25(日) | 東京都
 NEW |  | 舞台芸術祭「秋の隕石2026東京」 捩子ぴじん＋ | 2026/10/9(金) ～ 2026/10 | 東京都
 NEW |  | 舞台芸術祭「秋の隕石2026東京」 花形 槙『エ | 2026/10/29(木) ～ 2026/1 | 東京都
 NEW |  | Ｔｈｅ ｐａｉｎｔｅｒｓ | 2026/9/1(火) ～ 2026/9/3 | 
 NEW |  | Ｔｈｅ ｐａｉｎｔｅｒｓ | 2026/10/1(木) ～ 2026/10 | 
 NEW |  | Ｔｈｅ ｐａｉｎｔｅｒｓ | 2026/11/1(日) ～ 2026/11 | 
 NEW |  | ホー・ルイアン 「歴史のすがた／知能の立脚点」 | 2026/10/10(土) ・ 2026/1 | 京都府
