lg=02 total=133 pages=14
parsed items: 120 (fetched up to page 15)
already in DB (eventCd一致): 62 | NOT in DB (new candidates): 58
  うち 10件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/_sweepbucket_02_7.json
 NEW |  | 市川猿四郎さんに学ぶ 歌舞伎のみかた楽しみ方スー | 2026/9/20(日) | 京都府
 NEW |  | 市川猿四郎さんに学ぶ 歌舞伎のみかた楽しみ方スー | 2026/12/17(木) | 神奈川県
 NEW |  | 市川猿四郎さんに学ぶ 歌舞伎のみかた楽しみ方スー | 2026/10/19(月) | 神奈川県
 NEW |  | 第三回 市川團子 新翔 春秋会 | 2026/10/16(金) ・ 2026/1 | 京都府
 NEW |  | 永平寺東京別院 長谷寺勧進薪能 | 2026/10/17(土) | 
 NEW |  | 第２９回 大分「万作・萬斎の会」 | 2026/9/26(土) | 大分県
 NEW |  | 大島能楽堂定期公演２０２６ 望月 | 2026/11/15(日) | 広島県
 NEW |  | 大槻能楽堂自主公演能 能の魅力を探るシリーズ | 2026/9/27(日) | 大阪府
 NEW |  | 大濠公園能楽堂 開館４０周年記念公演 能「道成寺 | 2026/10/11(日) | 福岡県
 NEW |  | おかやま日本舞踊公演～舞踊と響の祭典～ | 2026/9/20(日) | 岡山県
 NEW |  | 尾上右近自主公演 第十回「研の會」 FINAL | 2026/10/2(金) ・ 2026/10 | 東京都
 NEW |  | 尾上右近 自主公演 第十回「研の會」ＦＩＮＡＬ | 2026/9/5(土) ・ 2026/9/6 | 大阪府
 NEW |  | 歌舞伎を支える仕事を知る 附け打ち体験会２０２６ | 2026/10/4(日) ～ 2026/10 | 東京都
 NEW |  | 歌舞伎を知って学んで体験しよう！伝統芸能特別体験 | 2026/9/13(日) ・ 2026/9/ | 北海道
 NEW |  | 共演神楽の舞 | 2026/9/26(土) | 広島県
 NEW |  | 狂言師 野村万作・萬斎の世界 | 2026/11/8(日) | 埼玉県
 NEW |  | 狂言の世界 | 2026/12/12(土) | 埼玉県
 NEW |  | ぎふ清流座 地芝居公演 秋 | 2026/10/12(月・祝) | 岐阜県
 NEW |  | 『九月博多座特別公演 坂東玉三郎 出演』 | 2026/9/3(木) | 福岡県
 NEW |  | 国立劇場×刀剣乱舞ＯＮＬＩＮＥ 刀剣男士 髭切・ | 2026/11/1(日) | 岡山県
 NEW |  | 国立能楽堂 ９月定例公演 | 2026/9/18(金) | 東京都
 NEW |  | 金剛定期能 東京公演 | 2026/10/3(土) | 東京都
 NEW |  | さかえ狂言御洒落会 | 2026/7/12(日) ・ 2026/8/ | 愛知県
 NEW |  | ２０２６年 茂山狂言会・秋 千五郎襲名１０周年記 | 2026/9/23(水・祝) | 京都府
 NEW |  | 初秋のめぐろ狂言 | 2026/9/6(日) | 東京都
