lg=02 total=490 pages=49
parsed items: 476 (fetched up to page 50)
already in DB (eventCd一致): 230 | NOT in DB (new candidates): 246
  うち 26件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/_sweepbucket_02_8.json
 NEW |  | 秋の特別落語会 ｉｎ 長岡 | 2026/9/6(日) | 新潟県
 NEW |  | 秋の四景 | 2026/9/24(木) | 東京都
 NEW |  | あっちこっちカンパニ～ | 2027/3/29(月) | 東京都
 NEW |  | ＡＴＳＵＫＯ ＯＫＡＴＳＵＫＡ | 2026/11/17(火) | 東京都
 NEW |  | ＡＡＲＯＮ ＣＨＥＮ | 2026/10/28(水) | 東京都
 NEW |  | 市馬落語集 秋の公演 | 2026/9/12(土) | 東京都
 NEW |  | 雲古塾《雲助の古典を識る塾》手習６「名人長二」雲 | 2026/10/28(水) | 東京都
 NEW |  | 演芸平家物語 | 2026/11/2(月) | 東京都
 NEW |  | ２０２６年圓朝祭 | 2026/9/12(土) ・ 2026/9/ | 東京都
 NEW |  | 黄金の噺家計画 Ｖｏｌ．１ | 2026/11/7(土) | 東京都
 NEW |  | 第九十六回大手町落語会スペシャル さん喬・権太楼 | 2026/10/24(土) | 東京都
 NEW |  | オジサンズ８全国ツアー～今年もあなたの街に逢いに | 2026/7/1(水) ・ 2026/9/1 | 東京都／大阪府／熊本県
 NEW |  | おとぼけ四景 | 2026/9/24(木) | 東京都
 NEW |  | 桂源太桂天吾ふたり会ｉｎ東京第９回 | 2026/10/3(土) | 東京都
 NEW |  | 桂三四郎独演会 一も二もなく三四郎独演 Ｖｏｌ． | 2026/11/23(月・祝) | 東京都
 NEW |  | 桂三実桂九ノ一ふたり会第四回 | 2026/10/3(土) | 東京都
 NEW |  | 桂三実完全創作落語会第三回 | 2026/10/24(土) | 東京都
 NEW |  | 桂伸治桂伸べえ親子会 | 2026/11/1(日) | 東京都
 NEW |  | 桂伸べえ独演会 | 2026/9/5(土) | 東京都
 NEW |  | 桂二葉独演会 | 2026/9/23(水・祝) | 東京都
 NEW |  | 桂二葉独演会 | 2026/10/1(木) | 神奈川県
 NEW |  | 桂まん我ひとり会・東京 | 2026/10/5(月) | 東京都
 NEW |  | 桂宮治 全国ツアー２０２６ ～Ｒｅｍｅｍｂｅｒ  | 2026/11/24(火) | 神奈川県
 NEW |  | かめあり亭 第92弾！ ソーゾーシー2026 玉 | 2026/9/13(日) | 東京都
 NEW |  | かめあり亭 第91弾！ 立川談春 独演会 | 2026/9/9(水) | 東京都
