lg=07 total=271 pages=28
parsed items: 227 (fetched up to page 29)
already in DB (eventCd一致): 180 | NOT in DB (new candidates): 47
  うち 17件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/_sweepbucket_07_1.json
 NEW | TODAY | 石井久美子ピアノリサイタル | 2026/11/14(土) | 東京都
 NEW | 2026/9/1 | N響「第9」 | 2026/12/22(火) | 東京都
 NEW | 2026/9/18 | ＮＤＲエルプフィルハーモニー管弦楽団／アラン・ギ | 2027/2/21(日) | 東京都
 NEW | 2026/8/28 | 絵本ｄｅクラシック 「オズの魔法使い」 ｉｎ 瀬 | 2026/10/4(日) | 岡山県
 NEW | 2026/8/27 | オリックスPresents 新日本フィルハーモニ | 2027/1/3(日) | 東京都
 NEW | 2026/9/1 | 神奈川フィルハーモニー管弦楽団 音楽堂シリーズ第 | 2027/1/30(土) | 神奈川県
 NEW | 2026/8/28 | 川井郁子（ｖｌ） | 2026/9/27(日) | 兵庫県
 NEW | 2026/9/12 | 関西フィルハーモニー管弦楽団キテーネホール公演 | 2026/12/5(土) | 大阪府
 NEW | 2026/8/27 | 九州交響楽団 第九（北九州） | 2026/12/20(日) | 福岡県
 NEW | 2026/8/27 | 九州交響楽団 第九（福岡） | 2026/12/18(金) | 福岡県
 NEW | 2026/9/19 | キユーピー スペシャル サントリーホール ニュー | 2027/1/1(金・祝) | 東京都
 NEW | TODAY | ～芸劇ブランチコンサート～ 名曲リサイタル・サロ | 2027/3/3(水) | 東京都
 NEW | TODAY | ～芸劇ブランチコンサート～ 名曲リサイタル・サロ | 2027/1/13(水) | 東京都
 NEW | TODAY | ～芸劇ブランチコンサート～ 名曲リサイタル・サロ | 2026/11/4(水) | 東京都
 NEW | TODAY | 越の国室内合唱団 ＶＯＸ ＯＲＡＴＴＡ １５周年 | 2026/11/22(日) | 新潟県
 NEW | 2026/8/27 | コバケンとその仲間たちオーケストラ 史上最高の第 | 2026/12/8(火) | 東京都
 NEW | 2026/9/1 | 三瀬由起子 湯谷玲子 ＤＵＯ ＣＯＮＣＥＲＴ | 2027/3/7(日) | 京都府
 NEW | 2026/9/19 | サントリーホール開館40周年記念 ウィーン・フォ | 2026/12/31(木) | 東京都
 NEW | 2026/9/15 | サントリーホール クリスマスコンサート 2026 | 2026/12/24(木) | 東京都
 NEW | 2026/9/18 | サントリーホールのクリスマス2026 | 2026/12/25(金) | 東京都
 NEW | TODAY | Ｓｈｉｏｎ×１７ＬＩＶＥ Ｏｓａｋａ Ｓｈｉｏｎ | 2026/12/23(水) | 大阪府
 NEW | 2026/8/26 | 清水陽介 チェロ・リサイタル | 2027/1/28(木) | 東京都
 NEW | TODAY | すぎやまこういち 交響組曲「ドラゴンクエストVI | 2026/12/9(水) | 東京都
 NEW | 2026/9/6 | 創立１００年記念 Ｎ響ニューイヤーコンサート | 2027/1/10(日) ・ 2027/1/ | 東京都
 NEW | 2026/9/11 | 竹澤恭子 ヴァイオリン・リサイタル | 2026/12/9(水) | 東京都
