振り分け 46件 (backup=C:\Users\user\oshinavi\index.html.bak_0802_assign)
CRLF 75308 -> 75176
id=3572 -> jpop
id=3573 -> jpop
id=3574 -> jpop
id=3575 -> jpop
id=3576 -> dento
id=3577 -> jpop
id=3578 -> classic+kids
id=3579 -> jpop
id=3580 -> jpop
id=3581 -> jpop
id=3582 -> jpop
id=3583 -> enka
id=3584 -> engeki
id=3585 -> engeki
id=3586 -> engeki
id=3587 -> musical
id=3588 -> engeki
id=3590 -> engeki
id=3591 -> classic
id=3592 -> dento
id=3593 -> owarai
id=3594 -> owarai
id=3595 -> kids
id=3596 -> engeki
id=3597 -> owarai
id=3598 -> engeki
id=3599 -> dento
id=3600 -> owarai
id=3601 -> owarai
id=3602 -> engeki
id=3603 -> owarai
id=3604 -> owarai
id=3605 -> engeki
id=3606 -> owarai
id=3607 -> owarai
id=3609 -> classic
id=3610 -> classic
id=3611 -> classic
id=3612 -> classic
id=3613 -> classic
id=3616 -> classic+kids
id=3617 -> classic
id=3618 -> classic
id=3619 -> classic
id=3620 -> classic
id=3621 -> classic
