新着プール 115件 / 除外 37件 / 振り分け対象 78件

id=5201 | リーガルリリー | 会場: 全国ツアー（cube garden／仙台Rensa／昭和女子大学 人見記念講堂／金沢EIGHT HALL／ボトムライン／なんばHatch／広島クラブクアトロ／DIME／DRUM LOGOS） | 全国 | 公演2026-12-26
id=5202 | 澤田知可子 うたぐすりコンサート | 会場: 扶桑電通なぎさホール 大ホール | 兵庫 | 公演2027-01-29
id=5203 | -KAN- 木村和 作品展 | 会場: 昭和音楽大学 テアトロ・ジーリオ・ショウワ | 神奈川 | 公演2026-11-11
id=5204 | 角銅真実 and the Ammonites | 会場: 浜離宮朝日ホール | 東京 | 公演2026-12-28
id=5206 | 石若駿 3DAYS | 会場: 新宿 PIT INN | 東京 | 公演2026-10-25
id=5207 | 菊地成孔 ピアノ・トリオ | 会場: 新宿 PIT INN | 東京 | 公演2026-10-10
id=5208 | 藤崎詩乃 | 会場: BRICK HALL | 福岡 | 公演2026-10-03
id=5210 | POP YOURS presents Golden Age Tour | 会場: 全国ツアー（GORILLA HALL OSAKA／Zepp Shinjuku（TOKYO）） | 大阪・東京 | 公演2026-11-03
id=5211 | @onefive | 会場: KT Zepp Yokohama | 神奈川 | 公演2026-11-10
id=5212 | NDRエルプフィルハーモニー管弦楽団／アラン・ギルバート（指揮）／角野隼斗（p） | 会場: 東京芸術劇場 コンサートホール | 東京 | 公演2027-02-21
id=5213 | MUZAジルベスターコンサート2026 | 会場: ミューザ川崎シンフォニーホール | 神奈川 | 公演2026-12-31
id=5214 | 東京都交響楽団 第1062回定期演奏会Cシリーズ | 会場: 東京芸術劇場 コンサートホール | 東京 | 公演2027-02-18
id=5215 | 座長・酒井藍in御園座 吉本新喜劇&バラエティーショー | 会場: 御園座 | 愛知 | 公演2026-11-23
id=5216 | 楽しき「音」まつり～ジャンルを飛び越えたプロ合唱の魅力! | 会場: プリニーの文化ホール | 岐阜 | 公演2026-11-21
id=5217 | 辻本玲チェロ・リサイタル | 会場: TOPPANホール | 東京 | 公演2027-01-24
id=5218 | みきあんどりさ クリスマスオペラコンサート | 会場: 横浜市旭区民文化センター（サンハート） ホール | 神奈川 | 公演2026-12-13
id=5219 | 未来につなぐコンサート | 会場: アクロス福岡 福岡シンフォニーホール | 福岡 | 公演2026-12-26
id=5220 | 竹澤恭子 ヴァイオリン・リサイタル | 会場: 浜離宮朝日ホール | 東京 | 公演2026-12-09
id=5221 | 御園座錦秋歌舞伎 | 会場: 御園座 | 愛知 | 公演2026-10-20
id=5222 | 声優朗読劇フォアレーゼン ～太陽が、痛いほどいっぱい～ | 会場: 海老名市文化会館 大ホール | 神奈川 | 公演2026-11-28
id=5223 | 創立100年記念 N響ニューイヤーコンサート | 会場: NHKホール | 東京 | 公演2027-01-11
id=5224 | びわ湖ホール声楽アンサンブル | 会場: 全国ツアー（ガリバーホール／京都府立府民ホール（アルティ）） | 滋賀・京都 | 公演2026-12-19
