OSHINAVI 独立点検 / 基準日 2026-08-24 / index.html は読み取りのみ・ネットワーク未使用
エントリ総数 3297 件（verified=true 3297 / false 0）

========== A. 削除すべき（千秋楽が過去＋買える枠ゼロ）: 48 件 ==========
id=68 | 仮面ライダースーパーライブ | 仮面ライダースーパーライブ2026 | date=2026-08-23 | 締切=2026-08-10,2026-08-13,2026-08-15,2026-08-18 | 枠4(売切0) | amazonGoods/amazonGoodsLabel/pia | 千秋楽 2026-08-23 が過去／全枠の締切も過去(最終 2026-08-18)
id=275 | 坂元健児／池田海人／木村くるみ ほか（青海波） | 淡路の月に誓う | date=2026-08-23 | 締切=2026-08-22 | 枠1(売切0) | pia | 千秋楽 2026-08-23 が過去／全枠の締切も過去(最終 2026-08-22)
id=292 | ASIAN KUNG-FU GENERATION／[Alexandros]／UVERworld／Creepy Nuts／WANIMA／sumika／PUFFY／レミオロメン ほか | WILD BUNCH FEST. 2026 | date=2026-08-23 | 締切=2026-08-20,2026-08-21,2026-08-22 | 枠7(売切0) | pia | 千秋楽 2026-08-23 が過去／全枠の締切も過去(最終 2026-08-22)
id=407 | MONSTER baSH 2026 | MONSTER baSH 2026 | date=2026-08-23 | 締切=2026-08-23 | 枠1(売切0) | pia | 千秋楽 2026-08-23 が過去／全枠の締切も過去(最終 2026-08-23)
id=427 | フラガリアメモリーズ | フラガリアメモリーズ CAST LIVE ～Luminous Moments～【動画配信】 | date=2026-08-23 | 締切=2026-08-23 | 枠3(売切0) | pia | 千秋楽 2026-08-23 が過去／全枠の締切も過去(最終 2026-08-23)
id=460 | Dance Exhibition | Dance Exhibition 2026 in kanazawa | date=2026-08-23 | 締切=2026-08-22 | 枠1(売切0) | pia | 千秋楽 2026-08-23 が過去／全枠の締切も過去(最終 2026-08-22)
id=536 | GIFTMEN | GIFTMEN 2026 | date=2026-08-23 | 締切=2026-07-23,2026-08-01,2026-08-22 | 枠3(売切0) | pia | 千秋楽 2026-08-23 が過去／全枠の締切も過去(最終 2026-08-22)
id=600 | 島袋優(BEGIN)/川満ゆうき | 優とゆうき そしてリョーサ ~Guitar Bro!~ | date=2026-08-23 | 締切=2026-08-22 | 枠1(売切0) | pia | 千秋楽 2026-08-23 が過去／全枠の締切も過去(最終 2026-08-22)
id=826 | ヒネモス | ヒネモス 奇想天外おもちゃの楽隊 | date=2026-08-23 | 締切=2026-08-19 | 枠1(売切0) | pia | 千秋楽 2026-08-23 が過去／全枠の締切も過去(最終 2026-08-19)
id=999 | JACROW | JACROW | date=2026-08-23 | 締切=2026-08-22 | 枠1(売切0) | pia | 千秋楽 2026-08-23 が過去／全枠の締切も過去(最終 2026-08-22)
id=1009 | ブロードウェイミュージカル『ピーター・パン』（御園座） | 青山メインランド ファンタジースペシャル ブロードウェイミュージカル『ピーター・パン』 | date=2026-08-23 | 締切=2026-08-22 | 枠1(売切0) | pia | 千秋楽 2026-08-23 が過去／全枠の締切も過去(最終 2026-08-22)
