踊りモード＝台詞なし（音楽に合わせて動く）
セリフ 0字 / 尺15秒に収まる目安 75字
task_id: 439387830419770
    10s status=running
    20s status=running
    31s status=running
    41s status=running
    52s status=running
    62s status=running
    73s status=running
    84s status=running
    95s status=running
   106s status=running
   116s status=running
   127s status=running
   137s status=running
   148s status=running
   158s status=running
   169s status=running
   180s status=running
   190s status=running
   201s status=running
   212s status=running
   222s status=running
   233s status=running
   243s status=running
   254s status=running
   265s status=running
   275s status=running
   286s status=running
   296s status=running
   307s status=running
   317s status=running
   328s status=running
   340s status=running
   351s status=running
   362s status=running
   373s status=running
   384s status=running
   395s status=running
   406s status=running
   417s status=running
   427s status=running
   438s status=running
   449s status=running
   460s status=running
   471s status=running
   482s status=running
   493s status=running
   504s status=running
   515s status=running
   525s status=running
   536s status=running
   547s status=running
   558s status=running
   570s status=running
   581s status=running
   592s status=running
   603s status=running
   614s status=running
   625s status=running
   636s status=running
   646s status=running
   671s status=succeeded
保存: tmp/video/odoku_0908_dance.mp4 18888067 bytes
