URL: https://t.pia.jp/pia/event/event.do?eventCd=2629063
全12券種 / 買える(受付中・発売前)4件
  [発売前] 2026-11-13 北海道 帯広市民文化ホール 大ホール | 一般発売（帯広） ／ ＬｉＳＡ | 10:00より発売
  [発売前] 2026-11-13 北海道 帯広市民文化ホール 大ホール | 一般発売（帯広／車椅子席） ／ ＬｉＳＡ | 10:00より発売
  [発売前] 2026-11-15 北海道 札幌文化芸術劇場ｈｉｔａｒｕ | 一般発売（札幌） ／ ＬｉＳＡ | 10:00より発売
  [発売前] 2026-11-15 北海道 札幌文化芸術劇場ｈｉｔａｒｕ | 一般発売（札幌／車椅子席） ／ ＬｉＳＡ | 10:00より発売
  [受付終了] 2026-11-13〜2026-11-15 北海道 北海道 | 「LiSA」プレリザーブ | 
  [受付終了] 2026-11-13〜2026-11-15 北海道 北海道 | 「LiSA」プレリザーブ（車椅子席） | 
  [受付終了] 2026-11-13〜2026-11-15 北海道 北海道 | 「LiSA」2次プレリザーブ | 
  [受付終了] 2026-11-13〜2026-11-15 北海道 北海道 | 「LiSA」2次プレリザーブ（車椅子席） | 
  [受付終了] 2026-11-13〜2026-11-15 北海道 北海道 | 「LiSA」3次プレリザーブ | 
  [受付終了] 2026-11-13〜2026-11-15 北海道 北海道 | 「LiSA」3次プレリザーブ（車椅子席） | 
  [受付終了] 2026-11-13〜2026-11-15 北海道 北海道 | 「LiSA」4次プレリザーブ | 
  [受付終了] 2026-11-13〜2026-11-15 北海道 北海道 | 「LiSA」4次プレリザーブ（車椅子席） | 
