=== 全枠が売り切れ … 63件 ===
  id=130   宝塚歌劇 雪組『ポーの一族』 | 公演2026-10-17 | 枠1
  id=2341  GANG PARADE | 公演2026-09-06 | 枠1
  id=2415  笑福亭鶴瓶×サンドウィッチマンLIVE『シルエット』 | 公演2026-09-13 | 枠1
  id=2416  J亭スピンオフ企画44 白酒・一之輔 大手町二人会 | 公演2026-09-14 | 枠1
  id=2626  センダイガールズプロレスリング | 公演2026-11-28 | 枠3
  id=2997  真空ジェシカのイベン父ちゃん・イベアンドトシ | 公演2026-09-16 | 枠1
  id=3116  CUTIE STREET 梅田みゆ 生誕祭 2026 | 公演2026-09-14 | 枠1
  id=3119  THE PAINS OF BEING PURE AT HEART | 公演2026-11-13 | 枠1
  id=3120  シャイトープ | 公演2026-09-05 | 枠1
  id=3127  遊佐未森 | 公演2026-10-10 | 枠1
  id=3169  野村義男 | 公演2026-10-09 | 枠1
  id=3509  第56回田辺花火大会 | 公演2026-10-03 | 枠1
  id=3513  大相撲九月場所 | 公演2026-09-27 | 枠7
  id=3527  中村敦 | 公演2026-10-14 | 枠1
  id=3530  林哲司 SONG FILE SPECIAL ～シティポップ HITS セレクション 20 | 公演2026-10-13 | 枠1
  id=3572  奥野真哉 | 公演2026-12-02 | 枠1
  id=3577  ロックロックこんにちは!ver.28 ～にゃーロック!ホームズ～ | 公演2026-09-18 | 枠2
  id=3587  宝塚歌劇宙組 全国ツアー公演 ミュージカル・プレイ『再会』／スパーキング・イルミネイト『 | 公演2026-10-30 | 枠1
  id=3592  2026伝承ホール寺子屋 「渋谷金王丸伝説」&歌舞伎リーディング | 公演2026-10-25 | 枠1
  id=3594  真一文字の会 ～春風亭一之輔勉強会～ | 公演2026-09-16 | 枠1
  id=3739  SHIBUYA MUSIC CROSSOVER 2026 #7 | 公演2026-11-14 | 枠1
  id=3743  Uru | 公演2026-09-24 | 枠2
  id=3766  国立能楽堂 9月特別公演 | 公演2026-09-25 | 枠1
  id=3841  阪神タイガース対中日ドラゴンズ 公式戦 | 公演2026-09-15 | 枠12
  id=3849  阪神タイガース対東京ヤクルトスワローズ 公式戦 | 公演2026-09-30 | 枠12
  id=3858  阪神タイガース対読売ジャイアンツ 公式戦 | 公演2026-10-01 | 枠4
  id=3872  PM AGENCY 40th ANNIVERSARY LIVE スーパー大感謝祭 | 公演2026-11-14 | 枠1
  id=3875  ミュージカル「タイムトラベラーズ・ワイフ」 | 公演2026-10-08 | 枠3
  id=3896  伊藤蘭 クリスマスディナー&コンサート | 公演2026-12-18 | 枠1
  id=3907  桂三度日本公演～桂三度入門十五周年記念祭～ | 公演2026-10-07 | 枠1
  id=3937  万筆舎『R3』刊行記念落語会 | 公演2026-10-13 | 枠1
  id=3965  読売ジャイアンツ対横浜DeNAベイスターズ 公式戦 | 公演2026-10-03 | 枠1
  id=3967  第一回 五圓會 ～三遊派落語研究会～ | 公演2026-12-22 | 枠1
  id=3978  【阪神タイガース 公式戦・交流戦】NTTドコモビジネスファミリーシート | 公演2026-10-01 | 枠4
  id=3979  【阪神タイガース 公式戦・交流戦】JCBエキサイトシート | 公演2026-10-01 | 枠4
  id=3980  【阪神タイガース】セコム ツイン・トリプルシート | 公演2026-10-01 | 枠4
  id=3981  【阪神タイガース】パナソニックペアシート | 公演2026-10-01 | 枠4
  id=4080  澤野弘之 × THE SOUND OF GUNDAM - 機動戦士ガンダムUC・NT・H | 公演2027-02-27 | 枠1
  id=4164  島袋寛子 | 公演2026-11-04 | 枠3
  id=4169  DEEN | 公演2026-09-27 | 枠1
  id=4197  演芸写真家 橘蓮二プロデュース 春風亭一之輔×桂二葉 二人会2026 | 公演2026-10-23 | 枠1
  id=4205  第570回 花形演芸会 | 公演2026-09-23 | 枠1
  id=4268  APF SAPPHIRE CUP 2026 | 公演2026-09-19 | 枠1
  id=4272  横浜DeNAベイスターズ対阪神タイガース／公式戦 | 公演2026-09-26 | 枠1
  id=4326  Kis-My-Ft2 | 公演2026-09-20 | 枠3
  id=4611  MET JAZZ TOKYO: DAY 0 | 公演2026-11-29 | 枠1
  id=4726  世界のMIDORI 再び七尾へ!! 能登復興支援事業 オーケストラ・アンサンブル金沢 第 | 公演2026-11-28 | 枠1
  id=4912  弁論2026 | 公演2026-12-04 | 枠4
  id=4932  阪神タイガース対読売ジャイアンツ 公式戦 | 公演2026-10-01 | 枠4
  id=4971  映画『ホーム スイート ホーム』公開記念舞台挨拶 | 公演2026-09-06 | 枠5
  id=4978  『キリコのタクト～YELL～』完成披露舞台挨拶上映会 | 公演2026-09-09 | 枠1
  id=4980  「SEKIRO:NO DEFEAT」公開御礼舞台挨拶 | 公演2026-09-06 | 枠1
  id=4982  『探偵はもう、死んでいる。Season2』第1話&第2話 先行上映会&キャストトークショ | 公演2026-09-06 | 枠1
  id=4983  TVアニメ『さよならララ』最終話直前先行上映会 | 公演2026-09-13 | 枠1
  id=4985  TVアニメ「文豪ストレイドッグス」振り返り上映会&トークイベント | 公演2026-11-21 | 枠1
  id=4986  TVアニメ「マジカル★エクスプローラー」第1話～第3話先行上映会 | 公演2026-09-13 | 枠1
  id=4987  TVアニメ『魔法騎士レイアース』ジャパンプレミア | 公演2026-10-03 | 枠1
  id=5031  TVアニメ『超巡!超条先輩』キャスト舞台挨拶付き先行上映会 | 公演2026-09-08 | 枠1
  id=5123  阪神タイガース対読売ジャイアンツ 公式戦 | 公演2026-10-01 | 枠4
  id=5226  神奈川フィルハーモニー管弦楽団 音楽堂シリーズ第38回<Classic Modern> | 公演2027-01-30 | 枠1
  id=5503  The Ravens | 公演2026-11-26 | 枠1
  id=5510  PURPLE BUBBLE | 公演2026-11-01 | 枠1
  id=5670  フォーレ四重奏団 第2夜 | 公演2026-12-09 | 枠1

=== 一部売り切れ … 3件 ===
  id=642   陰陽座 2026 | 公演2026-10-06 | 枠4
  id=1071  ミュージカル『ニコラ・テスラ～エジソンが恐れた孤高の天才～』 | 公演2026-10-04 | 枠3
  id=2401  木根尚登 | 公演2026-11-20 | 枠2

=== 売り切れ無し（期限切れのみ） … 8件 ===
  id=1149  いぎなり東北産 | 公演2026-09-21 | 枠3
  id=1554  高嶋ちさ子のザワつく!昭和歌謡祭 2026 | 公演2026-12-15 | 枠3
  id=4762  博品館劇場名作リーディングシアター「シャーロック・ホームズ～緋色の研究・出会い～」 | 公演2026-10-25 | 枠2
  id=5105  ジャン=ギアン・ケラス（vc） | 公演2027-01-23 | 枠1
  id=5516  2026 Golden Moon Concert in Tokyo <By your s | 公演2026-11-06 | 枠1
  id=5641  『5秒で完全犯罪を生成する方法』公開記念舞台挨拶／前夜祭 | 公演2026-09-12 | 枠7
  id=5643  『本当にあった話（の話）』完成披露上映会 | 公演2026-09-09 | 枠1
  id=6437  佐久間宣行PRESENTS 「五感爆発!-食もライブ!舞台もライブ!-」 | 公演2026-09-06 | 枠1

=== 非ぴあ枠あり … 1件 ===
  id=2223  宝塚歌劇星組 宝塚大劇場公演 三井住友VISAカードシアター『RRR×TAKA“R”AZ | 公演2026-09-30 | 枠8
