削除候補 72件

=== E 公演が過ぎている（削除ルート） … 0件

=== D 公演が30日以内で枠0（前売り終了の可能性・要確認） … 11件
  id=3841  公演2026-09-15 (あと13日) 阪神タイガース対中日ドラゴンズ 公式戦  
  id=3849  公演2026-09-30 (あと28日) 阪神タイガース対東京ヤクルトスワローズ 公式戦  
  id=3858  公演2026-10-01 (あと29日) 阪神タイガース対読売ジャイアンツ 公式戦  
  id=3978  公演2026-10-01 (あと29日) 【阪神タイガース 公式戦・交流戦】NTTドコモビジネスファミリーシー  
  id=3979  公演2026-10-01 (あと29日) 【阪神タイガース 公式戦・交流戦】JCBエキサイトシート  
  id=3980  公演2026-10-01 (あと29日) 【阪神タイガース】セコム ツイン・トリプルシート  
  id=3981  公演2026-10-01 (あと29日) 【阪神タイガース】パナソニックペアシート  
  id=4932  公演2026-10-01 (あと29日) 阪神タイガース対読売ジャイアンツ 公式戦  
  id=4980  公演2026-09-06 (あと4日) 「SEKIRO:NO DEFEAT」公開御礼舞台挨拶  
  id=4986  公演2026-09-13 (あと11日) TVアニメ「マジカル★エクスプローラー」第1話～第3話先行上映会  
  id=5123  公演2026-10-01 (あと29日) 阪神タイガース対読売ジャイアンツ 公式戦  

=== C 公演が31日より先で枠0（一般発売がまだ出ていない疑い） … 3件
  id=1554  公演2026-12-15 (あと104日) 高嶋ちさ子のザワつく!昭和歌謡祭 2026  
  id=4985  公演2026-11-21 (あと80日) TVアニメ「文豪ストレイドッグス」振り返り上映会&トークイベント  
  id=5226  公演2027-01-30 (あと150日) 神奈川フィルハーモニー管弦楽団 音楽堂シリーズ第38回<Classi  

=== B 売り切れ/販売終了マーク済み（消さない） … 57件
  id=130   公演2026-10-17 (あと45日) 宝塚歌劇団 雪組  
  id=642   公演2026-10-06 (あと34日) 陰陽座  
  id=1071  公演2026-10-04 (あと32日) ミュージカル『ニコラ・テスラ～エジソンが恐れた孤高の天才～』  
  id=2341  公演2026-09-06 (あと4日) GANG PARADE  
  id=2401  公演2026-11-20 (あと79日) 木根尚登  
  id=2415  公演2026-09-13 (あと11日) 笑福亭鶴瓶×サンドウィッチマンLIVE『シルエット』  
  id=2416  公演2026-09-14 (あと12日) J亭スピンオフ企画44 白酒・一之輔 大手町二人会  
  id=2626  公演2026-11-28 (あと87日) センダイガールズプロレスリング  
  id=2997  公演2026-09-16 (あと14日) 真空ジェシカのイベン父ちゃん・イベアンドトシ  
  id=3116  公演2026-09-14 (あと12日) CUTIE STREET 梅田みゆ 生誕祭 2026  
  id=3119  公演2026-11-13 (あと72日) THE PAINS OF BEING PURE AT HEART  
  id=3120  公演2026-09-05 (あと3日) シャイトープ  
  id=3127  公演2026-10-10 (あと38日) 遊佐未森  
  id=3169  公演2026-10-09 (あと37日) 野村義男  
  id=3509  公演2026-10-03 (あと31日) 第56回田辺花火大会  
  id=3513  公演2026-09-27 (あと25日) 大相撲九月場所  
  id=3527  公演2026-10-14 (あと42日) 中村敦  
  id=3530  公演2026-10-13 (あと41日) 林哲司 SONG FILE SPECIAL ～シティポップ HITS  
  id=3546  公演2026-11-16 (あと75日) 岡崎歌舞伎特別公演  
  id=3572  公演2026-12-02 (あと91日) 奥野真哉  
  id=3577  公演2026-09-18 (あと16日) ロックロックこんにちは!ver.28 ～にゃーロック!ホームズ～  
  id=3587  公演2026-10-30 (あと58日) 宝塚歌劇宙組 全国ツアー公演 ミュージカル・プレイ『再会』／スパーキ  
  id=3592  公演2026-10-25 (あと53日) 2026伝承ホール寺子屋 「渋谷金王丸伝説」&歌舞伎リーディング  
  id=3594  公演2026-09-16 (あと14日) 真一文字の会 ～春風亭一之輔勉強会～  
  id=3609  公演2026-11-23 (あと82日) N響オーチャード定期2026／2027 東横シリーズ in 横浜<傑  
