| id | 公演名 | 千秋楽 | 最終締切 | 会場 | 確認用URL |
|---|---|---|---|---|---|
| 835 | THE MICRO HEAD 4N'S | 2026-08-24 | 2026-08-23 | HEAVEN'S ROCK Kumagaya VJ-1／赤羽ReNY alpha | https://t.pia.jp/pia/event/event.do?eventCd=2620236 |
| 862 | Ｅｎｆｉｎｉ／Ｍｉｋｅｙ／宮田大樹／梶有紀子／京都マリシー／菊田雪心 | 2026-08-24 | 2026-08-22 | スペードボックス／ハートランド | https://t.pia.jp/pia/event/event.do?eventCd=2623595 |
| 979 | ROLL((CAKE))TIME | 2026-08-24 | 2026-08-23 | キャナルシティ劇場 | https://t.pia.jp/pia/event/event.do?eventCd=2613444 |
| 1138 | トム・プロジェクト プロデュース 「沼の中の淑女たち」 | 2026-08-24 | 2026-08-22 | 吉祥寺シアター | https://t.pia.jp/pia/event/event.do?eventCd=2619636 |
| 1224 | リルキア ロックフェスティバル | 2026-08-24 | 2026-08-23 | ＬＩＱＵＩＤＲＯＯＭ | https://t.pia.jp/pia/event/event.do?eventCd=2623099 |
| 2086 | 【パンキッシュガーデン】エクストラシルバー | 2026-08-24 | 2026-08-23 | 座・高円寺2 | https://t.pia.jp/pia/event/event.do?eventCd=2626221 |
| 2542 | 「生誕20周年記念 銀魂展 ～はたちのつどい～」 広島会場 | 2026-08-24 | 2026-08-24 | そごう広島店 9階特設会場 | https://t.pia.jp/pia/event/event.do?eventBundleCd=b2667464 |
| 2726 | 横浜グリーンエクスポ応援 みなとみらいフェスティバル | 2026-08-24 | 2026-08-24 | 大さん橋会場／日本丸メモリアルパーク | https://t.pia.jp/pia/event/event.do?eventCd=2624911 |
| 2809 | 第26回 全日本新体操クラブ団体選手権 | 2026-08-24 | 2026-08-14 | 京王アリーナTOKYO | https://t.pia.jp/pia/event/event.do?eventCd=2627047 |
| 2927 | すいているのに相席～朗読版～ | 2026-08-24 | 2026-08-23 | 武蔵野芸能劇場 小劇場 | https://t.pia.jp/pia/event/event.do?eventCd=2628227 |
| 3209 | 【動画配信】第67回 全日本吹奏楽コンクール中国大会 | 2026-08-24 | 2026-08-24 | PIA LIVE STREAM | https://t.pia.jp/pia/event/event.do?eventBundleCd=b2669796 |
