genre:new 48件  (id 3470..3517)
下書き: jpop15 / classic8 / engeki6 / owarai5 / kids4 / fes3 / hanabi3 / yougaku1 / jazz1 / dento1 / sports1
発売まで: 販売中(発売済)24 / 2〜3日後11 / 4日後以降7 / 明日5 / 本日発売1
ソース: ぴあ44 / 楽天4

id    | _genre     | 枠 | 最遅締切   | 名前
------------------------------------------------------------------------------------------------
3470  | classic    |  1 | 2026-08-28 | デビュー35周年記念 横山幸雄ピアノ・リサイタル「入魂のショパン in 山形」
3471  | jpop       |  1 | 2026-08-17 | 宇都宮隆
3472  | engeki     |  2 | 2026-08-12 | M-line Special 2026 Autumn ～NOCTURNE～
3473  | jpop       |  1 | 2026-08-12 | AA=
3474  | jpop       |  1 | 2026-08-11 | Galileo Galilei
3475  | jpop       |  1 | 2026-08-06 | キュウソネコカミ
3476  | jpop       |  1 | 2026-08-09 | Q.I.S.
3477  | jpop       |  2 | 2026-09-18 | さだ工務店
3478  | fes        |  1 | 2026-08-21 | Jamys Album release LIVE
3479  | yougaku    |  1 | 2026-08-19 | SUPER JUNIOR-RYEOWOOK
3480  | jazz       |  9 | 2026-08-26 | ディズニー・ワールド・ビート 2026:5th Anniversary Tour
3481  | jpop       |  7 | 2026-09-12 | ナナヲアカリ
3482  | jpop       |  1 | 2026-08-06 | Hump Back
3483  | jpop       |  2 | 2026-10-24 | People In The Box
3484  | jpop       |  1 | 2026-08-11 | マカロニえんぴつ
3485  | jpop       |  1 | 2026-08-03 | 眞名子新
3486  | jpop       |  1 | 2026-08-06 | みのや雅彦
3487  | jpop       |  1 | 2026-08-12 | May’n
3488  | jpop       |  1 | 2026-08-11 | Little Glee Monster
3489  | jpop       |  1 | 2026-08-09 | Luciela
3490  | owarai     |  1 | 2026-09-10 | 桂春蝶独演会 ネタおろし蝶戦相勤め申し候・その十七[鰍沢]
3491  | owarai     |  1 | 2026-08-17 | 吉例 桂 文珍 新春独演会2027
3492  | engeki     |  5 | 2026-09-09 | 詩と音楽の光景『エレクトラ』
3493  | engeki     | 12 | 2026-09-26 | 『スリーゴースト』
3494  | owarai     |  1 | 2027-02-26 | 立川生九郎落語SHOW in太宰府
3495  | owarai     |  1 | 2027-01-16 | 第17回 鈴々舎美馬ネタ下ろしひとり会
3496  | classic    |  1 | 2026-08-28 | 白鳥の湖-湖に沈む誓い-
3497  | classic    |  1 | 2026-08-08 | 光と影のプルミエール
3498  | classic    |  1 | 2026-08-27 | 瀕死の白鳥
3499  | owarai     |  1 | 2026-11-08 | 美馬、二ツ目、四年目 ネタ下ろし会 ゲスト林家あずみ トーク付き
3500  | dento      |  2 | 2026-09-30 | 第二十六回 よこはま「万作・萬斎の会」
3501  | engeki     |  1 | 2026-08-09 | WAHAHA本舗PRESENTS ワハハ本舗特別公演「エンド（仮）」
3502  | classic    |  1 | 2026-10-03 | Autumun Nocturneチェロとギターが紡ぐ秋の音色
3503  | classic    |  1 | 2026-11-26 | 九州交響楽団 第444回定期演奏会
3504  | classic    |  2 | 2026-09-04 | 千住真理子（vl）
3505  | engeki     |  1 | 2026-08-12 | 高嶋ちさ子のザワつく!音楽会 2026
3506  | classic    |  1 | 2026-11-16 | REICH ／ PART90
3507  | kids       |  1 | 2026-08-11 | 「おかあさんといっしょ」ファンターネ!がやってきた
3508  | fes        |  8 | 2026-08-15 | THE AWAODORI
3509  | hanabi     |  1 | 2026-08-14 | 第56回田辺花火大会
3510  | engeki     |  1 | 2026-08-31 | 第39期竜王戦第2局三島対局 前夜祭
3511  | kids       |  1 | 2026-08-06 | マクセル アクアパーク品川「アトラクション付 水族館入場券」
3512  | kids       |  1 | 2026-08-29 | わんにゃん夜ふかし縁日
3513  | sports     |  7 | 2026-08-05 | 大相撲九月場所
3514  | hanabi     |  3 | 2026-12-26 | BERITA presents　ISOGAI花火劇場in名古屋港
3515  | kids       |  7 | 2026-11-13 | ウルトラヒーローズ THE LIVE 〜オメガ・アーク・ブレーザー 新世代ヒーロー集
3516  | hanabi     |  1 | 2026-08-14 | 第78回　諏訪湖祭湖上花火大会
3517  | fes        |  1 | 2026-08-20 | Sky Jamboree 2026
