genre:new 件数 = 50
下書き集計: classic14 / jpop13 / sports6 / engeki5 / dento3 / owarai3 / fes2 / art2 / anime2

id    | _genre        | _extraGenres | _piaSub                | name
--------------------------------------------------------------------------------------------------------------
3420  | jpop          | -            | 音楽/J-POP・ROCK          | 岩崎宏美
3421  | jpop          | -            | 音楽/J-POP・ROCK          | CiON
3422  | jpop          | -            | 音楽/J-POP・ROCK          | モーニング娘。’26
3423  | jpop          | -            | 音楽/J-POP・ROCK          | LOLOET
3424  | jpop          | -            | 音楽/J-POP・ROCK          | MOMO
3425  | jpop          | -            | 音楽/J-POP・ROCK          | Lonesome_Blue
3426  | dento         | -            | 演劇/歌舞伎・古典芸能            | 狂言ござる乃座 presents きょうげんであそぼ ～親子編～vol.2
3427  | owarai        | -            | 演劇/寄席・お笑い              | 吉本新喜劇まつり2026～選ばれし30+1の座員たち～
3428  | dento         | -            | 演劇/歌舞伎・古典芸能            | 山口薪能
3429  | classic       | -            | クラシック/器楽・室内楽           | 辻彩奈（vl）
3430  | classic       | -            | クラシック/オペラ・声楽           | 榛葉樹人（T）／今井俊輔（Br）
3431  | classic       | -            | クラシック/オーケストラ           | LCPSコンサートin奇天烈大博覧会
3432  | classic       | -            | クラシック/オーケストラ           | セントラル愛知交響楽団 第16回名曲コンサート The Musical
3433  | classic       | -            | クラシック/器楽・室内楽           | 濱田芳通&アントネッロ第23回定期 濱田芳通リコーダーリサイタル
3434  | classic       | -            | クラシック/オーケストラ           | 神奈川フィルハーモニー管弦楽団 For Future 巡回公演シリーズ川崎公演 ベートーヴェ
3435  | fes           | -            | イベント/祭り・花火大会           | 第28回にっぽんど真ん中祭り
3436  | engeki        | -            | イベント/講演会・トークショー        | さかなクンのギョギョッ!?とビックリ!おさかな教室
3437  | sports        | -            | スポーツ/プロレス              | STARDOM NIGHTER in KORAKUEN 2026 Sep.
3438  | sports        | -            | スポーツ/スポーツその他           | JCDA CHEER DANCE COMPETITION in Summer 関西
3439  | sports        | -            | スポーツ/プロレス              | くまもと駅前プロレス2026秋の陣
3440  | jpop          | -            | 音楽/J-POP・ROCK          | ΣVOL
3441  | jpop          | -            | 音楽/J-POP・ROCK          | 黒フェス2026～白黒歌合戦～
3442  | jpop          | -            | 音楽/J-POP・ROCK          | 戸川純
3443  | jpop          | -            | 音楽/J-POP・ROCK          | 般若
3444  | jpop          | -            | 音楽/J-POP・ROCK          | ゆあさみちるライブコンサート
3445  | jpop          | -            | 音楽/J-POP・ROCK          | 由紀さおり・安田祥子 with 松阪ゆうき
3446  | owarai        | -            | 演劇/寄席・お笑い              | 九州新喜劇本公演2026 大分 ～大分のみんな、しんけん笑わせるけん、まっちょってな! ～
3447  | owarai        | -            | 演劇/寄席・お笑い              | 鳥肌実 大阪毒炎会「アルゴリズム演説」
3448  | engeki        | -            | 演劇/演劇                  | 『THE BOX～2026 Summer Edition～』
3449  | classic       | -            | クラシック/器楽・室内楽           | 大野凜 ピアノ・リサイタル Opus One
3450  | classic       | -            | クラシック/器楽・室内楽           | くらら開館10周年記念事業 第39回日本クラリネットフェスティバルin東広島 ～くらら、クラ
3451  | classic       | -            | クラシック/吹奏楽              | シエナ・ウインド・オーケストラ わくわくシエナ祭り in 呉
3452  | classic       | -            | クラシック/オーケストラ           | 反田恭平／ザルツブルク・モーツァルテウム管弦楽団
3453  | classic       | -            | クラシック/器楽・室内楽           | ファリャ生誕150周年 ファリャ・エッセンシャル・ガラコンサート
3454  | engeki        | -            | イベント/講演会・トークショー        | 出張!お城EXPO in 滋賀・びわ湖2026
3455  | fes           | -            | イベント/祭り・花火大会           | わっしょい百万夏まつり 協賛観覧席
3456  | sports        | -            | スポーツ/サッカー              | 大分トリニータ対いわきFC 明治安田J2リーグ
3457  | sports        | -            | スポーツ/サッカー              | ギラヴァンツ北九州対松本山雅FC 明治安田J3リーグ
3458  | jpop          | -            | 音楽/J-POP・ROCK          | jizue
3459  | engeki        | -            | 演劇/演劇                  | Casual Meets Shakespeare『Romeo and Juliet OC』
3460  | dento         | -            | 演劇/歌舞伎・古典芸能            | 第24回 狂言三の会 ～祝祭☆ナゴヤ能狂言Festa!～
3461  | classic       | -            | クラシック/器楽・室内楽           | 宇田川貞夫ヴィオラ・ダ・ガンバリサイタル マラン・マレ -挽歌-
3462  | classic       | -            | クラシック/器楽・室内楽           | 梅田智也×今田篤2台ピアノリサイタル～第九～
3463  | classic       | -            | クラシック/オーケストラ           | 東京ディズニーシー(R)25周年“スパークリング・ジュビリー”イン・コンサート
3464  | engeki        | -            | イベント/講演会・トークショー        | 奇跡の再会 昭和ライダー列伝
3465  | art           | -            | イベント/イベントその他           | スキップとローファー展
3466  | art           | -            | イベント/博覧会・展示会・見本市       | にゃんだらけ21
3467  | anime         | kids         | イベント/イベントその他           | ミャクミャク 寝そべりぬいぐるみ（ブラック）ぬいぐるみくじ引換参加券
3468  | anime         | kids         | イベント/イベントその他           | ミャクミャク 寝そべりぬいぐるみ（ブラック）ぬいぐるみくじ引換参加券
3469  | sports        | -            | スポーツ/サッカー              | 【WEリーグ】INAC神戸レオネッサ対サンフレッチェ広島レジーナ WEリーグ リーグ戦

NEW_ORDER 件数 = 50
NEW_ORDER == id昇順か: YES
