 1. 2026/8/17(月) | 受付前 | 先着 ～シンセレ2026～
 2. 2026/8/18(火) | 受付前 | 先着 ～シンセレSUMMER FES前哨戦SP～
 3. 2026/8/18(火) | 受付前 | 先着 Ricky.A.P 818 Acoustic Summer Carnival 「ハイパー☆納涼祭’26」 ～夏メロお見舞い 猛暑アゲます～
 4. 2026/8/22(土) | 受付前 | 先着 米倉利紀 sTYle72 standard. 2026 -coffee BREAK
 5. 2026/8/22(土) | 受付前 | 先着 奇妙礼太郎BAND with 近藤康平(ライブ･ドローイング)コラボレーション･ライブ 横須賀芸術劇場リニューアル記念 劇場オープンデー特別企画
 6. 2026/8/22(土) | 受付前 | 先着 <Premium Fast Pass>NOISE PARADE×UMBRO ALAN SHIRAHAMA Every month Residency
 7. 2026/8/22(土) | 受付前 | 先着 NOISE PARADE×UMBRO ALAN SHIRAHAMA Every month Residency
 8. 2026/8/29(土) | 受付前 | 先着 IWASE KEIGO 48 birthday one-man 「Run fortyeight Run!」
 9. 2026/9/3(木) | 受付前 | 先着 城 南海 <追加公演>
10. 2026/9/4(金) | 受付前 | 先着 KOBUKURO
11. 2026/9/5(土) | 受付前 | 先着 MeseMoa. MeseMoa. 47都道府県ツアー 「BooM!! ～にほんめ。ぐるーぷ～」
12. 2026/9/5(土) | 受付前 | 先着 馬場俊英
13. 2026/9/10(木) | 受付前 | 先着 DA PUMP
14. 2026/9/12(土) | 受付前 | 先着 山本達彦 <Live en Quatre Saisons･Automne>
15. 2026/9/12(土) | 受付前 | 先着 山本達彦 <昼公演> <Live en Quatre Saisons･Automne>
16. 2026/9/12(土) | 受付前 | 先着 山本達彦 <Live en Quatre Saisons･Automne>
17. 2026/9/12(土) | 受付前 | 先着 山本達彦 <夜公演> <Live en Quatre Saisons･Automne>
18. 2026/9/12(土) | 受付前 | 先着 Cornelius
19. 2026/9/13(日) | 受付前 | 先着 山本達彦 <昼公演> <Live en Quatre Saisons･Automne>
20. 2026/9/13(日) | 受付前 | 先着 山本達彦 (昼公演) <Live en Quatre Saisons･Automne>
21. 2026/9/13(日) | 受付前 | 先着 山本達彦 <夜公演> <Live en Quatre Saisons･Automne>
22. 2026/9/13(日) | 受付前 | 先着 山本達彦 (夜公演) <Live en Quatre Saisons･Automne>
23. 2026/9/18(金) | 受付前 | 先着 斉藤和義 「KAZUYOSHI SAITO LIVE TOUR 2026 “日常Days”」
24. 2026/9/19(土) | 受付前 | 先着 Lisa PRiSM ～LiFE is soulful Artwork～ <日時指定 9/19(土)午前中>
25. 2026/9/19(土) | 受付前 | 先着 浅香唯 Billboard Live 2026 40周年 Next ～See You Here Again～
26. 2026/9/19(土) | 受付前 | 先着 郷ひろみ
27. 2026/9/20(日) | 受付前 | 先着 磯貝サイモン 43rd BIRTHDAY THE LIVE～トリオで43がえるおれの名曲!～
28. 2026/9/20(日) | 受付前 | 抽選 上白石萌音 『Mone Kamishiraishi 10th Live《bouquet》for HOME』
29. 2026/9/21(月・祝) | 受付前 | 抽選 J-POP CLASSIC CLUB TOKYO プレミアム コラボコンサート スペシャルゲスト Shin&Juni
30. 2026/9/21(月・祝) | 受付前 | 先着 「松室政哉ワンマンライブ～愛ロニー～」 someno kyoto 9th Anniversary
31. 2026/9/21(月・祝) | 受付前 | 先着 Cha’R ワンマンツアー2026 Autumn スーパーちゃるるんWorld IV ～GAME START!!～
32. 2026/9/21(月・祝) | 受付前 | 先着 オオヤユウスケ / Oya Yusuke - only play “Polaris” - Guest:ミト(クラムボン)
33. 2026/9/24(木) | 受付前 | 先着 Crystal Kay Billboard Live Tour 2026
34. 2026/9/27(日) | 受付前 | 先着 絢香
35. 2026/9/28(月) | 受付前 | 先着 メロメロ(Melody Melody) 「メロメロ5thワンマンライブ～MeloDDy～」
36. 2026/9/28(月) | 受付前 | 先着 横浜ReNY beta presents 星降る夜に vol.29
37. 2026/10/1(木) | 受付前 | 先着 植草ヨシマサ
38. 2026/10/2(金) | 受付前 | 先着 谷山浩子
39. 2026/10/3(土) | 受付前 | 先着 角松敏生
40. 2026/10/3(土) | 受付前 | 先着 Cha’R ワンマンツアー2026 Autumn スーパーちゃるるんWorld IV ～限界突破のレボリューション～
41. 2026/10/4(日) | 受付前 | 先着 ザ･ワイルドワンズ 結成60周年記念ライブ お楽しみはこれからだ! ～想い出の渚の軌跡～ スペシャルゲスト:ミッキー吉野
42. 2026/10/4(日) | 受付前 | 先着 Cha’R ワンマンツアー2026 Autumn スーパーちゃるるんWorld IV ～未知なるユートピア～
43. 2026/10/4(日) | 受付前 | 抽選 センチミリメンタル
44. 2026/10/4(日) | 受付前 | 先着 スキマスイッチ
45. 2026/10/4(日) | 受付前 | 先着 Summer Eye
46. 2026/10/8(木) | 受付前 | 先着 ハルナ
47. 2026/10/9(金) | 受付前 | 先着 永井真理子
48. 2026/10/9(金) | 受付前 | 先着 Skoop On Somebody Discotique Nite 2026
49. 2026/10/9(金) | 受付前 | 先着 YOKABAN powered by 警固神社
50. 2026/10/9(金) | 受付前 | 先着 7ORDER 7ORDER THE LIVE 2026
