len=215015
 | 2026 | マリンメッセ福岡A館 | 福岡県 | プレオーダー受付 | 受付〜202607092359 | https://eplus.jp/sf/detail/4229110001-P0030009P021001
 | 2026 | 水戸市民会館 グロービスホール | 茨城県 | ★一般発売 | 受付〜202609122000 | https://eplus.jp/sf/detail/3726690001-P0030013P021001
 | 2026 | 水戸市民会館 グロービスホール | 茨城県 | ◇プレオーダー受付 | 受付〜202608162359 | https://eplus.jp/sf/detail/0180620001-P0030485P021001
 | ～結成20周年記念～ コンサートツアー 2026～2027 | 兵庫県立芸術文化センター KOBELCO大ホ | 兵庫県 | プレオーダー受付 | 受付〜202604202359 | https://eplus.jp/sf/detail/0180620001-P0030463P021001
 | ～結成20周年記念～ 高嶋ちさ子 12人のヴァイオリニスト コンサー | 愛知県芸術劇場 コンサートホール | 愛知県 | ★一般発売 | 受付〜202603292359 | https://eplus.jp/sf/detail/1407600001-P0030186P021002
 | ～結成20周年記念～ コンサートツアー 2026～2027 | 愛知県芸術劇場 コンサートホール | 愛知県 | プレオーダー受付 | 受付〜202604202359 | https://eplus.jp/sf/detail/0180620001-P0030464P021001
 | ～結成20周年記念～ コンサートツアー 2026～2027 | 愛知県芸術劇場 コンサートホール | 愛知県 | プレオーダー受付 | 受付〜202604202359 | https://eplus.jp/sf/detail/0180620001-P0030464P021002
 | ～結成20周年記念～ コンサートツアー 2026～2027 | 愛知県芸術劇場 コンサートホール | 愛知県 | 5次プレオーダー受付 | 受付〜202606302359 | https://eplus.jp/sf/detail/0180620001-P0030496P021001
 |  | 倉敷市民会館 | 岡山県 | 4次プレオーダー受付 | 受付〜202605242359 | https://eplus.jp/sf/detail/1407600001-P0030178P021001
 |  | サントリーホール 大ホール | 東京都 | プレオーダー受付 | 受付〜202604122359 | https://eplus.jp/sf/detail/1407600001-P0030179P021001
 | コンサートツアー 2026～2027 | サントリーホール 大ホール | 東京都 | ★一般発売 | 受付〜202609301800 | https://eplus.jp/sf/detail/0180620001-P0030453P021001
 | ～結成20周年記念～ コンサートツアー 2026～2027 | YCC県民文化ホール 大ホール | 山梨県 | 2次プレオーダー受付 | 受付〜202604221800 | https://eplus.jp/sf/detail/0180620001-P0030466P021001
 | ～結成20周年記念～ コンサートツアー 2026～2027 | YCC県民文化ホール 大ホール | 山梨県 | ▽プレオーダー受付 | 受付〜202607091800 | https://eplus.jp/sf/detail/0180620001-P0030486P021002
 | ～結成20周年記念～高嶋ちさ子 12人のヴァイオリニスト コンサート | YCC県民文化ホール 大ホール | 山梨県 | ★一般発売 | 受付〜202609301800 | https://eplus.jp/sf/detail/3726690001-P0030014P021001
 |  | アクロス福岡シンフォニーホール | 福岡県 | ★一般発売 | 受付〜202610102000 | https://eplus.jp/sf/detail/0180620001-P0030476P021001
 | コンサートツアー 2026～2027 | J:COMホール八王子 | 東京都 | ★一般発売 | 受付〜202610111800 | https://eplus.jp/sf/detail/0180620001-P0030454P021001
 |  | リンクステーションホール青森 | 青森県 | 3次プレオーダー受付 | 受付〜202606012359 | https://eplus.jp/sf/detail/0180620001-P0030457P021001
 |  | メディキット県民文化センター アイザックスタ | 宮崎県 | 3次プレオーダー受付 | 受付〜202606012359 | https://eplus.jp/sf/detail/0180620001-P0030458P021001
 |  | メディキット県民文化センター アイザックスタ | 宮崎県 | ★一般発売 | 受付〜202610212000 | https://eplus.jp/sf/detail/0180620001-P0030477P021001
 |  |  |  | 4次プレオーダー受付 | 受付〜202605242359 | https://eplus.jp/sf/detail/1407600001-P0030180P021001
--- e+公演 20件 ---
