育成 前後差分  エントリ 2379 / 総枠 4156 → 4543 (+387)
枠が増えたエントリ 106 / 減った 0 / 変化なし 2273

=== 増えた（多い順）===
id=756 ゴスペラーズ  6→29 (+23)  千秋楽 2026-11-12→2026-12-26
id=2407 THEイナズマ戦隊  1→21 (+20)  千秋楽 2026-09-12→2026-12-19
id=1157 Ｏｃｈｕｎｉｓｍ  2→16 (+14)  千秋楽 2026-11-01→2026-12-19
id=2772 Rayflower  1→13 (+12)  千秋楽 2026-10-12→2026-11-23
id=3146 零[Hz]  2→12 (+10)  千秋楽 2026-09-19→2026-09-27
id=1181 Ｓｕｓｐｅｎｄｅｄ ４ｔｈ  1→10 (+9)  千秋楽 2026-10-03→2026-10-30
id=2203 Chilli Beans.  1→10 (+9)  千秋楽 2027-02-18→2027-02-23
id=2743 秋山黄色  1→10 (+9)  千秋楽 2026-10-23→2026-12-12
id=588 吉幾三  1→8 (+7)  千秋楽 2026-09-13→2026-12-01
id=659 押尾コータロー  1→8 (+7)  千秋楽 2026-09-11→2026-10-29
id=688 田原俊彦  4→11 (+7)  千秋楽 2026-11-14→2026-11-14
id=2194 LINDBERG  6→13 (+7)  千秋楽 2026-12-18→2026-12-18
id=3422 モーニング娘。’26  1→8 (+7)  千秋楽 2026-09-12→2026-11-30
id=690 手嶌葵  1→7 (+6)  千秋楽 2026-10-10→2026-12-19
id=1291 大原櫻子  1→7 (+6)  千秋楽 2026-10-07→2026-10-28
id=1416 Khaki  4→10 (+6)  千秋楽 2026-10-12→2026-10-30
id=2195 レトロリロン  1→7 (+6)  千秋楽 2026-11-07→2026-12-12
id=2325 栄喜  1→7 (+6)  千秋楽 2026-10-04→2026-10-11
id=549 坂本冬美  1→6 (+5)  千秋楽 2026-09-14→2026-11-04
id=586 友希  3→8 (+5)  千秋楽 2026-08-23→2026-10-10
id=1164 角松敏生  7→12 (+5)  千秋楽 2026-12-19→2026-12-27
id=1464 The Biscats  1→6 (+5)  千秋楽 2026-12-20→2026-12-20
id=1625 山中さわお&ELPIS  1→6 (+5)  千秋楽 2026-10-10→2026-11-27
id=2175 花冷え。  1→6 (+5)  千秋楽 2026-11-08→2026-11-28
id=2336 中嶋ユキノ  6→11 (+5)  千秋楽 2026-12-12→2026-12-18
id=2660 Arakezuri  1→6 (+5)  千秋楽 2026-08-29→2026-11-19
id=2859 サイダーガール  2→7 (+5)  千秋楽 2026-11-19→2026-11-19
id=2990 森高千里  7→12 (+5)  千秋楽 2026-11-28→2026-12-25
id=3117 佐野元春&THE COYOTE BAND  1→6 (+5)  千秋楽 2026-09-19→2027-03-20
id=3371 kein  1→6 (+5)  千秋楽 2026-10-25→2026-11-23
id=3474 Galileo Galilei  1→6 (+5)  千秋楽 2026-11-03→2026-11-22
id=591 小椋佳  3→7 (+4)  千秋楽 2026-12-20→2026-12-20
id=698 永井龍雲  2→6 (+4)  千秋楽 2026-09-19→2026-10-25
