lg=01 total=323 pages=33
parsed items: 256
already in DB: 245 | NOT in DB (new candidates): 11
written tmp/presale_01_rls04.json
 NEW | TODAY | 五木ひろし | 2026/11/18(水) | 長野県
 NEW | TODAY | 大橋ちっぽけ | 2026/6/26(金) | 
 NEW | TODAY | ＣＡ７ＲＩＥＬ ＆ ＰＡＣＯ ＡＭＯＲＯＳＯ | 2026/10/21(水) ・ 2026/1 | 東京都／大阪府
 NEW | TODAY | claquepot | 2026/7/7(火) | 石川県
 NEW | TODAY | 【動画配信】Mrs. GREEN APPLE 『 | 2026/7/5(日) ～ 2026/7/1 | 
 NEW | TODAY | 【動画配信】福山雅治 『ＮＩＳＳＡＹ ＰＲＥＳＥ | 2026/6/27(土) | 
 NEW |  | ふみ 夏なのでストレッチしませんか？＆ｍｉｎｉふ | 2026/7/26(日) | 北海道
 NEW |  | BLUE ENCOUNT | 2026/10/12(月・祝) ～ 2026 | 北海道／愛知県／岡山県／香川県
 NEW |  | BLUE ENCOUNT | 2026/10/31(土) ～ 2026/1 | 宮城県／東京都／大阪府／福岡県
 NEW | TODAY | YOKOHAMA UNITE音楽祭 2026 p | 2026/7/25(土) | 神奈川県
 NEW |  | Rockon Social Club | 2026/9/24(木) ・ 2026/9/ | 大阪府
