lg=01 total=848 pages=85
parsed items: 595 (fetched up to page 87)
already in DB (eventCd一致): 496 | NOT in DB (new candidates): 99
  うち 63件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/presale_01n_0821.json
 NEW | TODAY | 浅葱／ASAGI 20th Anniversar | 2026/8/28(金) | 東京都
 NEW |  | ＡＳＫＡ | 2026/12/20(日) | 和歌山県
 NEW | TODAY | ASUTO MUSIC PARK 2026 | 2026/9/6(日) | 宮城県
 NEW | 2026/8/27 | アナタ・ボリビア | 2026/11/2(月) ・ 2026/11 | 岡山県／広島県
 NEW |  | Ayumu Imazu | 2027/1/31(日) | 東京都
 NEW | 2026/8/22 | 新居昭乃 | 2026/11/14(土) | 東京都
 NEW |  | アンジュルム ２０２６秋 風林火山・弐 | 2026/10/4(日) | 福岡県
 NEW |  | ＡＲＴ－ＳＣＨＯＯＬ | 2026/11/7(土) | 北海道
 NEW | 2026/9/5 | いぎなり東北産 | 2026/9/20(日) | 秋田県
 NEW | 2026/8/22 | 一攫千笑 成りあがれ モノボケアイドルGP ～伝 | 2026/8/26(水) | 東京都
 NEW |  | 稲垣潤一・八神純子 ～歌は時を越えて～ | 2027/2/13(土) | 沖縄県
 NEW |  | ＩＮＦＩＮＩＴＥ | 2026/9/22(火・祝) ・ 2026/ | 東京都
 NEW | TODAY | ＷＨＩＳＰＥＲ ＯＵＴ ＬＯＵＤ | 2026/10/8(木) | 東京都
 NEW |  | ウルフルズ | 2026/12/31(木) | 大阪府
 NEW |  | ＮＭＢ４８ | 2026/10/17(土) ・ 2026/1 | 大阪府
 NEW | 2026/8/22 | 小山田壮平 | 2026/9/27(日) | 岡山県
 NEW | 2026/8/22 | 小山田壮平 | 2026/12/6(日) | 北海道
 NEW | 2026/8/22 | 小山田壮平 | 2026/12/18(金) | 東京都
 NEW | 2026/8/22 | 陰陽座 | 2026/9/29(火) | 神奈川県
 NEW | 2026/8/22 | ONEW | 2026/9/22(火・祝) | 東京都
 NEW | 2026/8/22 | ｋｅｉｎ | 2026/10/17(土) | 北海道
 NEW | TODAY | KALMA | 2026/10/9(金) | 福岡県
 NEW | TODAY | ＫＩ＿ＥＮ | 2026/11/21(土) | 大阪府
 NEW | 2026/8/22 | キュウソネコカミ | 2026/11/2(月) | 大阪府
 NEW | TODAY | kohamo | 2026/8/21(金) | 
