lg=01 total=712 pages=72
parsed items: 809 (fetched up to page 401)
already in DB: 306 | NOT in DB (new candidates): 503
written tmp/music_uketsuke_0201.json
 NEW |  | 逢田梨香子 | 2026/8/8(土) | 東京都
 NEW |  | 秋田ＣＡＲＡＶＡＮ ＭＵＳＩＣ ＦＥＳ ２０２６ | 2026/9/26(土) ・ 2026/9/ | 秋田県
 NEW |  | あすなろ白昼夢 | 2026/6/3(水) ～ 2026/8/2 | 宮城県／東京都／愛知県／京都府／大阪府／兵庫県／香川県／福岡県
 NEW |  | ASOBISYSTEM 19th Anniver | 2026/8/18(火) | 東京都
 NEW |  | ASH DA HERO | 2026/9/6(日) ～ 2026/9/1 | 東京都
 NEW |  | Ado | 2026/7/5(日) | 神奈川県
 NEW |  | ａｍａｎｏｊａｃ | 2026/10/24(土) | 愛知県
 NEW |  | ａｌｄｏ ｖａｎ ｅｙｃｋ | 2026/5/21(木) ～ 2026/7/ | 北海道／東京都／京都府／福岡県
 NEW |  | いきものがかり | 2026/8/22(土) | 山口県
 NEW |  | いきものがかり | 2026/8/22(土) | 山口県
 NEW |  | 岩崎宏美 | 2026/10/10(土) | 兵庫県
 NEW |  | 内田真礼 | 2026/9/6(日) | 福岡県
 NEW |  | 内田真礼 | 2026/9/13(日) | 愛知県
 NEW |  | 内田真礼 | 2026/9/27(日) | 神奈川県
 NEW |  | ETERNAL FIGHTER TAKERU D | 2026/9/24(木) | 東京都
 NEW |  | Ｅｔｏｎｅｉｇｅ | 2026/8/29(土) | 東京都
 NEW |  | 遠藤正明 | 2026/8/28(金) | 東京都
 NEW |  | ＡＣＥ ＣＯＬＬＥＣＴＩＯＮ | 2026/11/27(金) ・ 2026/1 | 東京都／愛知県／大阪府
 NEW |  | 大橋ちっぽけ | 2026/9/13(日) ～ 2026/11 | 北海道／宮城県／東京都／大阪府／兵庫県／岡山県／広島県／愛媛県／福岡県
 NEW |  | 音田雅則 | 2026/10/2(金) ～ 2026/12 | 北海道／東京都／愛知県／大阪府／福岡県
 NEW |  | おねがいアイプリ×ひみつのアイプリ プリプリライ | 2026/10/10(土) | 千葉県
 NEW |  | Augusta Camp 2026 | 2026/8/14(金) | 神奈川県
 NEW |  | Ａｌｌ Ｏｕｒ Ｔｏｍｏｒｒｏｗｓ － Ｃｕｒａ | 2026/6/28(日) | 東京都
 NEW |  | Ｋａｚｕｋｉ Ｋａｔｏ ＬＩＶＥ ＴＯＵＲ ２０ | 2026/9/21(月・祝) ～ 2026/ | 北海道／宮城県／新潟県／香川県
 NEW |  | Ｋａｚｕｋｉ Ｋａｔｏ ＲＯＡＤ ＴＯＵＲ ２０ | 2026/6/6(土) ～ 2026/8/2 | 北海道／青森県／岩手県／宮城県／秋田県／山形県／福島県／茨城県／栃木県／群馬県／埼玉県／千葉県／東京都／神奈川県／新潟県／富山県／石川県／福井県／山梨県／長野県／岐阜県／静岡県／愛知県／三重県／滋賀県／京都府／大阪府／兵庫県／奈良県／和歌山県／鳥取県／島根県／岡山県／広島県／山口県／徳島県／香川県／愛媛県／高知県／福岡県／佐賀県／長崎県／熊本県／大分県／宮崎県／鹿児島県／沖縄県
