lg=01 total=334 pages=34
parsed items: 238 (fetched up to page 36)
already in DB (eventCd一致): 204 | NOT in DB (new candidates): 34
  うち 32件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/presale_01b_0821.json
 NEW |  | アナタ・ボリビア | 2026/11/2(月) ・ 2026/11 | 岡山県／広島県
 NEW | 2026/8/22 | 新居昭乃 | 2026/11/14(土) | 東京都
 NEW |  | ＡＲＴ－ＳＣＨＯＯＬ | 2026/11/7(土) | 北海道
 NEW | 2026/8/22 | 一攫千笑 成りあがれ モノボケアイドルGP ～伝 | 2026/8/26(水) | 東京都
 NEW | 2026/8/22 | 小山田壮平 | 2026/9/27(日) | 岡山県
 NEW | 2026/8/22 | 小山田壮平 | 2026/12/6(日) | 北海道
 NEW | 2026/8/22 | 陰陽座 | 2026/9/29(火) | 神奈川県
 NEW | 2026/8/22 | ｋｅｉｎ | 2026/10/17(土) | 北海道
 NEW | 2026/8/22 | キュウソネコカミ | 2026/11/2(月) | 大阪府
 NEW | TODAY | kohamo | 2026/8/21(金) | 
 NEW |  | ｋｏｂｏｒｅ | 2026/10/12(月・祝) | 福岡県
 NEW | 2026/8/22 | さだまさし | 2026/10/17(土) | 山口県
 NEW | 2026/8/22 | THE SNUTS | 2027/2/2(火) | 大阪府
 NEW | 2026/8/22 | THE PAINS OF BEING PURE  | 2026/11/13(金) | 東京都
 NEW | 2026/8/22 | SHIBUYA MUSIC CROSSOVER  | 2026/11/14(土) | 東京都
 NEW | 2026/8/22 | 関取花 | 2026/11/15(日) | 香川県
 NEW | 2026/8/22 | 関取花 | 2026/11/29(日) | 大阪府
 NEW | 2026/8/22 | 高嶋ちさ子のザワつく！昭和歌謡祭 2026 | 2026/9/12(土) | 福岡県
 NEW |  | 竹原ピストル | 2026/12/3(木) | 石川県
 NEW | 2026/8/22 | 竹原ピストル | 2026/12/5(土) | 香川県
 NEW | TODAY | TOOBOE | 2026/8/21(金) | 
 NEW | TODAY | Ｄｏｓ Ｍｏｎｏｓ | 2026/8/21(金) | 
 NEW | 2026/8/22 | hide with Spread Beaver | 2026/10/2(金) | 愛知県
 NEW | 2026/8/22 | ＰＥＤＲＯ | 2026/12/23(水) | 長崎県
 NEW | 2026/8/22 | ＰＥＤＲＯ | 2026/10/30(金) | 愛知県
