lg=04 total=42 pages=5
parsed items: 35 (fetched up to page 7)
already in DB (eventCd一致): 3 | NOT in DB (new candidates): 32
  うち 0件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/presale_04_0821.json
 NEW | 2026/8/22 | 「愛し合ってるかい？ 忌野清志郎が教えてくれた」 | 2026/8/26(水) | 東京都
 NEW | 2026/8/25 | アニメ『ケロロ軍曹』２０周年御礼！～舞台挨拶付き | 2026/8/29(土) | 東京都
 NEW | 2026/8/28 | アニメ『スティール・ボール・ラン ジョジョの奇妙 | 2026/9/5(土) | 東京都
 NEW | 2026/8/25 | 映画『しびれ』完成披露舞台挨拶 | 2026/8/30(日) | 東京都
 NEW | 2026/8/25 | 映画『ホーム スイート ホーム』舞台挨拶 | 2026/9/4(金) | 東京都
 NEW | 2026/8/22 | 映画『私はあなたを知らない、』初日舞台挨拶 | 2026/8/28(金) | 東京都
 NEW | 2026/8/22 | 『縁の手紙』完成披露上映会 | 2026/9/4(金) | 東京都
 NEW | 2026/9/19 | からぴちパラダイスARENA TOUR 2026 | 2026/10/4(日) | 北海道／青森県／岩手県／宮城県／秋田県／山形県／福島県／茨城県／栃木県／群馬県／埼玉県／千葉県／東京都／神奈川県
 NEW | 2026/9/19 | からぴちパラダイスARENA TOUR 2026 | 2026/10/4(日) | 鳥取県／島根県／岡山県／広島県／山口県／徳島県／香川県／愛媛県／高知県／福岡県／佐賀県／長崎県／熊本県／大分県／宮崎県／鹿児島県／沖縄県
 NEW | 2026/9/19 | からぴちパラダイスARENA TOUR 2026 | 2026/10/4(日) | 新潟県／富山県／石川県／福井県／山梨県／長野県／岐阜県／静岡県／愛知県／三重県／滋賀県／京都府／大阪府／兵庫県／奈良県／和歌山県
 NEW | 2026/9/19 | からぴちパラダイスARENA TOUR 2026 | 2026/10/4(日) | 北海道／青森県／岩手県／宮城県／秋田県／山形県／福島県／茨城県／栃木県／群馬県／埼玉県／千葉県／東京都／神奈川県
 NEW | 2026/9/19 | からぴちパラダイスARENA TOUR 2026 | 2026/10/4(日) | 鳥取県／島根県／岡山県／広島県／山口県／徳島県／香川県／愛媛県／福岡県／佐賀県／長崎県／熊本県／大分県／鹿児島県／沖縄県
 NEW | 2026/9/19 | からぴちパラダイスARENA TOUR 2026 | 2026/10/4(日) | 新潟県／富山県／石川県／福井県／長野県／岐阜県／静岡県／愛知県／三重県／滋賀県／京都府／大阪府／兵庫県／奈良県／和歌山県
 NEW | 2026/9/2 | 『キリコのタクト～ＹＥＬＬ～』完成披露舞台挨拶上 | 2026/9/9(水) | 東京都
 NEW | 2026/8/29 | こがねいシネマ シネマ歌舞伎「二人藤娘／日本振袖 | 2026/12/5(土) | 東京都
 NEW | TODAY | 『6DAYS』ムビチケカード | 2026/9/4(金)～ | 
 NEW | 2026/9/1 | 「SEKIRO:NO DEFEAT」舞台挨拶 | 2026/9/6(日) | 東京都
 NEW | 2026/9/19 | 宝塚歌劇 月組東急シアターオーブ公演『NINE』 | 2026/9/26(土) | 北海道／岩手県／宮城県／秋田県／茨城県／栃木県／群馬県／埼玉県／千葉県／東京都／神奈川県／新潟県／富山県／石川県／福井県／長野県／岐阜県／静岡県／愛知県／滋賀県／京都府／大阪府／兵庫県／島根県／岡山県／広島県／徳島県／愛媛県／福岡県／佐賀県／熊本県／大分県
 NEW | 2026/9/2 | 『探偵はもう、死んでいる。Ｓｅａｓｏｎ２』第１話 | 2026/9/6(日) | 東京都
 NEW |  | ＴＶアニメ『薬屋のひとりごと』第３期 舞台挨拶付 | 2026/9/27(日) | 東京都
 NEW | 2026/9/2 | ＴＶアニメ『さよならララ』最終話直前先行上映会 | 2026/9/13(日) | 東京都
 NEW | 2026/8/22 | ＴＶアニメ『超巡！超条先輩』キャスト舞台挨拶付き | 2026/9/8(火) | 東京都
 NEW | 2026/9/8 | ＴＶアニメ「バーテックスフォース」先行上映会 － | 2026/9/20(日) | 東京都
 NEW | 2026/9/1 | ＴＶアニメ「文豪ストレイドッグス」振り返り上映会 | 2026/9/5(土) ・ 2026/10/ | 東京都
 NEW | 2026/9/1 | TVアニメ「マジカル★エクスプローラー」第1話～ | 2026/9/13(日) | 東京都
