lg=07 total=259 pages=26
parsed items: 210 (fetched up to page 28)
already in DB (eventCd一致): 161 | NOT in DB (new candidates): 49
  うち 13件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/presale_07_0821.json
 NEW |  | アンサンブル・プラムス 第８回山梨定期公演 | 2026/11/1(日) | 山梨県
 NEW | 2026/9/19 | 石田組コンサートツアー２０２７ | 2027/3/7(日) | 静岡県
 NEW | 2026/9/6 | Ｎ響「第9」 チャリティーコンサート | 2026/12/22(火) | 東京都
 NEW | 2026/8/22 | 大阪クラシック2026 | 2026/9/6(日) | 大阪府
 NEW | 2026/9/19 | 大阪桐蔭高等学校吹奏楽部 サンタコンサート ｉｎ | 2026/12/19(土) | 大阪府
 NEW | 2026/8/28 | オクサーナ・ステパニュック（Ｓ） | 2026/11/28(土) ・ 2026/1 | 鳥取県／島根県／広島県
 NEW | 2026/8/27 | オリックスPresents 新日本フィルハーモニ | 2027/1/3(日) | 東京都
 NEW | 2026/8/22 | 第７６回 関西吹奏楽コンクール | 2026/8/29(土) ・ 2026/8/ | 大阪府
 NEW | 2026/8/22 | 気軽にクラシックシリーズ３ 原由莉子のクラシック | 2027/2/20(土) | 大阪府
 NEW | 2026/9/19 | キユーピー スペシャル サントリーホール ニュー | 2027/1/1(金・祝) | 東京都
 NEW | 2026/9/19 | キユーピー スペシャル サントリーホール ニュー | 2027/1/2(土) | 東京都
 NEW | 2026/9/19 | キユーピー スペシャル サントリーホール ニュー | 2027/1/3(日) | 東京都
 NEW |  | クァルテット浬 大阪特別公演 弦楽四重奏演奏会 | 2026/12/10(木) | 大阪府
 NEW | 2026/9/4 | ＫＣＯ名曲スペシャル ニューイヤー・コンサート２ | 2027/1/22(金) ・ 2027/1/ | 東京都
 NEW | 2026/8/27 | コバケンとその仲間たちオーケストラ 史上最高の第 | 2026/12/8(火) | 東京都
 NEW | 2026/9/19 | 郷古廉＆ ホセ・ガヤルド デュオ・リサイタル | 2027/2/3(水) | 東京都
 NEW | 2026/8/22 | 【埼玉公演】箏合奏新曲リサイタル 大川義秋 作品 | 2026/12/13(日) | 埼玉県
 NEW | 2026/9/19 | サントリーホール開館４０周年記念 ウィーン・フォ | 2026/12/31(木) | 東京都
 NEW | 2026/8/23 | 新国立劇場オペラ「フィガロの結婚」 | 2026/12/6(日) ～ 2026/12 | 東京都
 NEW | 2026/8/22 | 進藤実優（ｐ） | 2027/3/12(金) | 東京都
 NEW | 2026/8/27 | 新日本フィルハーモニー交響楽団 「第九」特別演奏 | 2026/12/16(水) | 神奈川県
 NEW | 2026/8/22 | 高嶋ちさ子のザワつく！音楽会 2026 | 2026/9/13(日) | 福岡県
 NEW | 2026/8/22 | 高嶋ちさ子のザワつく！昭和歌謡祭 2026 | 2026/9/12(土) | 福岡県
 NEW | 2026/9/5 | 第４０回記念津山第九演奏会 | 2026/12/6(日) | 岡山県
 NEW | 2026/8/23 | 【東京公演】箏合奏新曲リサイタル 大川義秋 作品 | 2027/4/17(土) | 東京都
