lg=01 total=904 pages=91
parsed items: 672 (fetched up to page 92)
already in DB (eventCd一致): 566 | NOT in DB (new candidates): 106
  うち 70件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/presale_01_0905.json
 NEW | TODAY | 荒谷翔大 | 2026/10/24(土) | 愛知県
 NEW | TODAY | ａｎｄｒｏｐ | 2026/10/17(土) | 大阪府
 NEW | TODAY | ａｎｄｒｏｐ | 2026/10/18(日) | 愛知県
 NEW | TODAY | いぎなり東北産 | 2026/9/20(日) | 秋田県
 NEW | 2026/10/2 | 五木ひろし／由紀さおり | 2027/1/22(金) ～ 2027/2/ | 栃木県／埼玉県／千葉県／東京都／静岡県
 NEW | 2026/9/6 | 大熊和奏 | 2026/9/20(日) | 東京都
 NEW | 2026/10/24 | 岡村孝子 | 2026/12/13(日) | 大阪府
 NEW | 2026/10/24 | 尾崎亜美 | 2027/3/22(月・祝) | 静岡県
 NEW | 2026/9/11 | ｏｎちゃん！６チャン！アイドルまつり | 2026/10/3(土) ・ 2026/10 | 北海道
 NEW | TODAY | 可憐なアイボリー | 2026/9/25(金) | 愛知県
 NEW | TODAY | Ｇａｌｉｌｅｏ Ｇａｌｉｌｅｉ | 2026/11/10(火) | 宮城県
 NEW | TODAY | ＫＹＯＭＡＦ ＭＵＳＩＣ ＬＩＶＥ ２０２６ | 2026/9/19(土) | 京都府
 NEW | TODAY | 清春 | 2026/10/10(土) | 香川県
 NEW | TODAY | ＳＡＴＡＮＩＣ ＰＡＲＴＹ ２０２６ | 2026/11/1(日) | 東京都
 NEW | TODAY | さにこ会 ｖｏｌ．３ ～最強さにこ伝説「不滅」～ | 2026/9/14(月) | 静岡県
 NEW | 2026/10/24 | 鞘師里保 | 2026/11/28(土) | 神奈川県
 NEW | 2026/12/12 | ＴＨＥ ＢＡＣＫ ＨＯＲＮ | 2027/1/24(日) | 神奈川県
 NEW | 2026/12/12 | ＴＨＥ ＢＡＣＫ ＨＯＲＮ | 2027/2/20(土) | 愛知県
 NEW | 2026/9/26 | ＳＩＮＯＮ 奇跡の歌声 ～カーペンターズコンサー | 2027/1/17(日) | 千葉県
 NEW | 2026/10/3 | ＳＨＥＲＢＥＴＳ | 2026/11/29(日) | 広島県
 NEW | 2026/10/3 | 城田優 | 2026/11/23(月・祝) | 東京都
 NEW | 2026/9/26 | ｓｙｒｕｐ１６ｇ | 2026/11/19(木) | 広島県
 NEW | TODAY | ＳＨＩＮ ＳＯＯＨＹＵＮ | 2026/9/5(土) | 
 NEW | TODAY | 真・世が世なら！！！ | 2026/10/4(日) | 宮城県
 NEW | TODAY | 真・世が世なら！！！ | 2026/10/11(日) | 大阪府
