lg=03 total=131 pages=14
parsed items: 496 (fetched up to page 401)
already in DB: 24 | NOT in DB (new candidates): 472
written tmp/presale_03_0705.json
 NEW | 2026/7/11 | アクトレスガールズ | 2026/8/1(土) | 東京都
 NEW | 2026/7/11 | アクトレスガールズ | 2026/8/29(土) | 東京都
 NEW | 2026/7/15 | 第20回アジア競技大会／アーチェリー | 2026/9/30(水) ～ 2026/10 | 愛知県
 NEW | 2026/7/15 | 第20回アジア競技大会／ウエイトリフティング | 2026/9/23(水・祝) ～ 2026/ | 愛知県
 NEW | 2026/7/15 | 第20回アジア競技大会／カヌー・カヤック(スプリ | 2026/9/23(水・祝) ～ 2026/ | 愛知県
 NEW | 2026/7/15 | 第20回アジア競技大会／カバディ | 2026/9/21(月・祝) ～ 2026/ | 愛知県
 NEW | 2026/7/15 | 第20回アジア競技大会／空手 | 2026/9/20(日) ～ 2026/9/ | 愛知県
 NEW | 2026/7/15 | 第20回アジア競技大会／クリケット(T20) | 2026/9/17(木) ～ 2026/10 | 愛知県
 NEW | 2026/7/15 | 第20回アジア競技大会／コンバットスポーツ(クラ | 2026/9/27(日) ・ 2026/9/ | 愛知県
 NEW | 2026/7/15 | 第20回アジア競技大会／コンバットスポーツ(柔術 | 2026/10/1(木) ・ 2026/10 | 愛知県
 NEW | 2026/7/15 | 第20回アジア競技大会／ゴルフ | 2026/9/30(水) ～ 2026/10 | 愛知県
 NEW | 2026/7/15 | 第20回アジア競技大会／サッカー | 2026/9/14(月) ～ 2026/9/ | 愛知県
 NEW | 2026/7/15 | 第20回アジア競技大会／体操(新体操) | 2026/10/1(木) ・ 2026/10 | 愛知県
 NEW | 2026/7/15 | 第20回アジア競技大会／自転車競技(トラックレー | 2026/9/29(火) ～ 2026/10 | 静岡県
 NEW | 2026/7/15 | 第20回アジア競技大会／自転車競技(BMXフリー | 2026/9/26(土) ・ 2026/9/ | 愛知県
 NEW | 2026/7/15 | 第20回アジア競技大会／柔道 | 2026/9/30(水) ～ 2026/10 | 愛知県
 NEW | 2026/7/15 | 第20回アジア競技大会／水泳(競泳) | 2026/9/20(日) ～ 2026/9/ | 東京都
 NEW | 2026/7/15 | 第20回アジア競技大会／水泳(水球) | 2026/9/20(日) ～ 2026/10 | 愛知県
 NEW | 2026/7/15 | 第20回アジア競技大会／水泳(飛込) | 2026/9/26(土) ～ 2026/9/ | 東京都
 NEW | 2026/7/15 | 第20回アジア競技大会／スポーツクライミング | 2026/9/29(火) ～ 2026/10 | 愛知県
 NEW | 2026/7/15 | 第20回アジア競技大会／セーリング | 2026/9/26(土) ～ 2026/10 | 愛知県
 NEW | 2026/7/15 | 第20回アジア競技大会／ソフトボール | 2026/9/26(土) ～ 2026/10 | 愛知県
 NEW | 2026/7/15 | 第20回アジア競技大会／体操(体操) | 2026/9/21(月・祝) ～ 2026/ | 愛知県
 NEW | 2026/7/15 | 第20回アジア競技大会／体操(トランポリン) | 2026/9/27(日) | 愛知県
 NEW | 2026/7/15 | 第20回アジア競技大会／卓球 | 2026/9/20(日) ～ 2026/9/ | 愛知県
