lg=01 total=651 pages=66
parsed items: 797 (fetched up to page 401)
already in DB: 386 | NOT in DB (new candidates): 411
written tmp/harvest_0629_music.json
 NEW |  | Ｋａｚｕｋｉ Ｋａｔｏ ２０ｔｈ Ａｎｎｉｖｅｒ | 2026/10/16(金) | 東京都
 NEW |  | Ｋａｚｕｋｉ Ｋａｔｏ ＬＩＶＥ ＴＯＵＲ ２０ | 2026/9/21(月・祝) ～ 2026/ | 北海道／宮城県／新潟県／香川県
 NEW |  | Ｋａｚｕｋｉ Ｋａｔｏ ＬＩＶＥ ＴＯＵＲ ２０ | 2026/10/8(木) | 神奈川県
 NEW |  | Ｋａｚｕｋｉ Ｋａｔｏ ＲＯＡＤ ＴＯＵＲ ２０ | 2026/6/6(土) ～ 2026/8/2 | 北海道／青森県／岩手県／宮城県／秋田県／山形県／福島県／茨城県／栃木県／群馬県／埼玉県／千葉県／東京都／神奈川県／新潟県／富山県／石川県／福井県／山梨県／長野県／岐阜県／静岡県／愛知県／三重県／滋賀県／京都府／大阪府／兵庫県／奈良県／和歌山県／鳥取県／島根県／岡山県／広島県／山口県／徳島県／香川県／愛媛県／高知県／福岡県／佐賀県／長崎県／熊本県／大分県／宮崎県／鹿児島県／沖縄県
 NEW |  | かりゆし５８ | 2026/11/12(木) | 北海道
 NEW |  | かりゆし５８ | 2026/11/18(水) | 新潟県
 NEW |  | かりゆし５８ | 2026/11/20(金) | 石川県
 NEW |  | かりゆし５８ | 2026/12/4(金) | 愛知県
 NEW |  | かりゆし５８ | 2026/12/9(水) | 静岡県
 NEW |  | ＧＡＮＧ ＰＡＲＡＤＥ | 2026/7/19(日) ～ 2026/8/ | 北海道／新潟県／静岡県／愛知県
 NEW |  | COPES | 2026/10/2(金) ～ 2027/1/ | 北海道／宮城県／千葉県／東京都／神奈川県／石川県／愛知県／京都府／大阪府／兵庫県／広島県／香川県／福岡県
 NEW |  | Ｓｏｍｅ Ｌｉｆｅ | 2026/8/28(金) | 愛知県
 NEW |  | 澤村光彩 | 2026/9/23(水・祝) | 東京都
 NEW |  | SiM presents DEAD POP FE | 2027/4/10(土) ～ 2027/4/ | 神奈川県
 NEW |  | スキマスイッチ | 2026/7/4(土) ・ 2026/7/5 | 岡山県／広島県
 NEW |  | 高嶋ちさ子のザワつく！昭和歌謡祭 ２０２６ | 2026/12/15(火) | 東京都
 NEW |  | 戸川純 | 2026/7/3(金) | 東京都
 NEW |  | トップガン マーヴェリック シネマコンサート | 2026/8/22(土) | 長崎県
 NEW |  | ７ | 2026/8/27(木) | 大阪府
 NEW |  | ＰＩＧＭＯＮＺ／ＦＩＲＥ ＯＮ ＦＩＲＥ | 2026/7/10(金) | 東京都
 NEW |  | ＰＩＺＺＡ ＯＦ ＤＥＡＴＨ ＲＥＣＯＲＤＳ ｐ | 2026/8/8(土) ・ 2026/8/9 | 東京都／愛知県／大阪府
 NEW |  | flumpool | 2026/9/12(土) ～ 2026/10 | 宮城県／埼玉県／千葉県／愛知県／大阪府／広島県／福岡県
 NEW |  | BRAVE SONIC | 2026/8/20(木) | 東京都
 NEW |  | Hedigan's | 2026/9/3(木) ・ 2026/9/1 | 東京都／大阪府
 NEW |  | ＢＡＢＹ Ｑ 金沢場所 | 2026/8/9(日) | 石川県
