lg=01 total=454 pages=46
parsed items: 710 (fetched up to page 401)
already in DB: 680 | NOT in DB (new candidates): 30
written tmp/harvest_0629_presale.json
 NEW |  | 藍井エイル | 2026/10/24(土) ～ 2026/1 | 北海道／東京都／大阪府／福岡県／熊本県
 NEW | 2026/7/25 | 藍坊主 | 2026/9/22(火・祝) | 東京都
 NEW | 2026/7/25 | 藍坊主 | 2026/9/27(日) | 愛知県
 NEW | TODAY | 角川映画音楽祭 ～テーマ曲・挿入歌コンサート～ | 2026/8/9(日) | 東京都
 NEW | 2026/7/1 | ＫＹＯＷ－ＹＡ／えいてぃーズ／Ｂ．Ｂ Ｃａｔｓ | 2026/10/24(土) | 愛知県
 NEW |  | ここが俺らの夢番地！！－白壁の街編－ | 2026/10/9(金) | 岡山県
 NEW |  | ここが俺らの夢番地！！－ニホンカワウソの街編－ | 2026/10/11(日) | 高知県
 NEW | 2026/7/12 | 鼓童 ワン・アース・ツアー２０２６ 「遥か―」 | 2026/9/19(土) | 石川県
 NEW |  | ＳＡＣＲＩＦＩＣＥ Ｔｏｋｙｏ Ｏｎｅ－ｍａｎ  | 2026/9/12(土) | 東京都
 NEW | 2026/7/26 | ＴＨＥ ＧＯＯＤ－ＢＹＥ | 2026/9/4(金) | 神奈川県
 NEW | 2026/7/23 | ザ・ワイルドワンズ | 2026/11/5(木) | 東京都
 NEW | 2026/7/4 | ＣＩＮＮＡＭＯＮ | 2026/9/6(日) | 愛知県
 NEW | 2026/7/5 | トモフとシチロとほぼギャルバン | 2026/9/6(日) | 愛知県
 NEW | 2026/7/4 | 日本の伝統芸能シリーズ５３ 「三味線の世界～3本 | 2027/2/14(日) | 愛知県
 NEW | 2026/7/18 | ＮＥＥ | 2026/9/1(火) | 東京都
 NEW | 2026/7/11 | ８２６ａｓｋａ | 2026/8/23(日) | 福井県
 NEW | 2026/7/16 | Ｐｅｔｅｒ Ｇａｌｌｗａｙ／佐橋佳幸 | 2026/10/28(水) ・ 2026/1 | 東京都
 NEW | TODAY | 藤井フミヤ | 2026/10/17(土) ・ 2026/1 | 東京都
 NEW | 2026/6/30 | ＭＩＣＨＡＥＬ ＬＩＶＥＳ ＦＯＲＥＶＥＲ －  | 2026/10/29(木) | 東京都
 NEW | 2026/7/12 | 松尾優 | 2026/9/4(金) | 神奈川県
 NEW | 2026/7/11 | みやけん／ヒビキpiano | 2026/9/25(金) ・ 2026/9/ | 愛知県／大阪府
 NEW | 2026/7/26 | 山中さわお＆ＥＬＰＩＳ | 2026/10/10(土) | 群馬県
 NEW |  | ゆあさみちるの夜の音楽室～出張編・夏～（千葉） | 2026/8/4(火) | 千葉県
 NEW |  | ゆあさみちるの夜の音楽室～出張編・夏～（茨城） | 2026/8/6(木) | 茨城県
 NEW |  | ゆあさみちるの夜の音楽室～出張編・夏～（静岡） | 2026/8/7(金) | 静岡県
