lg=02 total=297 pages=30
parsed items: 606 (fetched up to page 401)
already in DB: 123 | NOT in DB (new candidates): 483
written tmp/harvest_0630_engeki.json
 NEW | 2026/7/12 | 秋の特選落語競演会２０２６ | 2026/11/15(日) | 兵庫県
 NEW | 2026/7/8 | 朝日上方落語 桂南光一門会 | 2026/9/5(土) | 大阪府
 NEW |  | 明日の詩～天からのメッセージ～ | 2026/8/6(木) ～ 2026/8/9 | 東京都
 NEW | 2026/7/3 | 第十一回 あべの歌舞伎「晴の会(そらのかい)」 | 2026/7/31(金) ～ 2026/8/ | 大阪府
 NEW | 2026/7/10 | 綾小路きみまろ爆笑スーパーライブ ｉｎ 浜松 | 2026/10/18(日) | 静岡県
 NEW | 2026/7/19 | 『Yerma イェルマ』 | 2026/9/26(土) ・ 2026/10 | 東京都
 NEW | 2026/7/26 | 「伊東四朗一座リターンズ！？ ｉｎ浅草公会堂」～ | 2026/8/31(月) ・ 2026/9/ | 東京都
 NEW | 2026/7/19 | 入船亭扇兆 二ツ目昇進披露落語会 | 2026/10/12(月・祝) | 静岡県
 NEW | 2026/7/25 | 歌を歌わないように食べる昨日 | 2026/9/9(水) ～ 2026/9/2 | 東京都／大阪府
 NEW | 2026/7/25 | 梅津瑞樹 夜／読 耳（ヨミミ）寄り | 2026/9/23(水・祝) ・ 2026/ | 東京都
 NEW | 2026/7/3 | 圓朝噺 | 2026/8/11(火・祝) | 東京都
 NEW | 2026/7/4 | 大阪城西の丸薪能2026 | 2026/10/31(土) | 大阪府
 NEW | 2026/7/1 | おかげ横丁 第４１２回 ７月みそか寄席 | 2026/7/31(金) | 三重県
 NEW | 2026/7/4 | 鬼爆！！ ものまねＬＩＶＥ ｉｎ 刈谷 | 2026/9/13(日) | 愛知県
 NEW | 2026/7/19 | 尾上右近自主公演 第十回「研の會」 FINAL | 2026/10/2(金) ・ 2026/10 | 東京都
 NEW | 2026/7/19 | 尾上右近 自主公演 第十回「研の會」ＦＩＮＡＬ | 2026/9/5(土) ・ 2026/9/6 | 大阪府
 NEW | 2026/7/25 | 「母さん、ラブソングです。」 | 2026/9/4(金) ・ 2026/9/5 | 愛知県
 NEW | 2026/7/2 | 型破り落語会 ＮＥＯ－２ | 2026/10/27(火) | 東京都
 NEW | 2026/7/3 | 桂吉弥独演会 | 2026/10/17(土) | 大阪府
 NEW | 2026/7/4 | 桂文我上方落語選 大阪編 | 2026/8/30(日) | 大阪府
 NEW | 2026/7/4 | 桂文我上方落語選 京都編 | 2026/8/27(木) ・ 2026/9/ | 京都府
 NEW | 2026/7/4 | 桂文我 上方落語全集 第１期・全１０巻完結記念  | 2026/8/12(水) | 東京都
 NEW | 2026/7/4 | 桂文我 三遊亭遊馬 お盆に東西落語、怪談聞き比べ | 2026/8/12(水) | 東京都
 NEW | 2026/7/4 | 桂文我落語四百席 名古屋編 | 2026/8/18(火) ・ 2026/9/ | 愛知県
 NEW | 2026/7/10 | 桂八十八独演会 | 2026/9/27(日) | 大阪府
