lg=01 total=92 pages=10
page 314 err HTTP Error 502: Bad Gateway
parsed items: 470 (fetched up to page 401)
already in DB: 456 | NOT in DB (new candidates): 14
written tmp/harvest_0630_rls04.json
 NEW |  | 飯田洋輔 | 2026/7/3(金) | 東京都
 NEW | 2026/7/3 | 石川さゆり 御園座特別コンサート | 2026/9/16(水) ～ 2026/9/ | 愛知県
 NEW | TODAY | SLENDERIE RECORD ファミリーコン | 2026/7/26(日) | 香川県
 NEW | TODAY | Ｎｏ．１８ | 2026/9/18(金) | 北海道
 NEW |  | ＮＸＭＥＲＣＹ ２ＮＤ ＬＩＶＥ ＩＮ ＪＡＰＡ | 2026/7/4(土) ～ 2026/7/2 | 東京都
 NEW |  | ＮＸＭＥＲＣＹ ２ＮＤ ＬＩＶＥ ＩＮ ＪＡＰＡ | 2026/7/29(水) | 東京都
 NEW | 2026/7/1 | 林ゆうき | 2026/12/27(日) | 東京都
 NEW | 2026/7/3 | ＢＡＹＳＩＤＥ ＣＬＡＳＨ ２０２６ | 2026/11/3(火・祝) | 神奈川県
 NEW |  | ＢＯＮＮＩＥ ＰＩＮＫ | 2026/9/21(月・祝) | 東京都
 NEW |  | ＢＯＮＮＩＥ ＰＩＮＫ | 2026/9/21(月・祝) | 東京都
 NEW | TODAY | 摩天楼オペラ | 2026/7/4(土) | 福島県
 NEW |  | 眞名子新 | 2026/10/9(金) | 広島県
 NEW | 2026/7/1 | 息っ子クラブ ４０周年！記念ジャンクパーティー | 2026/9/5(土) | 東京都
 NEW |  | ＬＡＮＡ | 2026/8/4(火) | 東京都
