lg=06 total=65 pages=7
parsed items: 69 (fetched up to page 33)
already in DB: 5 | NOT in DB (new candidates): 64
written tmp/harvest_0628_event.json
 NEW |  | 青森ねぶた祭 | 2026/8/2(日) ～ 2026/8/6 | 青森県
 NEW |  | 市川三郷町ふるさと夏まつり第38回「神明の花火大 | 2026/8/7(金) | 山梨県
 NEW |  | WIND BREAKER 5th ANNIVER | 2026/8/6(木) | 福岡県
 NEW |  | HRF 原口あきまさロックフェス～偽物だらけの国 | 2026/10/16(金) ・ 2026/1 | 愛知県
 NEW |  | 2026 ATEEZ FANMEETING AT | 2026/8/4(火) ・ 2026/8/5 | 神奈川県
 NEW |  | おかあさんといっしょスペシャルステージ2026  | 2026/8/29(土) ・ 2026/8/ | 大阪府
 NEW |  | おかあさんといっしょスペシャルステージ2026  | 2026/8/15(土) ・ 2026/8/ | 神奈川県
 NEW |  | おかあさんといっしょスペシャルステージ2026  | 2026/8/15(土) ・ 2026/8/ | 神奈川県
 NEW |  | 「おかあさんといっしょ」ファンターネ！とあそぼ  | 2026/10/10(土) | 兵庫県
 NEW |  | 岡崎城下家康公夏まつり 第78回花火大会 | 2026/8/1(土) | 愛知県
 NEW |  | おやこ ｄｅ チュロスポ ｉｎ なごや | 2026/8/12(水) | 愛知県
 NEW |  | 賀集利樹プロデュース AriGaTΩサイン会 i | 2026/7/11(土) | 福岡県
 NEW |  | 『カナメストーンスタイルブック 無限服２０２６』 | 2026/9/12(土) | 東京都
 NEW |  | KIM JI WOONG FANMEETING  | 2026/7/26(日) | 東京都
 NEW |  | キャラミクス 先行お披露目会 | 2026/8/2(日) | 東京都
 NEW |  | グランジBBQ2026＠お台場 ～海風と肉と最高 | 2026/9/13(日) | 東京都
 NEW |  | 今宵、怪談へ行く。 第七怪 北野文芸座 編 | 2026/9/19(土) | 長野県
 NEW |  | 今宵、怪談へ行く。 第七怪 弥彦体育館 編 | 2026/9/20(日) | 新潟県
 NEW |  | 佐久間宣行ＰＲＥＳＥＮＴＳ 「五感爆発！－食もラ | 2026/9/6(日) | 石川県
 NEW |  | 里崎ライブ２０２６ ｉｎ 愛知 | 2026/7/11(土) | 愛知県
 NEW |  | 渋谷すばる FAN MEETING 2026 | 2026/7/17(金) ・ 2026/7/ | 大阪府
 NEW |  | 真アギト展 福岡会場開催記念『劇場版 仮面ライダ | 2026/7/11(土) | 福岡県
 NEW |  | 辞書で呑むTHEライブ | 2026/8/23(日) | 東京都
 NEW |  | 世界コスプレサミット２０２６ 水盤特別撮影会 参 | 2026/7/31(金) | 愛知県
 NEW |  | 世界コスプレサミット２０２６ 水盤特別撮影会 参 | 2026/8/1(土) | 愛知県
