=== 隠れ枠スキャン (today=2026-08-12) ===
  対象エントリ 15件 / 隠れ枠 23枠
  id=3513  大相撲九月場所                        隠れ7/全7枠
  id=2223  宝塚歌劇星組 宝塚大劇場公演 三井住友VISAカードシア   隠れ2/全5枠
  id=3875  ミュージカル「タイムトラベラーズ・ワイフ」          隠れ2/全2枠
  id=130   宝塚歌劇団 雪組                       隠れ1/全1枠
  id=1071  ミュージカル『ニコラ・テスラ～エジソンが恐れた孤高の天才   隠れ1/全3枠
  id=2341  GANG PARADE                    隠れ1/全1枠
  id=2401  木根尚登                           隠れ1/全2枠
  id=2415  笑福亭鶴瓶×サンドウィッチマンLIVE『シルエット』     隠れ1/全1枠
  id=2416  J亭スピンオフ企画44 白酒・一之輔 大手町二人会      隠れ1/全1枠
  id=3287  「【パンキッシュガーデン】ネモフィラブルー」         隠れ1/全1枠
  id=3432  セントラル愛知交響楽団 第16回名曲コンサート The    隠れ1/全1枠
  id=3653  「SEKIRO:NO DEFEAT」完成披露上映会      隠れ1/全1枠
  id=3766  国立能楽堂 9月特別公演                   隠れ1/全1枠
  id=3872  PM AGENCY 40th ANNIVERSARY L   隠れ1/全1枠
  id=3912  立川さぎ志 二度目の明治座                  隠れ1/全1枠

(走査のみ。ぴあ再パースするなら --build)
