=== 隠れ枠スキャン (today=2026-08-15) ===
  対象エントリ 75件 / 隠れ枠 143枠
  id=4095  稲葉浩志                           隠れ26/全26枠
  id=3932  D’ERLANGER                     隠れ14/全14枠
  id=3944  関東大学ラグビー 対抗戦／リーグ戦              隠れ12/全12枠
  id=3513  大相撲九月場所                        隠れ7/全7枠
  id=2859  サイダーガール                        隠れ6/全6枠
  id=2865  織田哲郎                           隠れ3/全3枠
  id=2223  宝塚歌劇星組 宝塚大劇場公演 三井住友VISAカードシア   隠れ2/全8枠
  id=2880  さやかミニ落語会 2026年度 第4回〜第6回        隠れ2/全2枠
  id=3542  BIGMAMA                        隠れ2/全2枠
  id=3743  Uru                            隠れ2/全2枠
  id=3875  ミュージカル「タイムトラベラーズ・ワイフ」          隠れ2/全2枠
  id=4171  HOUND DOG                      隠れ2/全2枠
  id=130   宝塚歌劇団 雪組                       隠れ1/全1枠
  id=979   ROLL((CAKE))TIME               隠れ1/全1枠
  id=1071  ミュージカル『ニコラ・テスラ～エジソンが恐れた孤高の天才   隠れ1/全3枠
  id=2341  GANG PARADE                    隠れ1/全1枠
  id=2401  木根尚登                           隠れ1/全2枠
  id=2415  笑福亭鶴瓶×サンドウィッチマンLIVE『シルエット』     隠れ1/全1枠
  id=2416  J亭スピンオフ企画44 白酒・一之輔 大手町二人会      隠れ1/全1枠
  id=2491  新国立劇場オペラ「ピーター・グライムズ」           隠れ1/全1枠
  … 他 55件

(走査のみ。ぴあ再パースするなら --build)
