=== 隠れ枠スキャン (today=2026-08-23) ===
  対象エントリ 105件 / 隠れ枠 164枠
  id=1287  indigo la End                  隠れ10/全10枠
  id=3513  大相撲九月場所                        隠れ7/全7枠
  id=277   劇団四季『アラジン』東京公演                 隠れ6/全14枠
  id=3906  ヨーロッパ企画特別興行「世界の終わりかけとスリーコード」   隠れ6/全6枠
  id=4704  タクフェス第14弾『北の島から』               隠れ6/全6枠
  id=756   ゴスペラーズ                         隠れ5/全24枠
  id=3249  ミュージカル『新テニスの王子様』The Final St   隠れ4/全4枠
  id=3250  ミュージカル『ジョン&ジェン』                隠れ4/全4枠
  id=4358  「劇場版 魔法少女まどか☆マギカ〈ワルプルギスの廻天〉」   隠れ4/全4枠
  id=4912  弁論2026                         隠れ4/全4枠
  id=1     さだまさし                          隠れ3/全15枠
  id=4326  Kis-My-Ft2                     隠れ3/全3枠
  id=642   陰陽座                            隠れ2/全4枠
  id=2223  宝塚歌劇星組 宝塚大劇場公演 三井住友VISAカードシア   隠れ2/全8枠
  id=3168  ANIMETAL                       隠れ2/全2枠
  id=3251  ミュージカル『星影の人』-沖田総司・まぼろしの青春-     隠れ2/全4枠
  id=3252  ミュージカル『101ダルメシアンズ』             隠れ2/全4枠
  id=3743  Uru                            隠れ2/全2枠
  id=3755  「water」                        隠れ2/全2枠
  id=3875  ミュージカル「タイムトラベラーズ・ワイフ」          隠れ2/全2枠
  … 他 85件

(走査のみ。ぴあ再パースするなら --build)
