=== 隠れ枠スキャン (today=2026-09-07) ===
  対象エントリ 168件 / 隠れ枠 317枠
  id=3892  夜の本気ダンス                        隠れ13/全29枠
  id=3841  阪神タイガース対中日ドラゴンズ 公式戦            隠れ12/全12枠
  id=3849  阪神タイガース対東京ヤクルトスワローズ 公式戦        隠れ12/全12枠
  id=3853  阪神タイガース対広島東洋カープ 公式戦            隠れ11/全12枠
  id=3513  大相撲九月場所                        隠れ7/全7枠
  id=5641  『5秒で完全犯罪を生成する方法』公開記念舞台挨拶／前夜祭   隠れ7/全7枠
  id=2990  森高千里                           隠れ6/全25枠
  id=4178  小曽根 真／大西順子／北村英治／類家心平／広瀬未来／アロ   隠れ6/全6枠
  id=4293  東京フィルハーモニー交響楽団 ベートーヴェン「第九」特別   隠れ6/全12枠
  id=756   ゴスペラーズ                         隠れ5/全20枠
  id=3501  WAHAHA本舗PRESENTS ワハハ本舗特別公演「エ   隠れ5/全16枠
  id=3533  布袋寅泰                           隠れ5/全15枠
  id=4971  映画『ホーム スイート ホーム』公開記念舞台挨拶       隠れ5/全5枠
  id=2998  東京ポッド許可局 2026 秋の祭典 板橋大山大会      隠れ4/全4枠
  id=3053  徳永英明                           隠れ4/全19枠
  id=3858  阪神タイガース対読売ジャイアンツ 公式戦           隠れ4/全4枠
  id=3978  【阪神タイガース 公式戦・交流戦】NTTドコモビジネスフ   隠れ4/全4枠
  id=3979  【阪神タイガース 公式戦・交流戦】JCBエキサイトシート   隠れ4/全4枠
  id=3980  【阪神タイガース】セコム ツイン・トリプルシート       隠れ4/全4枠
  id=3981  【阪神タイガース】パナソニックペアシート           隠れ4/全4枠
  … 他 148件

(走査のみ。ぴあ再パースするなら --build)
