lg=01 total=487 pages=49
parsed items: 373 (fetched up to page 51)
already in DB (eventCd一致): 328 | NOT in DB (new candidates): 45
  うち 27件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/presale_01_0823.json
 NEW | 2026/8/27 | アナタ・ボリビア | 2026/11/8(日) | 石川県
 NEW |  | ＡＮＩＭＥＴＡＬ | 2026/10/29(木) | 愛知県
 NEW |  | 飴色セロハン／白壁ガールズ／ＳＨＩＫＥＭＯＫ | 2026/10/14(水) | 愛知県
 NEW |  | ＡＲＴ－ＳＣＨＯＯＬ | 2026/11/7(土) | 北海道
 NEW | 2026/9/5 | いぎなり東北産 | 2026/9/20(日) | 秋田県
 NEW | 2026/8/29 | 打首獄門同好会 | 2026/10/12(月・祝) | 大阪府
 NEW |  | EBISU JAM 2026 | 2026/10/11(日) | 東京都
 NEW | 2026/8/29 | ＦＴＩＳＬＡＮＤ | 2026/9/19(土) | 兵庫県
 NEW | 2026/8/29 | FTISLAND | 2026/9/26(土) | 東京都
 NEW | 2026/9/13 | 海援隊 | 2027/1/17(日) | 岐阜県
 NEW | 2026/9/19 | 海援隊 | 2027/1/16(土) | 京都府
 NEW | 2026/9/3 | 加藤登紀子 | 2026/12/20(日) | 京都府
 NEW | 2026/9/20 | 研ナオコ | 2026/12/20(日) | 兵庫県
 NEW | 2026/8/29 | Ｋｅｎ Ｙｏｋｏｙａｍａ | 2026/9/25(金) | 大阪府
 NEW | 2026/8/29 | ＴＨＥ ＭＡＣＫＳＨＯＷ | 2026/11/20(金) | 大阪府
 NEW | 2026/9/5 | 島津亜矢 | 2026/12/5(土) | 兵庫県
 NEW |  | 時代を彩る歌姫たち～渡辺真知子・サーカス～ | 2026/11/15(日) | 三重県
 NEW | 2026/9/1 | スウィング・ジュニア・オーケストラ第１回定期演奏 | 2026/11/14(土) | 大分県
 NEW | 2026/8/29 | 7ORDER | 2026/10/9(金) | 大阪府
 NEW | 2026/9/19 | タデクイ ｐｒｅｓｅｎｔｓ “デルタ” | 2026/10/29(木) | 東京都
 NEW | 2026/9/20 | 谷山浩子 | 2026/12/18(金) | 東京都
 NEW | 2026/8/29 | 「ＤＡＷ：ｔｒａｃｅ」 | 2026/9/30(水) | 愛知県
 NEW | 2026/8/27 | 徳永ゆうき | 2026/11/5(木) | 静岡県
 NEW | 2026/8/29 | 「ドラゴンクエスト」ウインドオーケストラコンサー | 2026/12/6(日) | 栃木県
 NEW | 2026/8/27 | ネパールの詩心～四季と祭り～ | 2026/11/18(水) ・ 2026/1 | 静岡県
