lg=03 total=103 pages=11
parsed items: 72 (fetched up to page 13)
already in DB (eventCd一致): 61 | NOT in DB (new candidates): 11
  うち 4件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/presale_03_0823.json
 NEW |  | ＦＣ今治対湘南ベルマーレ 明治安田Ｊ２リーグ | 2026/9/26(土) | 愛媛県
 NEW | 2026/8/29 | ＭＦＪ全日本トライアル選手権シリーズ第６戦 宮城 | 2026/10/11(日) | 宮城県
 NEW | 2026/8/29 | 第２１回Ｋ－１アマチュア全日本大会～アマチュア日 | 2026/9/6(日) | 東京都
 NEW |  | サガン鳥栖対いわきＦＣ 明治安田Ｊ２リーグ | 2026/9/19(土) | 佐賀県
 NEW | 2026/8/26 | センダイガールズプロレスリング | 2026/9/14(月) | 東京都
 NEW | 2026/9/1 | 第一回全世界ウェイト制空手道選手権大会 | 2026/12/13(日) | 大阪府
 NEW | 2026/9/1 | 第74回全日本剣道選手権大会／第65回全日本女子 | 2026/11/3(火・祝) | 東京都
 NEW | 2026/8/29 | 名古屋グランパス対セレッソ大阪 明治安田Ｊ１リー | 2026/10/21(水) | 愛知県
 NEW | 2026/8/29 | 名古屋グランパス対横浜Ｆ・マリノス 明治安田Ｊ１ | 2026/10/25(日) | 愛知県
 NEW | 2026/9/1 | 阪神タイガース対読売ジャイアンツ 公式戦 | 2026/10/1(木) | 兵庫県
 NEW | 2026/9/4 | 令和8年冬巡業 大相撲長崎場所 | 2026/12/3(木) | 長崎県
