lg=07 total=247 pages=25
parsed items: 205 (fetched up to page 27)
already in DB (eventCd一致): 176 | NOT in DB (new candidates): 29
  うち 9件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/presale_07_0823.json
 NEW |  | アルべリ弦楽四重奏団小川由希子林智之メモリアルコ | 2026/10/31(土) | 茨城県
 NEW |  | アルべリ弦楽四重奏団小川由希子林智之メモリアルコ | 2026/11/1(日) | 埼玉県
 NEW | 2026/8/31 | ウィハン弦楽四重奏団Ｗｉｔｈ岩井奈美 | 2026/10/16(金) | 東京都
 NEW | 2026/9/12 | Ｏｓａｋａ Ｓｈｉｏｎ Ｗｉｎｄ Ｏｒｃｈｅｓｔ | 2027/3/6(土) | 愛知県
 NEW | 2026/9/20 | 小川典子（ｐ） | 2026/12/3(木) | 静岡県
 NEW | 2026/8/27 | オリックスPresents 新日本フィルハーモニ | 2027/1/3(日) | 東京都
 NEW |  | オリーブ・コンソート | 2026/12/19(土) | 大阪府
 NEW | 2026/9/19 | 音楽の絵本～ブラスサンタｗｉｔｈサキソフォックス | 2026/12/12(土) | 東京都
 NEW | 2026/8/27 | コバケンとその仲間たちオーケストラ 史上最高の第 | 2026/12/8(火) | 東京都
 NEW | 2026/8/27 | 新日本フィルハーモニー交響楽団 「第九」特別演奏 | 2026/12/16(水) | 神奈川県
 NEW | 2026/9/20 | スーパースターたちによる新春特別コンサート Ｖｏ | 2027/1/5(火) | 東京都
 NEW | 2026/9/20 | スーパースターたちによる新春特別コンサート Ｖｏ | 2027/1/6(水) | 東京都
 NEW | 2026/9/20 | スーパースターたちによる新春特別コンサート Ｖｏ | 2027/1/7(木) | 東京都
 NEW | 2026/9/11 | 竹澤恭子（ｖｌ） | 2026/12/9(水) | 東京都
 NEW |  | 武満徹没後30年「ASOBIBA TAKEMIT | 2026/10/26(月) | 東京都
 NEW | 2026/9/4 | 東京シティ・フィルハーモニック管弦楽団 第九特別 | 2026/12/28(月) | 東京都
 NEW | 2026/8/31 | 東京シティ・フィルハーモニック管弦楽団 ニューイ | 2027/1/11(月・祝) | 東京都
 NEW | 2026/8/30 | 第６６回 東京都吹奏楽コンクール | 2026/9/12(土) ・ 2026/9/ | 東京都
 NEW | 2026/9/6 | 東京フィルハーモニー交響楽団 ベートーヴェン「第 | 2026/12/13(日) | 東京都
 NEW | 2026/8/29 | 「ドラゴンクエスト」ウインドオーケストラコンサー | 2026/12/6(日) | 栃木県
 NEW |  | ピアニスト務川慧悟によるSolistiadeマス | 2026/10/12(月・祝) | 東京都
 NEW | 2026/9/20 | ピアノ四重奏団 アンサンブル・ラロ | 2026/11/28(土) | 愛知県
 NEW | 2026/8/24 | プロジェクションマッピング×パイプオルガン 新作 | 2026/8/27(木) | 大阪府
 NEW | 2026/8/26 | 間宮芳生の声 １９５２→２０１２・・・ | 2026/12/10(木) | 東京都
 NEW | 2026/8/26 | 南なほき（ｐ） | 2026/9/24(木) | 大阪府
