lg=06 total=119 pages=12
parsed items: 485 (fetched up to page 401)
already in DB: 8 | NOT in DB (new candidates): 477
written tmp/presale_event03_0708.json
 NEW | 2026/7/31 | あばれる君 熱血授業 ｉｎ ゆめはっと | 2026/10/17(土) | 福島県
 NEW | 2026/8/2 | 岩田屋本店 天神開業90周年「THE FACT  | 2026/8/2(日) | 福岡県
 NEW | 2026/7/11 | WIND BREAKER 5th ANNIVER | 2026/8/7(金) ～ 2026/9/6 | 福岡県
 NEW | 2026/7/25 | ウルトラヒーローズ THE LIVE ～オメガ・ | 2026/9/12(土) | 岐阜県
 NEW | 2026/7/18 | HRF 原口あきまさロックフェス～偽物だらけの国 | 2026/10/16(金) ・ 2026/1 | 愛知県
 NEW | 2026/7/10 | HBA Special Night 道新・秋華火 | 2026/9/21(月・祝) | 北海道
 NEW |  | 江原啓之の人生相談 | 2026/9/11(金) ・ 2026/9/ | 東京都
 NEW | 2026/8/1 | エリック・カール展 はじまりは、はらぺこあおむし | 2026/10/23(金) ～ 2026/1 | 福岡県
 NEW | 2026/7/10 | 『エヴァンゲリオン』３０周年記念展「ＡＬＬ ＯＦ | 2026/9/7(月) ～ 2026/10/ | 愛知県
 NEW | 2026/7/9 | おいでよ！夏の美術館ｖｏｌ．３ 大どろぼうの家 | 2026/7/9(木) ～ 2026/8/3 | 福岡県
 NEW | 2026/7/13 | ＯＳＡＫＡアート＆てづくりバザール ＶＯＬ．５２ | 2026/9/19(土) ～ 2026/9/ | 大阪府
 NEW | 2026/7/11 | おかあさんといっしょスペシャルステージ2026  | 2026/8/29(土) ・ 2026/8/ | 大阪府
 NEW | 2026/7/11 | おかあさんといっしょスペシャルステージ2026  | 2026/8/15(土) ・ 2026/8/ | 神奈川県
 NEW | 2026/7/11 | おかあさんといっしょスペシャルステージ2026  | 2026/8/15(土) ・ 2026/8/ | 神奈川県
 NEW | 2026/7/12 | 「おかあさんといっしょ」ファンターネ！とあそぼ  | 2026/10/10(土) | 兵庫県
 NEW | 2026/7/11 | オーロラと森のものがたり展 ～ヒュッゲと童話がお | 2026/7/11(土) ～ 2026/8/ | 愛知県
 NEW | 2026/7/24 | 家族で楽しむコンサート 四日市公演 ～よしお兄さ | 2026/10/17(土) | 三重県
 NEW | 2026/7/18 | ＧＡＨＯ １ｓｔ Ｊａｐａｎ Ｅｖｅｎｔ : ［ | 2026/7/26(日) | 東京都
 NEW | 2026/7/16 | ２０２６ ＫＩＭ ＤＯＮＧ ＨＥＥ ＴＯＫＹＯ  | 2026/7/25(土) | 東京都
 NEW | 2026/7/11 | 群遊 なごのキャンパス学園祭２０２６ | 2026/9/5(土) | 愛知県
 NEW | 2026/7/18 | ケロポンズファミリーコンサート | 2026/10/12(月・祝) | 福岡県
 NEW | 2026/7/17 | 攻殻機動隊展 Ｇｈｏｓｔ ａｎｄ ｔｈｅ Ｓｈｅ | 2026/7/17(金) ～ 2026/8/ | 兵庫県
 NEW | 2026/7/14 | 弘法大師生誕1250年記念 特別展「空海と真言の | 2026/7/14(火) ～ 2026/9/ | 東京都
 NEW | 2026/8/1 | 今宵、怪談へ行く。 第七怪 北野文芸座 編 | 2026/9/19(土) | 長野県
 NEW | 2026/8/1 | 今宵、怪談へ行く。 第七怪 弥彦体育館 編 | 2026/9/20(日) | 新潟県
