3622 | 2026-12-25 | 北海道 | きたまえ↑2026 | 枠2 | 最短発売08-15 | engeki
3623 | 2027-04-17 | 愛知 | The Sons of Eve／D!FUNK L.O.U.D.Railw | 枠1 | 最短発売09-01 | jpop
3624 | 2026-10-07 | 愛知 | 大須演芸場 10月定席寄席 | 枠1 | 最短発売09-01 | owarai
3625 | 2026-11-28 | 宮城 | 第6回 日立システムズホール仙台 パフォーマンスフェスティバル | 枠1 | 最短発売09-01 | engeki
3626 | 2026-11-18 | 大阪 | 東大阪映画劇場『TOKYOタクシー』 | 枠2 | 最短発売08-31 | engeki
3627 | 2026-11-30 | 愛知 | 野原川 しいたけ食べ放題 | 枠1 | 最短発売09-01 | kids
3628 | 2026-11-29 | 東京 | 東京オラトリエンコール | 枠1 | 最短発売09-01 | classic
3629 | 2027-01-04 | 大阪 | 『時をかける少女』20周年記念 細田守の原点/展 大阪会場 | 枠1 | 最短発売08-31 | engeki
3630 | 2026-11-22 | 栃木 | 爆生!!お笑い in 那須塩原 | 枠1 | 最短発売08-30 | owarai
3631 | 2026-11-03 | 愛知 | ターリストリオ | 枠1 | 最短発売08-30 | classic
3632 | 2026-09-06 | 全国 | 宝塚歌劇 宙組東京宝塚劇場公演『黒蜥蜴』『Diamond IMPULSE | 枠2 | 最短発売08-12 | engeki
3633 | 2026-11-01 | 北海道 | アイ工務店 presents ふわふわアドベンチャーツアー ハロウィンパ | 枠1 | 最短発売08-29 | kids
3634 | 2027-01-11 | 東京 | 竹久夢二 時代を創る表現者 | 枠2 | 最短発売08-25 | engeki
3635 | 2026-10-25 | 全国 | プロレスリング・ノア | 枠3 | 最短発売08-24 | sports
3636 | 2026-12-27 | 愛知 | 奇跡のチェロ・アンサンブル | 枠1 | 最短発売08-23 | classic
3637 | 2026-10-03 | 東京 | 白鳥英美子 | 枠2 | 最短発売08-09 | jpop
3638 | 2026-11-07 | 神奈川 | 0歳からのコンサート～うたって!あそんで!はじめての音楽会!～ | 枠1 | 最短発売08-20 | classic
3639 | 2026-11-07 | 神奈川 | フェリス・フラウエンコーアが歌う珠玉の名曲 | 枠1 | 最短発売08-20 | classic
3640 | 2026-10-03 | 三重 | 中田カウス漫才のDENDO 全国ツアーin川越町 | 枠1 | 最短発売08-18 | owarai
3641 | 2026-09-23 | 愛知 | 映画「国宝」 特別上映in御園座 | 枠1 | 最短発売08-18 | engeki
3642 | 2026-08-22 | 東京 | 『スクライド』25周年記念上映会 | 枠2 | 最短発売08-16 | engeki
3643 | 2026-10-18 | 千葉 | 新浜レオン ディナーショー | 枠1 | 最短発売08-18 | engeki
3644 | 2026-09-23 | 愛知 | ファンクキッド35周年コンサート | 枠1 | 最短発売08-17 | classic
3645 | 2026-10-12 | 静岡 | DEEP HAMAMATSU IMPACT 2026 2nd ROUND | 枠1 | 最短発売08-16 | sports
3646 | 2026-12-20 | 愛知 | 所蔵企画展 画家とモデル | 枠2 | 最短発売08-16 | engeki
3647 | 2026-12-20 | 愛知 | 宮本笑里（vl） | 枠1 | 最短発売08-16 | classic
3648 | 2026-11-16 | 神奈川 | 立川寸志 真打昇進披露 さがみはら落語会 | 枠1 | 最短発売08-15 | owarai
3649 | 2026-08-20 | 東京 | 『シャドウワーク』完成披露上映会 | 枠2 | 最短発売08-13 | engeki
3650 | 2026-08-23 | 全国 | 宝塚歌劇 雪組宝塚大劇場公演『ポーの一族』千秋楽 ライブ中継 | 枠1 | 最短発売08-15 | engeki
