OK   id=3157  一般発売（新潟 11/1公演） | 旧url=(空) | 新側に同名あり=True
OK   id=3905  プリセール（東京 R9年 1/10〜1/11公演） | 旧url=(空) | 新側に同名あり=True
OK   id=3905  一般発売（東京 R9年 1/10〜1/11公演） | 旧url=(空) | 新側に同名あり=True
OK   id=4716  プリセール（東京 12/31公演） | 旧url=(空) | 新側に同名あり=True
OK   id=4716  一般発売（東京 12/31公演） | 旧url=(空) | 新側に同名あり=True
OK   id=5675  一般発売【東京（千代田）公演】（東京 R9年 5/10〜5/12公演） | 旧url=(空) | 新側に同名あり=True
OK   id=5675  一般発売【東京（文京）公演】（東京 R9年 5/4〜5/6公演） | 旧url=(空) | 新側に同名あり=True
OK   id=5675  一般発売（京都 R9年 4/7〜4/11公演） | 旧url=(空) | 新側に同名あり=True
OK   id=5675  一般発売（兵庫 R9年 4/17〜4/18公演） | 旧url=(空) | 新側に同名あり=True
OK   id=5675  一般発売（埼玉 R9年 4/27〜4/28公演） | 旧url=(空) | 新側に同名あり=True
OK   id=5675  一般発売（大阪 R9年 4/20〜4/23公演） | 旧url=(空) | 新側に同名あり=True
OK   id=5675  一般発売（愛知 R9年 4/13〜4/15公演） | 旧url=(空) | 新側に同名あり=True
OK   id=5675  一般発売（神奈川 R9年 5/1〜5/3公演） | 旧url=(空) | 新側に同名あり=True
OK   id=5680  一般発売（岩手 11/7公演） | 旧url=(空) | 新側に同名あり=True
OK   id=5955  一般発売（群馬 10/4公演） | 旧url=(空) | 新側に同名あり=True
OK   id=6414  一般発売（東京・大阪 11/5〜12/6公演） | 旧url=(空) | 新側に同名あり=True
OK   id=6452  poco会員限定先行販売（東京 R9年 1/31公演） | 旧url=(空) | 新側に同名あり=True
OK   id=6452  一般発売（東京 R9年 1/31公演） | 旧url=(空) | 新側に同名あり=True
OK   id=6462  一般発売（神奈川 12/26公演） | 旧url=(空) | 新側に同名あり=True

本物の欠落: 0件
